ProductCode,SupplierHandle,Reason,CategoryIDs
SAR-BAMBONI-TWIN-BLANKETS,bamboni-twin-blankets,bed-size blanket,209
SAR-BMBU-RYN-MSLN-4-LAYER,bamboo-rayon-muslin-4-layer-quilt,quilt,209
SAR-BMBU-RYN-MSLN-PILLOWCA,bamboo-rayon-muslin-pillowcase-set,pillowcase set,209
SAR-BMBU-RYN-MSLN-QUEEN-KING,bamboo-rayon-muslin-queen-king-4-layer-quilt,quilt,209
SAR-BMBU-RYN-MSLN-XL-LG-4,bamboo-rayon-muslin-extra-large-4-layer-quilt,quilt,209
SAR-COTTON-MSLN-4-LAYER,cotton-muslin-4-layer-quilt,quilt,209
SAR-FX-FUR-PILLOWCA,faux-fur-pillowcase,pillowcase,209
SAR-FX-FUR-TWIN,faux-fur-twin-blankets,bed-size blanket,209
SAR-GRAND-FX-FUR-12X20,grand-faux-fur-12x20-pillow-cover,pillow cover,209
SAR-GRAND-FX-FUR-2-PACK-EURO,(live Volusion bedding record),pillow covers,209
SAR-GRAND-FX-FUR-KING,grand-faux-fur-king-blanket,bed-size blanket,209
SAR-GRAND-FX-FUR-QUEEN,grand-faux-fur-queen-blanket,bed-size blanket,209
SAR-PLEATED-DUST-RUFFLE,pleated-dust-ruffle,dust ruffle,209
SAR-PTR-RBT-COTTON-MSLN-CRIB,peter-rabbit-cotton-crib-sheets,crib bedding,209
SAR-RIBBED-BMB-QUEEN-KING,ribbed-bamboni-king-blanket,bed-size blanket,209
SAR-WFL-KNT-KING,waffle-knit-king-blankets,bed-size blanket,209
SAR-WFL-KNT-QUEEN,waffle-knit-queen-blankets,bed-size blanket,209
SAR-WFL-KNT-TWIN,waffle-knit-twin-blankets,bed-size blanket,209
