ProductCode,IntendedLeaf,IntendedName,CategoryIDs,CurrentlyIn,Changed
SAR-BABY-BAMBONI-LITE-FOR-ABC,207,Baby Blankets,"207,196","196,207,208",Y
SAR-BABY-BMB-LITE-SETS,207,Baby Blankets,"207,196","196,207,208",Y
SAR-BAMBONI-HAT,208,Snugglewear,"208,196","196,205,208",Y
SAR-BAMBONI-SETS,208,Snugglewear,"208,196","196,205,208",Y
SAR-BAMBONI-SNUGGLER,208,Snugglewear,"208,196","196,205,208",Y
SAR-BAMBONI-SOCKS,208,Snugglewear,"208,196","196,205,208",Y
SAR-BAMBONI-TODDLER-BLANKET,206,Kids Blankets,"206,196","196,206",N
SAR-BAMBONI-TWIN-BLANKETS,209,Bedding,"209,196","196,205,209",Y
SAR-BATMAN-DBL-LAYER-BMB,206,Kids Blankets,"206,196","196,206",N
SAR-BATMAN-MNKY-LUSH,206,Kids Blankets,"206,196","196,206",N
SAR-BMB-HATS,208,Snugglewear,"208,196","196,205,208",Y
SAR-BMB-SETS,208,Snugglewear,"208,196","196,205,208",Y
SAR-BMB-SNUGGLER,208,Snugglewear,"208,196","196,205,208",Y
SAR-BMB-SOCKS,208,Snugglewear,"208,196","196,205,208",Y
SAR-BMB-TOD,206,Kids Blankets,"206,196","196,206",N
SAR-BMB-TWIN,209,Bedding,"209,196",209,N
SAR-BMBU-RYN-MSLN-4-LAYER,209,Bedding,"209,196","196,205,209",Y
SAR-BMBU-RYN-MSLN-PILLOWCA,209,Bedding,"209,196","196,205,209",Y
SAR-BMBU-RYN-MSLN-QUEEN-KING,209,Bedding,"209,196","196,205,209",Y
SAR-BMBU-RYN-MSLN-XL-LG-4,209,Bedding,"209,196","196,205,209",Y
SAR-BOY-WHO-LIVED-DBL-LAYER,206,Kids Blankets,"206,196","196,206",N
SAR-CHNK-KNT-LG,205,Adult Blankets,"205,196","196,205",N
SAR-COTTON-MSLN-4-LAYER,209,Bedding,"209,196","196,205,209",Y
SAR-COZY-BMB-ROBES,208,Snugglewear,"208,196","196,205,208",Y
SAR-DBL-LAYER-BMB-TOD,206,Kids Blankets,"206,196","196,206",N
SAR-DBL-RCH-FX-FUR,205,Adult Blankets,"205,196","196,205",N
SAR-DBL-RCH-FX-FUR-XL-LG,205,Adult Blankets,"205,196","196,205",N
SAR-DREAM-TOD,206,Kids Blankets,"206,196","196,206",N
SAR-ELF-SNUGGLER,208,Snugglewear,"208,196","196,205,208",Y
SAR-FX-FUR-FULL-QUEEN,209,Bedding,"209,196","196,205,209",Y
SAR-FX-FUR-KING,209,Bedding,"209,196","196,205,209",Y
SAR-FX-FUR-PILLOWCA,209,Bedding,"209,196","205,209",Y
SAR-FX-FUR-TOD,206,Kids Blankets,"206,196",206,N
SAR-FX-FUR-TWIN,209,Bedding,"209,196","205,209",Y
SAR-GRAND-FX-FUR,205,Adult Blankets,"205,196",205,N
SAR-GRAND-FX-FUR-12X20,209,Bedding,"209,196","205,209",Y
SAR-GRAND-FX-FUR-2-PACK-EURO,209,Bedding,"209,196","205,209",Y
SAR-GRAND-FX-FUR-KING,209,Bedding,"209,196","205,209",Y
SAR-GRAND-FX-FUR-QUEEN,209,Bedding,"209,196","205,209",Y
SAR-GRAND-FX-FUR-ROBES,208,Snugglewear,"208,196",208,N
SAR-GRAND-FX-FUR-XL-LG,205,Adult Blankets,"205,196",205,N
SAR-HEIRLOOM-COTTON-KNT-SETS,205,Adult Blankets,"205,196",208,Y
SAR-HOGWARTS-CREST-DBL-LAYER,205,Adult Blankets,"205,196",206,Y
SAR-HP-HP-ICONS-MNKY-LUSH,206,Kids Blankets,"206,196",206,N
SAR-HP-HP-MSLN-NRS,207,Baby Blankets,"207,196",207,N
SAR-JL-JL-MSLN-LUSH,206,Kids Blankets,"206,196",206,N
SAR-JL-JL-SNUGGLER,208,Snugglewear,"208,196","206,208",Y
SAR-LUSH,205,Adult Blankets,"205,196",205,N
SAR-LUSH-MINI,207,Baby Blankets,"207,196",207,N
SAR-LUSH-RCV,207,Baby Blankets,"207,196",207,N
SAR-LUSH-TOD,206,Kids Blankets,"206,196",206,N
SAR-LUSH-XL-LG,205,Adult Blankets,"205,196",(not seen on crawled PLPs),Y
SAR-MNKY-LUSH,205,Adult Blankets,"205,196",(not seen on crawled PLPs),Y
SAR-MNKY-LUSH-TOD,206,Kids Blankets,"206,196",206,N
SAR-MNKY-LUSH-XL-LG,205,Adult Blankets,"205,196",(not seen on crawled PLPs),Y
SAR-MNKY-PLAY-MAT,207,Baby Blankets,"207,196",207,N
SAR-MNKY-STR,205,Adult Blankets,"205,196",(not seen on crawled PLPs),Y
SAR-MNKY-STR-LUXE-ROBES,208,Snugglewear,"208,196",208,N
SAR-MNKY-STR-XL-LG,205,Adult Blankets,"205,196",(not seen on crawled PLPs),Y
SAR-PLEATED-DUST-RUFFLE,209,Bedding,"209,196","207,209",Y
SAR-PLSH-FX-FUR,205,Adult Blankets,"205,196",(not seen on crawled PLPs),Y
SAR-PTR-RBT-BMBU-RYN-MSLN-02,206,Kids Blankets,"206,196",207,Y
SAR-PTR-RBT-BMBU-RYN-MSLN-2,206,Kids Blankets,"206,196",207,Y
SAR-PTR-RBT-COTTON-MSLN,206,Kids Blankets,"206,196",207,Y
SAR-PTR-RBT-COTTON-MSLN-CRIB,209,Bedding,"209,196","207,209",Y
SAR-PTRN-FX-FUR,205,Adult Blankets,"205,196",(not seen on crawled PLPs),Y
SAR-PTRN-FX-FUR-XL-LG,205,Adult Blankets,"205,196",(not seen on crawled PLPs),Y
SAR-RIBBED-BMB,205,Adult Blankets,"205,196",(not seen on crawled PLPs),Y
SAR-RIBBED-BMB-QUEEN-KING,209,Bedding,"209,196",209,N
SAR-RIBBED-BMB-XL-LG,205,Adult Blankets,"205,196",(not seen on crawled PLPs),Y
SAR-SATIN-BACK-TOD,206,Kids Blankets,"206,196",206,N
SAR-SATIN-BORDER-TOD,206,Kids Blankets,"206,196",206,N
SAR-SAUCER-CHAIR,196,Luxe Comforts,196,206,Y
SAR-SNUGGLE-UP-CHAIR,196,Luxe Comforts,196,206,Y
SAR-SNUGGLER,208,Snugglewear,"208,196",208,N
SAR-STRETCHY-SWADDLES-HATS,208,Snugglewear,"208,196","207,208",Y
SAR-STUFFED-ANIMALS,196,Luxe Comforts,196,206,Y
SAR-STUFFED-ANML-LVYS,207,Baby Blankets,"207,196",207,N
SAR-STUFFED-ANML-ROCKERS,196,Luxe Comforts,196,206,Y
SAR-SUPERMAN-DBL-LAYER-BMB,206,Kids Blankets,"206,196",206,N
SAR-SUPERMAN-MNKY-LUSH,206,Kids Blankets,"206,196",206,N
SAR-VERY-HGRY-CAT-MNKY-STR,206,Kids Blankets,"206,196",206,N
SAR-WEARABLE,208,Snugglewear,"208,196","207,208",Y
SAR-WFL-KNT,205,Adult Blankets,"205,196",209,Y
SAR-WFL-KNT-KING,209,Bedding,"209,196",209,N
SAR-WFL-KNT-QUEEN,209,Bedding,"209,196",209,N
SAR-WFL-KNT-ROBES,208,Snugglewear,"208,196","208,209",Y
SAR-WFL-KNT-TOD,206,Kids Blankets,"206,196","206,209",Y
SAR-WFL-KNT-TWIN,209,Bedding,"209,196",209,N
SAR-WFL-KNT-XL-LG,205,Adult Blankets,"205,196",209,Y
SAR-WIZARDIN-WORLD-CHARM,206,Kids Blankets,"206,196",206,N
SAR-WONDER-WOMAN-DBL-LAYER,206,Kids Blankets,"206,196",206,N
SAR-WONDER-WOMAN-MNKY-LUSH,206,Kids Blankets,"206,196",206,N
