ProductCode,ProductName,Url,BasePrice,OptionCategory,OptionID,OptionText,LivePriceDiff
"SAR-JL-JL-MSLN-LUSH","Justice League™ Muslin/Lush Blanket","https://www.mccabestheaterandliving.com/product-p/sar-jl-jl-msln-lush.htm","32","SELECT___SAR-JL-JL-MSLN-LUSH___58","1368","XL [Additional $15,700.00]","15700"
"SAR-HP-HP-MSLN-NRS","Harry Potter™ Muslin Nursery Collection","https://www.mccabestheaterandliving.com/product-p/sar-hp-hp-msln-nrs.htm","25","SELECT___SAR-HP-HP-MSLN-NRS___58","1366","Muslin/Lush Quilt [Additional $5,000.00]","5000"
"SAR-JL-JL-MSLN-LUSH","Justice League™ Muslin/Lush Blanket","https://www.mccabestheaterandliving.com/product-p/sar-jl-jl-msln-lush.htm","32","SELECT___SAR-JL-JL-MSLN-LUSH___58","1367","Quilt [Additional $4,300.00]","4300"
"SAR-HP-HP-MSLN-NRS","Harry Potter™ Muslin Nursery Collection","https://www.mccabestheaterandliving.com/product-p/sar-hp-hp-msln-nrs.htm","25","SELECT___SAR-HP-HP-MSLN-NRS___58","1364","Crib Sheet [Additional $1,700.00]","1700"
"SAR-HP-HP-MSLN-NRS","Harry Potter™ Muslin Nursery Collection","https://www.mccabestheaterandliving.com/product-p/sar-hp-hp-msln-nrs.htm","25","SELECT___SAR-HP-HP-MSLN-NRS___58","1365","Changing Cover [Additional $700.00]","700"
"SAR-HP-HP-MSLN-NRS","Harry Potter™ Muslin Nursery Collection","https://www.mccabestheaterandliving.com/product-p/sar-hp-hp-msln-nrs.htm","25","SELECT___SAR-HP-HP-MSLN-NRS___58","1362","Muslin/Lush Mini [Additional $700.00]","700"
"SAR-BATMAN-MNKY-LUSH","Batman™ Minky/Lush Blanket","https://www.mccabestheaterandliving.com/product-p/sar-batman-mnky-lush.htm","32","SELECT___SAR-BATMAN-MNKY-LUSH___58","1205","XL [Additional $147.00]","147"
"SAR-SUPERMAN-MNKY-LUSH","Superman™ Minky/Lush Blanket","https://www.mccabestheaterandliving.com/product-p/sar-superman-mnky-lush.htm","32","SELECT___SAR-SUPERMAN-MNKY-LUSH___58","1205","XL [Additional $147.00]","147"
"SAR-WIZARDIN-WORLD-CHARM","Wizarding World™ Charm Minky/Lush Blanket","https://www.mccabestheaterandliving.com/product-p/sar-wizardin-world-charm.htm","32","SELECT___SAR-WIZARDIN-WORLD-CHARM___58","1205","XL [Additional $147.00]","147"
"SAR-BATMAN-MNKY-LUSH","Batman™ Minky/Lush Blanket","https://www.mccabestheaterandliving.com/product-p/sar-batman-mnky-lush.htm","32","SELECT___SAR-BATMAN-MNKY-LUSH___58","1204","Toddler [Additional $63.00]","63"
"SAR-SUPERMAN-MNKY-LUSH","Superman™ Minky/Lush Blanket","https://www.mccabestheaterandliving.com/product-p/sar-superman-mnky-lush.htm","32","SELECT___SAR-SUPERMAN-MNKY-LUSH___58","1204","Toddler [Additional $63.00]","63"
"SAR-WIZARDIN-WORLD-CHARM","Wizarding World™ Charm Minky/Lush Blanket","https://www.mccabestheaterandliving.com/product-p/sar-wizardin-world-charm.htm","32","SELECT___SAR-WIZARDIN-WORLD-CHARM___58","1204","Toddler [Additional $63.00]","63"
