ProductCode,OptionID,OptionsDesc,PriceDiff
SAR-LUSH,23,Buttermilk,0.0
SAR-LUSH,23,Charcoal,0.0
SAR-LUSH,23,Feather,0.0
SAR-LUSH-XL-LG,23,Feather,0.0
SAR-LUSH-XL-LG,23,Buttermilk,0.0
SAR-LUSH-XL-LG,23,Charcoal,0.0
SAR-LUSH-TOD,23,Feather,0.0
SAR-LUSH-TOD,23,Buttermilk,0.0
SAR-LUSH-TOD,23,Charcoal,0.0
SAR-PTRN-FX-FUR,23,Feather,0.0
SAR-PTRN-FX-FUR,23,Ivory,0.0
SAR-PTRN-FX-FUR,23,Gray,0.0
SAR-PTRN-FX-FUR,23,Charcoal,0.0
SAR-PTRN-FX-FUR,23,Dove,0.0
SAR-PTRN-FX-FUR,23,Buff,0.0
SAR-PTRN-FX-FUR,23,Black,0.0
SAR-PTRN-FX-FUR-XL-LG,23,Feather,0.0
SAR-PTRN-FX-FUR-XL-LG,23,Charcoal,0.0
SAR-PTRN-FX-FUR-XL-LG,23,Dove,0.0
SAR-PTRN-FX-FUR-XL-LG,23,Buff,0.0
SAR-STUFFED-ANML-LVYS,23,Bows,0.0
SAR-STUFFED-ANML-LVYS,23,Dogs,0.0
SAR-PLSH-FX-FUR,23,Buttermilk,0.0
SAR-PLSH-FX-FUR,23,Sesame,0.0
SAR-RIBBED-BMB,23,Charcoal,0.0
SAR-RIBBED-BMB-XL-LG,23,Charcoal,0.0
SAR-RIBBED-BMB-QUEEN-KING,23,Charcoal,0.0
SAR-BMB-SETS,58,Small,0.0
SAR-BMB-SETS,23,Charcoal,0.0
SAR-BMB-SETS,58,Medium,0.0
SAR-BMB-SETS,58,Large,0.0
SAR-LUSH-MINI,23,Feather,0.0
SAR-LUSH-MINI,23,Buttermilk,0.0
SAR-LUSH-MINI,23,Charcoal,0.0
SAR-LUSH-RCV,23,Charcoal,0.0
SAR-LUSH-RCV,23,Buttermilk,0.0
SAR-LUSH-RCV,23,Feather,0.0
SAR-WFL-KNT-MINI,23,Rosette,0.0
SAR-WFL-KNT-MINI,23,Elm,0.0
SAR-WFL-KNT-MINI,23,Wheat,0.0
SAR-WFL-KNT-MINI,23,Blue Jay,0.0
SAR-WFL-KNT-MINI,23,Wisteria,0.0
SAR-WFL-KNT-MINI,23,Swan,0.0
SAR-BMB-HATS,23,Charcoal,0.0
SAR-BMB-SOCKS,23,Charcoal,0.0
SAR-BMB-TOD,23,Buttermilk,0.0
SAR-BMB-SNUGGLER,58,Adult,0.0
SAR-BMB-SNUGGLER,23,Charcoal,0.0
SAR-SNUGGLER,58,Teen,10.0
SAR-SNUGGLER,23,Classic Leopard,10.0
SAR-SNUGGLER,58,Adult,20.0
SAR-BMBU-RYN-MSLN-4-LAYER,23,Fleurs,15.0
SAR-BMBU-RYN-MSLN-4-LAYER,23,Highland Cow,15.0
SAR-BMBU-RYN-MSLN-4-LAYER,23,Starry Night,15.0
SAR-BMBU-RYN-MSLN-4-LAYER,23,Floret,15.0
SAR-BMBU-RYN-MSLN-4-LAYER,23,Forget-Me-Not,15.0
SAR-BMBU-RYN-MSLN-4-LAYER,23,Yosemite,15.0
SAR-BMBU-RYN-MSLN-4-LAYER,23,The Savannah,15.0
SAR-BMBU-RYN-MSLN-4-LAYER,23,By Hope Wild Wood,0.0
SAR-BMBU-RYN-MSLN-4-LAYER,23,By Hope Lakewood Animals,15.0
SAR-BAMBONI-TWIN-BLANKETS,23,Spruce,0.0
SAR-BAMBONI-TWIN-BLANKETS,23,Cameo,0.0
SAR-BAMBONI-TWIN-BLANKETS,23,Taupe,0.0
SAR-BABY-BMB-LITE-SETS,58,0-3 Months,0.0
SAR-BABY-BMB-LITE-SETS,23,Taupe,0.0
SAR-BABY-BMB-LITE-SETS,23,Light Blue,0.0
SAR-BABY-BMB-LITE-SETS,23,Light Pink,0.0
SAR-BABY-BMB-LITE-SETS,58,3-6 Months,0.0
SAR-BABY-BMB-LITE-SETS,58,6-12 Months,0.0
SAR-DREAM-TOD,23,Lilac,0.0
SAR-FX-FUR-PILLOWCA,58,Queen,0.0
SAR-FX-FUR-PILLOWCA,23,Cream,0.0
SAR-FX-FUR-PILLOWCA,23,Charcoal,0.0
SAR-FX-FUR-PILLOWCA,23,Feather,0.0
SAR-FX-FUR-PILLOWCA,23,Dove,0.0
SAR-FX-FUR-PILLOWCA,23,Hazel,0.0
SAR-FX-FUR-PILLOWCA,23,Classic Leopard,0.0
SAR-FX-FUR-PILLOWCA,23,Snow Leopard,0.0
SAR-FX-FUR-PILLOWCA,58,King,1.65
SAR-PLEATED-DUST-RUFFLE,23,Cream,0.0
SAR-STRETCHY-SWADDLES-HATS,58,Swaddle,16.13
SAR-STRETCHY-SWADDLES-HATS,23,Juniper,16.13
SAR-SUPERMAN-DBL-LAYER-BMB,58,Mini,0.0
SAR-SUPERMAN-DBL-LAYER-BMB,58,Receiving,33.0
SAR-SUPERMAN-DBL-LAYER-BMB,58,Throw,117.0
SAR-SUPERMAN-DBL-LAYER-BMB,58,XL,167.0
SAR-VERY-HGRY-CAT-MNKY-STR,58,Mini,0.0
SAR-VERY-HGRY-CAT-MNKY-STR,58,Receiving,18.0
SAR-VERY-HGRY-CAT-MNKY-STR,58,Toddler,40.0
SAR-WONDER-WOMAN-DBL-LAYER,58,Mini,0.0
SAR-WONDER-WOMAN-DBL-LAYER,58,Receiving,33.0
SAR-WONDER-WOMAN-DBL-LAYER,58,Throw,117.0
SAR-WONDER-WOMAN-DBL-LAYER,58,XL,167.0
SAR-BATMAN-DBL-LAYER-BMB,58,Mini,0.0
SAR-BATMAN-DBL-LAYER-BMB,58,Receiving,33.0
SAR-BATMAN-DBL-LAYER-BMB,58,Throw,117.0
SAR-BATMAN-DBL-LAYER-BMB,58,XL,167.0
SAR-BOY-WHO-LIVED-DBL-LAYER,58,Mini,0.0
SAR-BOY-WHO-LIVED-DBL-LAYER,58,Receiving,33.0
SAR-BOY-WHO-LIVED-DBL-LAYER,58,Throw,117.0
SAR-BOY-WHO-LIVED-DBL-LAYER,58,XL,167.0
SAR-HOGWARTS-CREST-DBL-LAYER,58,Throw,0.0
SAR-HOGWARTS-CREST-DBL-LAYER,58,XL,50.0
SAR-JL-JL-MSLN-LUSH,58,Mini,0.0
SAR-ELF-SNUGGLER,58,Teen,10.0
SAR-ELF-SNUGGLER,58,Adult,20.0
SAR-PTR-RBT-COTTON-MSLN-CRIB,23,Girl,0.0
SAR-PTR-RBT-COTTON-MSLN-CRIB,23,Boy,0.0
SAR-BAMBONI-TODDLER-BLANKET,23,Sun-kissed,0.0
SAR-BAMBONI-TODDLER-BLANKET,23,Golden,0.0
SAR-BAMBONI-TODDLER-BLANKET,23,Surf,0.0
SAR-BAMBONI-TODDLER-BLANKET,23,Cameo,0.0
SAR-BAMBONI-TODDLER-BLANKET,23,Moonbeam,0.0
SAR-BAMBONI-TODDLER-BLANKET,23,Ginger,0.0
SAR-BAMBONI-TODDLER-BLANKET,23,Charcoal,0.0
SAR-STUFFED-ANIMALS,58,Puppy,0.0
SAR-STUFFED-ANIMALS,58,Bunny,0.0
SAR-STUFFED-ANIMALS,58,Bear,0.0
SAR-STUFFED-ANIMALS,58,Elephant,0.0
SAR-STUFFED-ANIMALS,58,Lamb,0.0
SAR-STUFFED-ANML-ROCKERS,58,Puppy,0.0
SAR-STUFFED-ANML-ROCKERS,58,Bear,0.0
SAR-STUFFED-ANML-ROCKERS,58,Elephant,0.0
