ID,PriceDiffs,ProductCodes
1011,"-45, -32, -17, -12","SAR-CHNK-KNT-LG, SAR-RIBBED-BMB, SAR-RIBBED-BMB-QUEEN-KING, SAR-RIBBED-BMB-XL-LG"
1012,"-21, -20, -19, 0","SAR-BMB-HATS, SAR-BMB-SOCKS, SAR-BMB-TOD, SAR-MNKY-PLAY-MAT, SAR-WFL-KNT, SAR-WFL-KNT-KING, SAR-WFL-KNT-QUEEN, SAR-WFL-KNT-ROBES, SAR-WFL-KNT-TWIN, SAR-WFL-KNT-XL-LG"
1037,"20, 30, 70, 90","SAR-GRAND-FX-FUR, SAR-GRAND-FX-FUR-KING, SAR-GRAND-FX-FUR-QUEEN, SAR-GRAND-FX-FUR-XL-LG"
1038,"-10, -4, 20, 30, 70, 90","SAR-GRAND-FX-FUR, SAR-GRAND-FX-FUR-12X20, SAR-GRAND-FX-FUR-2-PACK-EURO, SAR-GRAND-FX-FUR-KING, SAR-GRAND-FX-FUR-QUEEN, SAR-GRAND-FX-FUR-XL-LG"
1039,"20, 30","SAR-GRAND-FX-FUR, SAR-GRAND-FX-FUR-XL-LG"
1040,"20, 30","SAR-GRAND-FX-FUR, SAR-GRAND-FX-FUR-XL-LG"
1048,"-75, -69, 0","SAR-FX-FUR-FULL-QUEEN, SAR-FX-FUR-KING, SAR-MNKY-STR, SAR-MNKY-STR-LUXE-ROBES, SAR-MNKY-STR-XL-LG, SAR-SNUGGLER"
1049,"-75, -69, -23","SAR-FX-FUR-FULL-QUEEN, SAR-FX-FUR-KING, SAR-WEARABLE"
1089,"-17, -9","SAR-MNKY-LUSH-TOD, SAR-MNKY-LUSH-XL-LG"
1090,"-17, -9","SAR-MNKY-LUSH-TOD, SAR-MNKY-LUSH-XL-LG"
1091,"-21, 0","SAR-BMB-SNUGGLER, SAR-BMB-TOD, SAR-COZY-BMB-ROBES, SAR-PTRN-FX-FUR-XL-LG"
1093,"-75, -69, 0","SAR-FX-FUR-FULL-QUEEN, SAR-FX-FUR-KING, SAR-FX-FUR-TWIN"
1106,"-32, -17, -12, 0","SAR-BMB-TOD, SAR-MNKY-PLAY-MAT, SAR-RIBBED-BMB, SAR-RIBBED-BMB-QUEEN-KING, SAR-RIBBED-BMB-XL-LG"
1110,"-21, -20, -19, 0","SAR-WFL-KNT, SAR-WFL-KNT-KING, SAR-WFL-KNT-QUEEN, SAR-WFL-KNT-ROBES, SAR-WFL-KNT-TWIN, SAR-WFL-KNT-XL-LG"
1111,"-21, -20, -19, 0","SAR-SNUGGLER, SAR-WFL-KNT, SAR-WFL-KNT-KING, SAR-WFL-KNT-QUEEN, SAR-WFL-KNT-ROBES, SAR-WFL-KNT-TWIN, SAR-WFL-KNT-XL-LG"
1112,"-21, -20, -19, 0","SAR-WFL-KNT, SAR-WFL-KNT-KING, SAR-WFL-KNT-QUEEN, SAR-WFL-KNT-ROBES, SAR-WFL-KNT-TWIN, SAR-WFL-KNT-XL-LG"
1113,"-21, -20, -19, 0","SAR-WFL-KNT, SAR-WFL-KNT-KING, SAR-WFL-KNT-QUEEN, SAR-WFL-KNT-ROBES, SAR-WFL-KNT-TWIN, SAR-WFL-KNT-XL-LG"
1114,"-20, -19, 0","SAR-WFL-KNT, SAR-WFL-KNT-QUEEN, SAR-WFL-KNT-ROBES, SAR-WFL-KNT-TWIN"
1115,"-21, -20, -19, 0","SAR-WFL-KNT, SAR-WFL-KNT-KING, SAR-WFL-KNT-QUEEN, SAR-WFL-KNT-ROBES, SAR-WFL-KNT-TOD, SAR-WFL-KNT-TWIN, SAR-WFL-KNT-XL-LG"
1117,"-13, 0","SAR-BMB-SETS, SAR-BMB-TOD"
1119,"-21, 0","SAR-BMB-SNUGGLER, SAR-BMB-TOD"
1149,"-9, 0","SAR-GRAND-FX-FUR-2-PACK-EURO, SAR-GRAND-FX-FUR-KING, SAR-GRAND-FX-FUR-QUEEN"
1154,"-75, -69, -23","SAR-FX-FUR-FULL-QUEEN, SAR-FX-FUR-KING, SAR-WEARABLE"
1155,"-75, -69","SAR-FX-FUR-FULL-QUEEN, SAR-FX-FUR-KING"
1156,"-75, -69, 0","SAR-FX-FUR-FULL-QUEEN, SAR-FX-FUR-KING, SAR-SNUGGLER"
1158,"-75, -69","SAR-FX-FUR-FULL-QUEEN, SAR-FX-FUR-KING"
