ProductCode,ProductPrice,OptionIDs,HideProduct
SAR-DBL-RCH-FX-FUR,139.0,,N
SAR-DBL-RCH-FX-FUR-XL-LG,189.0,,N
SAR-LUSH,119.0,,N
SAR-LUSH-XL-LG,169.0,,N
SAR-LUSH-TOD,85.0,,N
SAR-CHNK-KNT-LG,134.25,,N
SAR-PTRN-FX-FUR,119.0,,N
SAR-PTRN-FX-FUR-XL-LG,169.0,,N
SAR-MNKY-STR,59.0,,N
SAR-MNKY-STR-XL-LG,79.0,,N
SAR-MNKY-LUSH-XL-LG,118.3,,N
SAR-MNKY-LUSH-TOD,76.5,,N
SAR-MNKY-LUSH,22.5,,N
SAR-BMBU-RYN-MSLN-XL-LG-4,161.1,,N
SAR-PLSH-FX-FUR,103.2,,Y
SAR-GRAND-FX-FUR,149.0,,N
SAR-GRAND-FX-FUR-XL-LG,189.0,,N
SAR-GRAND-FX-FUR-KING,389.0,,N
SAR-GRAND-FX-FUR-QUEEN,329.0,,N
SAR-GRAND-FX-FUR-12X20,15.63,,N
SAR-RIBBED-BMB,107.1,,N
SAR-RIBBED-BMB-XL-LG,152.1,,N
SAR-RIBBED-BMB-QUEEN-KING,177.65,,N
SAR-WFL-KNT,119.0,,N
SAR-WFL-KNT-XL-LG,169.0,,N
SAR-WFL-KNT-KING,188.1,,N
SAR-WFL-KNT-QUEEN,179.1,,N
SAR-WFL-KNT-TWIN,170.1,,N
SAR-COZY-BMB-ROBES,125.0,,N
SAR-LUSH-MINI,25.0,,N
SAR-LUSH-RCV,55.0,,N
SAR-WEARABLE,36.88,,N
SAR-BMB-HATS,25.0,,N
SAR-BMB-SOCKS,19.0,,N
SAR-BMB-TOD,85.0,,N
SAR-BMB-SNUGGLER,84.0,,N
SAR-SNUGGLER,65.0,,N
SAR-MNKY-PLAY-MAT,32.0,,N
SAR-DBL-LAYER-BMB-TOD,78.75,,N
SAR-FX-FUR-TWIN,199.0,,N
SAR-BMBU-RYN-MSLN-4-LAYER,60.0,,N
SAR-BMBU-RYN-MSLN-QUEEN-KING,156.75,,Y
SAR-COTTON-MSLN-4-LAYER,52.0,,N
SAR-BAMBONI-TWIN-BLANKETS,189.0,,N
SAR-BABY-BMB-LITE-SETS,52.0,,N
SAR-BMBU-RYN-MSLN-PILLOWCA,18.13,,Y
SAR-FX-FUR-PILLOWCA,18.53,,Y
SAR-PLEATED-DUST-RUFFLE,45.0,,N
SAR-SATIN-BACK-TOD,76.5,,N
SAR-SATIN-BORDER-TOD,85.0,,N
SAR-STRETCHY-SWADDLES-HATS,2.0,,N
SAR-SUPERMAN-DBL-LAYER-BMB,42.0,,N
SAR-VERY-HGRY-CAT-MNKY-STR,22.0,,Y
SAR-WFL-KNT-TOD,85.0,,N
SAR-WIZARDIN-WORLD-CHARM,32.0,,N
SAR-WONDER-WOMAN-DBL-LAYER,42.0,,N
SAR-HP-HP-MSLN-NRS,25.0,,N
SAR-HP-HP-ICONS-MNKY-LUSH,32.0,,N
SAR-BATMAN-DBL-LAYER-BMB,42.0,,N
SAR-BOY-WHO-LIVED-DBL-LAYER,42.0,,N
SAR-HOGWARTS-CREST-DBL-LAYER,159.0,,N
SAR-JL-JL-MSLN-LUSH,32.0,,N
SAR-JL-JL-SNUGGLER,75.0,,N
SAR-ELF-SNUGGLER,75.0,,N
SAR-PTR-RBT-COTTON-MSLN-CRIB,42.0,,Y
SAR-STUFFED-ANML-ROCKERS,159.0,,N
SAR-STUFFED-ANIMALS,35.0,,N
