"ProductCode","ProductPrice","OptionIDs","HideProduct"
"SAR-DBL-RCH-FX-FUR","139.0","1342, 1017, 1015, 1014, 1019, 1021, 1020, 1018, 1016, 1343, 1013, 1023, 1022","N"
"SAR-DBL-RCH-FX-FUR-XL-LG","189.0","1342, 1017, 1015, 1014, 1019, 1021, 1020, 1018, 1016, 1343, 1013, 1023, 1022","N"
"SAR-LUSH","119.0","1417, 1418, 1050","N"
"SAR-LUSH-XL-LG","169.0","1056, 1064, 1069, 1420, 1070, 1421, 1075, 1059, 1066, 1055, 1419, 1058, 1065, 1067, 1057, 1053, 1071, 1068, 1073, 1063","N"
"SAR-LUSH-TOD","85.0","1074, 1056, 1064, 1069, 1423, 1070, 1424, 1066, 1055, 1422, 1058, 1065, 1062, 1067, 1057, 1053, 1071, 1068, 1073","N"
"SAR-CHNK-KNT-LG","134.25","1011","N"
"SAR-PTRN-FX-FUR","119.0","1430, 1375, 1428, 1384, 1378, 1383, 1429, 1386, 1377, 1373, 1374, 1425, 1376, 1427, 1382, 1426, 1379, 1381, 1380, 1387, 1385","N"
"SAR-PTRN-FX-FUR-XL-LG","169.0","1103, 1435, 1094, 1433, 1105, 1099, 1104, 1434, 1386, 1098, 1095, 1066, 1432, 1097, 1065, 1102, 1091, 1100, 1092, 1101, 1387, 1385","N"
"SAR-MNKY-STR","59.0","1085, 1047, 1048, 1082, 1078, 1079, 1084, 1083, 1081","N"
"SAR-MNKY-STR-XL-LG","79.0","1085, 1047, 1048, 1082, 1078, 1079, 1084, 1083, 1081","N"
"SAR-MNKY-LUSH","118.3","1086, 1087, 1088","N"
"SAR-MNKY-LUSH-TOD","76.5","1089, 1090","N"
"SAR-BMBU-RYN-MSLN-XL-LG-4","161.1","1337, 1001, 1005, 1338, 1002, 1004, 1006, 1003","N"
"SAR-PLSH-FX-FUR","103.2","","Y"
"SAR-GRAND-FX-FUR","149.0","1035, 1038, 1036, 1039, 1037, 1040","N"
"SAR-GRAND-FX-FUR-XL-LG","189.0","1035, 1038, 1036, 1039, 1037, 1040","N"
"SAR-GRAND-FX-FUR-KING","389.0","1035, 1038, 1149, 1037","N"
"SAR-GRAND-FX-FUR-QUEEN","329.0","1035, 1038, 1036, 1149, 1037","N"
"SAR-GRAND-FX-FUR-12X20","15.63","1038, 1150","N"
"SAR-RIBBED-BMB","107.1","1106, 1440, 1011","N"
"SAR-RIBBED-BMB-XL-LG","152.1","1106, 1011, 1108, 1107","N"
"SAR-RIBBED-BMB-QUEEN-KING","177.65","1106, 1442, 1011","N"
"SAR-WFL-KNT","119.0","1112, 1114, 1012, 1111, 1110, 1115, 1113","N"
"SAR-WFL-KNT-XL-LG","169.0","1112, 1012, 1111, 1110, 1115, 1113","N"
"SAR-WFL-KNT-KING","188.1","1112, 1012, 1111, 1110, 1115, 1113","N"
"SAR-WFL-KNT-QUEEN","179.1","1112, 1114, 1012, 1111, 1110, 1115, 1113","N"
"SAR-WFL-KNT-TWIN","170.1","1112, 1114, 1012, 1111, 1110, 1115, 1113","N"
"SAR-COZY-BMB-ROBES","125.0","1121, 1065, 1091, 1219","N"
"SAR-LUSH-MINI","25.0","1064, 1448, 1449, 1075, 1066, 1055, 1447, 1058, 1065, 1060, 1062, 1071, 1068, 1073","N"
"SAR-LUSH-RCV","55.0","1074, 1056, 1070, 1450, 1055, 1058, 1067, 1057, 1071, 1068, 1073, 1063","N"
"SAR-WEARABLE","36.88","1154, 1049, 1413, 1411","N"
"SAR-BMB-HATS","25.0","1459, 1012","N"
"SAR-BMB-SOCKS","19.0","1460, 1012","N"
"SAR-BMB-TOD","85.0","1118, 1461, 1106, 1121, 1065, 1130, 1091, 1123, 1124, 1119, 1012, 1122, 1127, 1126, 1129, 1125, 1120, 1128, 1109, 1117, 1022","N"
"SAR-BMB-SNUGGLER","84.0","1463, 1091, 1119, 1462","N"
"SAR-SNUGGLER","65.0","1048, 1111, 1156, 1210","N"
"SAR-MNKY-PLAY-MAT","32.0","1106, 1060, 1012","N"
"SAR-DBL-LAYER-BMB-TOD","78.75","1137, 1136, 1139, 1135, 1138, 1132, 1131, 1133, 1134","N"
"SAR-FX-FUR-TWIN","199.0","1093","N"
"SAR-BMBU-RYN-MSLN-4-LAYER","60.0","1475, 1336, 1467, 1471, 1468, 1469, 1473, 1472","N"
"SAR-BMBU-RYN-MSLN-QUEEN-KING","156.75","","Y"
"SAR-COTTON-MSLN-4-LAYER","52.0","1162, 1161, 1340, 1160, 1159, 1339","N"
"SAR-BAMBONI-TWIN-BLANKETS","189.0","1477, 1476, 1478","N"
"SAR-BABY-BMB-LITE-SETS","52.0","1481, 1482, 1480, 1479, 1483, 1484","N"
"SAR-BMBU-RYN-MSLN-PILLOWCA","18.13","","Y"
"SAR-FX-FUR-PILLOWCA","18.53","","Y"
"SAR-PLEATED-DUST-RUFFLE","45.0","1495, 1354","N"
"SAR-SATIN-BACK-TOD","76.5","1169, 1168, 1164, 1167, 1170, 1171, 1165, 1166","N"
"SAR-SATIN-BORDER-TOD","85.0","1397, 1396, 1392, 1395, 1388, 1389, 1398, 1390, 1391, 1399, 1393, 1354, 1394","N"
"SAR-STRETCHY-SWADDLES-HATS","2.0","1407, 1406, 1497, 1403, 1400, 1402, 1410, 1409","N"
"SAR-SUPERMAN-DBL-LAYER-BMB","42.0","1498, 1499, 1500, 1501","N"
"SAR-VERY-HGRY-CAT-MNKY-STR","22.0","","Y"
"SAR-WFL-KNT-TOD","85.0","1144, 1141, 1140, 1115, 1142, 1143","N"
"SAR-WIZARDIN-WORLD-CHARM","32.0","1202, 1203, 1204, 1205","N"
"SAR-WONDER-WOMAN-DBL-LAYER","42.0","1505, 1506, 1507, 1508","N"
"SAR-HP-HP-MSLN-NRS","25.0","1361, 1360, 1359, 1363","N"
"SAR-HP-HP-ICONS-MNKY-LUSH","32.0","1202, 1203, 1204, 1205","N"
"SAR-BATMAN-DBL-LAYER-BMB","42.0","1509, 1510, 1511, 1512","N"
"SAR-BOY-WHO-LIVED-DBL-LAYER","42.0","1513, 1514, 1515, 1516","N"
"SAR-HOGWARTS-CREST-DBL-LAYER","159.0","1517, 1518","N"
"SAR-JL-JL-MSLN-LUSH","32.0","1519, 1367, 1368","N"
"SAR-JL-JL-SNUGGLER","75.0","1174, 1172, 1173, 1210","N"
"SAR-ELF-SNUGGLER","75.0","1521, 1520, 1348","N"
"SAR-PTR-RBT-COTTON-MSLN-CRIB","42.0","","Y"
"SAR-STUFFED-ANML-ROCKERS","159.0","1537, 1538, 1536","N"
"SAR-STUFFED-ANIMALS","35.0","1533, 1532, 1534, 1535, 1531","N"
