"ProductCode","ProductPrice","SalePrice","OptionIDs","HideProduct"
"SAR-BABY-BAMBONI-LITE-FOR-ABC","52","0","","N"
"SAR-BABY-BMB-LITE-SETS","52","0","1481, 1482, 1480, 1479, 1483, 1484","N"
"SAR-BAMBONI-HAT","25","0","","N"
"SAR-BAMBONI-SETS","125","0","","N"
"SAR-BAMBONI-SNUGGLER","105","0","","N"
"SAR-BAMBONI-SOCKS","19","0","","N"
"SAR-BAMBONI-TODDLER-BLANKET","85","0","1527, 1528, 1526","N"
"SAR-BAMBONI-TWIN-BLANKETS","189","0","1477, 1476, 1478","N"
"SAR-BATMAN-DBL-LAYER-BMB","42","0","1509, 1510, 1511, 1512","N"
"SAR-BATMAN-MNKY-LUSH","32","0","1202, 1203, 1204, 1205","N"
"SAR-BMB-HATS","25","0","1459, 1012","N"
"SAR-BMB-SETS","125","0","1444, 1117, 1446, 1445, 1443","N"
"SAR-BMB-SNUGGLER","105","0","1463, 1091, 1119, 1462","N"
"SAR-BMB-SOCKS","19","0","1460, 1012","N"
"SAR-BMB-TOD","85","0","1118, 1461, 1106, 1121, 1065, 1130, 1091, 1123, 1124, 1119, 1012, 1122, 1127, 1126, 1129, 1125, 1120, 1128, 1109, 1117, 1022","N"
"SAR-BMBU-RYN-MSLN-4-LAYER","75","0","1475, 1336, 1467, 1471, 1468, 1469, 1473, 1472","N"
"SAR-BMBU-RYN-MSLN-PILLOWCA","39","0","","N"
"SAR-BMBU-RYN-MSLN-QUEEN-KING","209","0","","N"
"SAR-BMBU-RYN-MSLN-XL-LG-4","179","0","1337, 1001, 1005, 1338, 1002, 1004, 1006, 1003","N"
"SAR-BOY-WHO-LIVED-DBL-LAYER","42","0","1513, 1514, 1515, 1516","N"
"SAR-CHNK-KNT-LG","179","0","1011","N"
"SAR-COTTON-MSLN-4-LAYER","65","0","1162, 1161, 1340, 1160, 1159, 1339","N"
"SAR-COZY-BMB-ROBES","125","0","1121, 1065, 1091, 1219","N"
"SAR-DBL-LAYER-BMB-TOD","105","0","1137, 1136, 1139, 1135, 1138, 1132, 1131, 1133, 1134","N"
"SAR-DBL-RCH-FX-FUR","139","0","1342, 1017, 1015, 1014, 1019, 1021, 1020, 1018, 1016, 1343, 1013, 1023, 1022","N"
"SAR-DBL-RCH-FX-FUR-XL-LG","189","0","1342, 1017, 1015, 1014, 1019, 1021, 1020, 1018, 1016, 1343, 1013, 1023, 1022","N"
"SAR-DREAM-TOD","85","0","1346, 1347, 1485, 1345, 1344","N"
"SAR-ELF-SNUGGLER","75","0","1521, 1520, 1348","N"
"SAR-FX-FUR-FULL-QUEEN","229","0","1048, 1158, 1154, 1093, 1049, 1155, 1156","N"
"SAR-FX-FUR-KING","249","0","1048, 1158, 1154, 1093, 1049, 1155, 1156","N"
"SAR-FX-FUR-PILLOWCA","45","0","","N"
"SAR-FX-FUR-TWIN","199","0","1093","N"
"SAR-GRAND-FX-FUR","149","0","1035, 1038, 1036, 1039, 1037, 1040","N"
"SAR-GRAND-FX-FUR-12X20","25","0","1038, 1150","N"
"SAR-GRAND-FX-FUR-2-PACK-EURO","59","0","1038, 1149","N"
"SAR-GRAND-FX-FUR-KING","389","0","1035, 1038, 1149, 1037","N"
"SAR-GRAND-FX-FUR-QUEEN","329","0","1035, 1038, 1036, 1149, 1037","N"
"SAR-GRAND-FX-FUR-XL-LG","189","0","1035, 1038, 1036, 1039, 1037, 1040","N"
"SAR-HOGWARTS-CREST-DBL-LAYER","159","0","1517, 1518","N"
"SAR-HP-HP-ICONS-MNKY-LUSH","32","0","1202, 1203, 1204, 1205","N"
"SAR-HP-HP-MSLN-NRS","25","0","1363","N"
"SAR-JL-JL-MSLN-LUSH","32","0","1519, 1367, 1368","N"
"SAR-JL-JL-SNUGGLER","75","0","1174, 1172, 1173, 1210","N"
"SAR-LUSH","119","0","1417, 1418, 1050","N"
"SAR-LUSH-MINI","25","0","1064, 1448, 1449, 1075, 1066, 1055, 1447, 1058, 1065, 1060, 1062, 1071, 1068, 1073","N"
"SAR-LUSH-RCV","55","0","1074, 1056, 1070, 1450, 1055, 1058, 1067, 1057, 1071, 1068, 1073, 1063","N"
"SAR-LUSH-TOD","85","0","1074, 1056, 1064, 1069, 1423, 1070, 1424, 1066, 1055, 1422, 1058, 1065, 1062, 1067, 1057, 1053, 1071, 1068, 1073","N"
"SAR-LUSH-XL-LG","169","0","1056, 1064, 1069, 1420, 1070, 1421, 1075, 1059, 1066, 1055, 1419, 1058, 1065, 1067, 1057, 1053, 1071, 1068, 1073, 1063","N"
"SAR-MNKY-LUSH","169","0","1086","N"
"SAR-MNKY-LUSH-TOD","85","0","1089, 1090","N"
"SAR-MNKY-LUSH-XL-LG","169","0","1089, 1090, 1086, 1087","N"
"SAR-MNKY-PLAY-MAT","32","0","1106, 1060, 1012","N"
"SAR-MNKY-STR","59","0","1085, 1047, 1048, 1082, 1078, 1079, 1084, 1083, 1081","N"
"SAR-MNKY-STR-LUXE-ROBES","105","0","1048, 1151, 1153, 1152, 1215, 1214, 1213","N"
"SAR-MNKY-STR-XL-LG","79","0","1085, 1047, 1048, 1082, 1078, 1079, 1084, 1083, 1081","N"
"SAR-PLEATED-DUST-RUFFLE","45","0","1495, 1354","N"
"SAR-PLSH-FX-FUR","129","0","","N"
"SAR-PTR-RBT-BMBU-RYN-MSLN","75","0","1370, 1369","N"
"SAR-PTR-RBT-BMBU-RYN-MSLN-02","32","0","1370, 1369","N"
"SAR-PTR-RBT-BMBU-RYN-MSLN-2","45","0","1372, 1371","N"
"SAR-PTR-RBT-COTTON-MSLN","32","0","1370, 1369","N"
"SAR-PTR-RBT-COTTON-MSLN-CRIB","42","0","","N"
"SAR-PTRN-FX-FUR","119","0","1430, 1375, 1428, 1384, 1378, 1383, 1429, 1386, 1377, 1373, 1374, 1425, 1376, 1427, 1382, 1426, 1379, 1381, 1380, 1387, 1385","N"
"SAR-PTRN-FX-FUR-XL-LG","169","0","1103, 1435, 1094, 1433, 1105, 1099, 1104, 1434, 1386, 1098, 1095, 1066, 1432, 1097, 1065, 1102, 1091, 1100, 1092, 1101, 1387, 1385","N"
"SAR-RIBBED-BMB","119","0","1106, 1440, 1011","N"
"SAR-RIBBED-BMB-QUEEN-KING","209","0","1106, 1442, 1011","N"
"SAR-RIBBED-BMB-XL-LG","169","0","1106, 1011, 1108, 1107","N"
"SAR-SATIN-BACK-TOD","85","0","1169, 1168, 1164, 1167, 1170, 1171, 1165, 1166","N"
"SAR-SATIN-BORDER-TOD","85","0","1397, 1396, 1392, 1395, 1388, 1389, 1398, 1390, 1391, 1399, 1393, 1354, 1394","N"
"SAR-SNUGGLER","65","0","1048, 1111, 1156, 1210","N"
"SAR-STRETCHY-SWADDLES-HATS","19","0","1407, 1406, 1497, 1403, 1400, 1402","N"
"SAR-STUFFED-ANIMALS","35","0","1533, 1532, 1534, 1535, 1531","N"
"SAR-STUFFED-ANML-ROCKERS","159","0","1537, 1538, 1536","N"
"SAR-SUPERMAN-DBL-LAYER-BMB","42","0","1498, 1499, 1500, 1501","N"
"SAR-SUPERMAN-MNKY-LUSH","32","0","1202, 1203, 1204, 1205","N"
