ProductCode,CategoryIDs
SAR-BAMBONI-TWIN-BLANKETS,209
SAR-BMBU-RYN-MSLN-4-LAYER,209
SAR-BMBU-RYN-MSLN-PILLOWCA,209
SAR-BMBU-RYN-MSLN-QUEEN-KING,209
SAR-BMBU-RYN-MSLN-XL-LG-4,209
SAR-COTTON-MSLN-4-LAYER,209
SAR-FX-FUR-PILLOWCA,209
SAR-FX-FUR-TWIN,209
SAR-GRAND-FX-FUR-12X20,209
SAR-GRAND-FX-FUR-2-PACK-EURO,209
SAR-GRAND-FX-FUR-KING,209
SAR-GRAND-FX-FUR-QUEEN,209
SAR-PLEATED-DUST-RUFFLE,209
SAR-PTR-RBT-COTTON-MSLN-CRIB,209
SAR-RIBBED-BMB-QUEEN-KING,209
SAR-WFL-KNT-KING,209
SAR-WFL-KNT-QUEEN,209
SAR-WFL-KNT-TWIN,209
