productcode,productname,option_category,values_oos_on_saranoni_but_live_on_mccabe
SAR-BMBU-RYN-MSLN-PILLOWCA,Bamboo Rayon Muslin Pillowcase Sets,Color,Botanica|Cambridge Stripe|Mini Swiss
SAR-BMBU-RYN-MSLN-QUEEN-KING,Bamboo Rayon Muslin Queen King 4-Layer Quilts,Color,Botanica|Cambridge Stripe|Mini Swiss
SAR-FX-FUR-FULL-QUEEN,Faux Fur Full Queen Blankets,Color,Hazel|Dove|Classic Leopard|Snow Leopard
SAR-FX-FUR-KING,Faux Fur King Blankets,Color,Hazel|Classic Leopard|Snow Leopard
SAR-FX-FUR-TWIN,Faux Fur Twin Blankets,Color,Cream|Charcoal|Feather
SAR-GRAND-FX-FUR-12X20,Grand Faux Fur 12X20 Pillow Covers,Color,Golden Sable|Arctic Hare|Gray Mink|Fawn|Timberwolf
SAR-GRAND-FX-FUR-KING,Grand Faux Fur King Blankets,Color,Fawn
SAR-LUSH,Lush Throw Blankets,Color,Walnut
SAR-LUSH-MINI,Lush Mini Blankets,Color,Ballet Slipper|Chambray|Navy|Storm Cloud|Natural|Blossom|Camel|Mineral Blue|Aubergine
SAR-LUSH-RCV,Lush Receiving Blankets,Color,Bloom|Hunter|Hazelnut|Blossom|Navy|Gray|Chiffon|Eucalyptus
SAR-LUSH-TOD,Lush Toddler Blankets,Color,Storm Cloud|Hazelnut|Chiffon
SAR-LUSH-XL-LG,Lush extra large Blankets,Color,Hazelnut|Hunter|Aubergine
SAR-MNKY-LUSH-XL-LG,Minky Lush extra large Blankets,Color,Ivy
SAR-RIBBED-BMB,Ribbed Bamboni Throw Blankets,Color,Moonbeam
SAR-RIBBED-BMB-XL-LG,Ribbed Bamboni extra large Blankets,Color,Moonbeam|Surf
SAR-SATIN-BACK-TOD,Satin Back Toddler Blankets,Color,Navy Twinkle Star
SAR-SNUGGLER,Snuggler,Color,Hunter|Navy
SAR-WFL-KNT-KING,Waffle Knit King Blankets,Color,Chestnut
SAR-WFL-KNT-XL-LG,Waffle Knit extra large Throw Blankets,Color,Chestnut
