productcode,append_optionids
SAR-BAMBONI-HAT,"1048,1300"
SAR-BAMBONI-SETS,"1048,1301,1302,1303,1304"
SAR-BAMBONI-SNUGGLER,"1048,1212,1305,1306"
SAR-BAMBONI-SOCKS,"1048,1300"
SAR-BAMBONI-TODDLER-BLANKET,"1047,1300,1301,1305,1306,1307,1308,1309,1310,1311,1312,1313,1314,1315,1316,1317,1318,1319,1320,1321,1322"
SAR-BAMBONI-TWIN-BLANKETS,"1301,1309,1322"
SAR-BATMAN-DBL-LAYER-BMB,"1323,1324,1325,1326"
SAR-BATMAN-MNKY-LUSH,"1324,1327,1328"
SAR-BMB-HATS,1048
SAR-BMB-SETS,"1048,1302,1303,1304"
SAR-BMB-SNUGGLER,"1048,1212"
SAR-BMB-SOCKS,1048
SAR-BMB-TOD,1047
SAR-BMBU-RYN-MSLN-4-LAYER,"1329,1330,1331,1332,1333,1334,1335,1336"
SAR-BMBU-RYN-MSLN-XL-LG-4,"1337,1338"
SAR-COTTON-MSLN-4-LAYER,"1339,1340"
SAR-COZY-BMB-ROBES,1341
SAR-DBL-RCH-FX-FUR,"1342,1343"
SAR-DBL-RCH-FX-FUR-XL-LG,"1342,1343"
SAR-DREAM-TOD,"1344,1345,1346,1347"
SAR-ELF-SNUGGLER,"1348,1349,1350"
SAR-GRAND-FX-FUR,"1351,1352,1353"
SAR-GRAND-FX-FUR-XL-LG,1353
SAR-HEIRLOOM-COTTON-KNT-SETS,"1154,1354,1355,1356,1357,1358"
SAR-HP-HP-ICONS-MNKY-LUSH,"1324,1327,1328"
SAR-HP-HP-MSLN-NRS,"1359,1360,1361,1362,1363,1364,1365,1366"
SAR-JL-JL-MSLN-LUSH,"1323,1367,1368"
SAR-JL-JL-SNUGGLER,"1349,1350"
SAR-LUSH,"1048,1049"
SAR-LUSH-MINI,"1047,1048,1049"
SAR-LUSH-RCV,1048
SAR-LUSH-TOD,"1047,1048,1049"
SAR-LUSH-XL-LG,"1047,1048,1049"
SAR-PLEATED-DUST-RUFFLE,"1154,1354"
SAR-PTR-RBT-BMBU-RYN-MSLN,"1369,1370"
SAR-PTR-RBT-BMBU-RYN-MSLN-02,"1369,1370"
SAR-PTR-RBT-BMBU-RYN-MSLN-2,"1371,1372"
SAR-PTR-RBT-COTTON-MSLN,"1369,1370"
SAR-PTRN-FX-FUR,"1048,1049,1093,1096,1305,1317,1373,1374,1375,1376,1377,1378,1379,1380,1381,1382,1383,1384,1385,1386,1387"
SAR-PTRN-FX-FUR-XL-LG,"1048,1049,1093,1096,1385,1386,1387"
SAR-RIBBED-BMB,1048
SAR-RIBBED-BMB-QUEEN-KING,1048
SAR-SATIN-BORDER-TOD,"1354,1388,1389,1390,1391,1392,1393,1394,1395,1396,1397,1398,1399"
SAR-SNUGGLER,1349
SAR-STRETCHY-SWADDLES-HATS,"1312,1400,1401,1402,1403,1404,1405,1406,1407,1408,1409,1410"
SAR-SUPERMAN-DBL-LAYER-BMB,"1323,1324,1325,1326"
SAR-SUPERMAN-MNKY-LUSH,"1324,1327,1328"
SAR-WEARABLE,"1049,1154,1411,1412,1413,1414"
SAR-WFL-KNT-ROBES,"1205,1415"
SAR-WIZARDIN-WORLD-CHARM,"1324,1327,1328"
SAR-WONDER-WOMAN-DBL-LAYER,"1323,1324,1325,1326"
SAR-WONDER-WOMAN-MNKY-LUSH,"1324,1327,1328"
