id,optioncatid,optionsdesc,pricediff,applytoproductcodes
1159,23,Simple Buds,0,SAR-COTTON-MSLN-4-LAYER
1160,23,Pine,0,SAR-COTTON-MSLN-4-LAYER
1161,23,Olive Branch,-13,SAR-COTTON-MSLN-4-LAYER
1162,23,Floral Fields,-13,SAR-COTTON-MSLN-4-LAYER
1163,23,Navy Twinkle Star,0,SAR-SATIN-BACK-TOD
1164,23,Dainty Floral,0,SAR-SATIN-BACK-TOD
1165,23,Sun and Sea,0,SAR-SATIN-BACK-TOD
1166,23,Tulip,0,SAR-SATIN-BACK-TOD
1167,23,Daisy,0,SAR-SATIN-BACK-TOD
1168,23,Cedar,0,SAR-SATIN-BACK-TOD
1169,23,Camo,0,SAR-SATIN-BACK-TOD
1170,23,Flora,0,SAR-SATIN-BACK-TOD
1171,23,Sea Glass,0,SAR-SATIN-BACK-TOD
1202,58,Mini,0,"SAR-WIZARDIN-WORLD-CHARM,SAR-HP-HP-ICONS-MNKY-LUSH"
1203,58,Receiving,33,"SAR-WIZARDIN-WORLD-CHARM,SAR-HP-HP-ICONS-MNKY-LUSH"
1204,58,Toddler,63,"SAR-WIZARDIN-WORLD-CHARM,SAR-HP-HP-ICONS-MNKY-LUSH"
1205,58,XL,147,"SAR-WIZARDIN-WORLD-CHARM,SAR-HP-HP-ICONS-MNKY-LUSH"
