productcode,productname,productprice,saleprice,productcategory,productweight,hideproduct,freeshippingitem,productdescription,productiondescription,techspecs,productkeywords,metatag_description,metatag_keywords,metatag_title
Adeline-Patio-Set,Adeline Wicker Patio 3-Piece Set by Steve Silver,1179,1179,181,145,,N,"The Adeline Wicker Patio 3-Piece Set creates an easy outdoor conversation spot with two egg-shaped swivel chairs and a matching side table. All-weather resin wicker, a powder-coated aluminum frame, and solution-dyed cushion covers make it a stylish choice for patios, porches, and covered outdoor spaces.","The Adeline outdoor conversation set includes two egg-shaped swivel chairs and a matching side table. All-weather resin wicker, powder-coated aluminum framing, and solution-dyed cushion covers create a durable patio grouping for porches, patios, and covered outdoor spaces.","• 3-piece patio set with two swivel chairs and side table
• All-weather resin wicker and aluminum frame
• Solution-dyed cushion covers
• Egg-shaped swivel chair design
• Ideal for patios, porches, and covered outdoor areas","Adeline patio set, Steve Silver outdoor furniture, wicker patio set, swivel patio chairs, outdoor conversation set","Shop Adeline Wicker Patio 3-Piece Set by Steve Silver at McCabe's Theater & Living. The Adeline outdoor conversation set includes two egg-shaped swivel chairs and a matching side table. All-weather resin wicker, powder-coate.","Adeline patio set, Steve Silver outdoor furniture, wicker patio set, swivel patio chairs, outdoor conversation set",Adeline Wicker Patio 3-Piece Set by Steve Silver
Burlington-Dining-Set,Burlington 7-Piece Dining Set by Steve Silver,799,799,215,235,,N,"The Burlington Dining Set blends modern comfort with a polished transitional look. A rich cocoa finish, muted black accents, and upholstered seating create a versatile dining group that can dress up a breakfast room or anchor a more formal dining space.","The Burlington 52-inch Round Table in mocha forms a centerpiece that marries elegance with style. The table features a sturdy circular base with ample clearance for chairs, a polygonal circle design, and a striking black accent on the apron and base that elevates the cocoa finish. Open-back side chairs feature tapered solid wood legs, shaped upholstered backs, and durable polyester upholstery for everyday dining comfort.","• 7-piece dining set with 52-inch round table and six upholstered side chairs
• Cocoa finish with black apron and base accent
• Crafted from oak veneers, Asian hardwood solids, and engineered woods
• Round table seats up to six
• 300 lb. weight capacity per chair
• Table: 52W x 52D x 30H in.; Chair: 20.25W x 23.35D x 35H in.","Burlington dining set, Steve Silver dining set, 7 piece dining set, round dining table, upholstered dining chairs, dining room furniture",Shop Burlington 7-Piece Dining Set by Steve Silver at McCabe's Theater & Living. The Burlington 52-inch Round Table in mocha forms a centerpiece that marries elegance with style. The table features a sturdy circular base.,"Burlington dining set, Steve Silver dining set, 7 piece dining set, round dining table, upholstered dining chairs, dining room furniture",Burlington 7-Piece Dining Set by Steve Silver
Canova-Dining-Set,Canova 7-Piece Dining Set by Steve Silver,999,999,215,245,,N,"The Canolson 7-Piece Dining Set, likely the Canova 7-Piece Dining Set, combines clean lines with a cathedral white finish, gray marble-style top, and six upholstered side chairs. The look works across classic, contemporary, and modern farmhouse dining rooms.","A charming 52-inch round Canova table combines a refined gray marble top with natural white veining and a white timber-beam trestle base. Six upholstered side chairs complete this casually elegant set for farmhouse, cottage, ranch, or transitional dining rooms.","• 7-piece dining set with 52-inch gray marble-top table and six side chairs
• Gray marble veneer top with white veining
• Pine solids, veneers, and engineered wood base in white finish
• Seats up to six
• Transitional farmhouse styling
• Table: 52W x 52D x 30.25H in.","Canova dining set, Steve Silver dining set, gray marble dining table, 7 piece dining set, farmhouse dining room, round dining table",Shop Canova 7-Piece Dining Set by Steve Silver at McCabe's Theater & Living. A charming 52-inch round Canova table combines a refined gray marble top with natural white veining and a white timber-beam trestle base. Si.,"Canova dining set, Steve Silver dining set, gray marble dining table, 7 piece dining set, farmhouse dining room, round dining table",Canova 7-Piece Dining Set by Steve Silver
Delilah-Patio-Chairs,Delilah Patio Chairs (Set of 2) by Steve Silver,999,999,181,118,,N,"The Delilah Patio Chairs bring a sculptural contemporary look outdoors with beveled side panels, rust-resistant aluminum frames, solution-dyed fabric, and fast-drying outdoor foam cushions. They offer a cleaner, more modern alternative to basic patio seating.","Neutral contemporary style for the outdoors with beveled side panels, rust-resistant aluminum frames, solution-dyed acrylic fabric, and fast-drying outdoor foam cushions. Dalilah patio chairs offer a sculptural modern alternative to basic patio seating.","• Set of two outdoor arm chairs
• Rust-resistant aluminum frame
• Solution-dyed acrylic fabric with 3.0-density foam cushions
• Beveled side panels with modern geometric profile
• Chair: 31W x 35D x 29H in.","Delilah patio chairs, Steve Silver outdoor chairs, patio arm chairs, outdoor dining chairs, aluminum patio seating","Shop Delilah Patio Chairs (Set of 2) by Steve Silver at McCabe's Theater & Living. Neutral contemporary style for the outdoors with beveled side panels, rust-resistant aluminum frames, solution-dyed acrylic fabric, and fast.","Delilah patio chairs, Steve Silver outdoor chairs, patio arm chairs, outdoor dining chairs, aluminum patio seating",Delilah Patio Chairs (Set of 2) by Steve Silver
Fitzgerald-Coffee-Table,Fitzgerald Coffee Table by Steve Silver,399,399,195,110,,N,"The Fitzgerald Coffee Table gives a living room or sitting area a practical center surface with a coordinated occasional-table look. Use it for drinks, books, trays, and decor, and pair it with the matching Fitzgerald End Table for a complete set.","The Fitzgerald Coffee Table gives a living room a practical center surface with a coordinated occasional-table look for drinks, books, trays, and decor. Pair with the matching Fitzgerald End Table.","• Occasional cocktail table for living rooms and sitting areas
• Coordinates with matching Fitzgerald end table
• Practical center surface for everyday use
• Transitional occasional styling","Fitzgerald coffee table, Steve Silver cocktail table, living room coffee table, occasional table","Shop Fitzgerald Coffee Table by Steve Silver at McCabe's Theater & Living. The Fitzgerald Coffee Table gives a living room a practical center surface with a coordinated occasional-table look for drinks, books, trays.","Fitzgerald coffee table, Steve Silver cocktail table, living room coffee table, occasional table",Fitzgerald Coffee Table by Steve Silver
Fitzgerald-End-Table,Fitzgerald End Table by Steve Silver,199,,195,60,,N,"The Fitzgerald End Table gives a seating area a compact surface for lighting, remotes, drinks, or decorative accents. Use one beside a sofa or chair, or pair two with the Fitzgerald Coffee Table for a coordinated occasional-table group.","The Fitzgerald End Table gives a seating area a compact surface for lighting, remotes, drinks, or decorative accents beside a sofa or chair, and coordinates with the Fitzgerald Coffee Table.","• Compact end table for sofa or chairside use
• Coordinates with Fitzgerald coffee table
• Useful surface for lighting, remotes, and decor
• Transitional occasional styling","Fitzgerald end table, Steve Silver end table, living room side table, occasional table","Shop Fitzgerald End Table by Steve Silver at McCabe's Theater & Living. The Fitzgerald End Table gives a seating area a compact surface for lighting, remotes, drinks, or decorative accents beside a sofa or chair,.","Fitzgerald end table, Steve Silver end table, living room side table, occasional table",Fitzgerald End Table by Steve Silver
Fortuna-Loveseat,Fortuna Power Reclining Console Loveseat by Steve Silver,899,899,147,210,,N,"The Fortuna Power Reclining Loveseat delivers plush motion seating with top-grain leather where you sit, power headrest and footrest controls, USB charging, and a center console for storage and cupholders. Contemporary lines and rich leather color options make it a strong fit for media rooms and living rooms.","Fortuna power reclining loveseat with top-grain leather seating areas, power headrest and footrest controls, USB charging, high-resiliency foam, and a center console with storage and cupholders.","• Power reclining loveseat with console
• Top-grain leather on seating areas
• Power headrest and footrest with USB charging
• Center console with storage and cupholders
• High-resiliency foam cushioning
• Approx. 73.5W x 38D x 41H in.","Fortuna loveseat, Steve Silver power reclining loveseat, leather reclining loveseat, console loveseat, motion furniture","Shop Fortuna Power Reclining Console Loveseat by Steve Silver at McCabe's Theater & Living. Fortuna power reclining loveseat with top-grain leather seating areas, power headrest and footrest controls, USB charging, high-resiliency f.","Fortuna loveseat, Steve Silver power reclining loveseat, leather reclining loveseat, console loveseat, motion furniture",Fortuna Power Reclining Console Loveseat by Steve Silver
Fortuna-Recliner,Fortuna Power Recliner by Steve Silver,699,699,186,125,,N,"The Fortuna Power Recliner offers the same comfort-focused design as the Fortuna motion group in a single-seat format. Top-grain leather seating areas, power headrest and footrest controls, USB charging, high-resiliency foam, and a home button make it a polished recliner for daily use.","Fortuna power recliner with top-grain leather seating areas, power headrest and footrest controls, USB charging, high-resiliency foam, and a home button to return the seat to its original position.","• Single-seat power recliner
• Top-grain leather on seating areas
• Power headrest and footrest with USB charging
• High-resiliency foam cushioning
• Approx. 38.5W x 38D x 41H in.","Fortuna recliner, Steve Silver power recliner, leather recliner, power reclining chair, motion furniture","Shop Fortuna Power Recliner by Steve Silver at McCabe's Theater & Living. Fortuna power recliner with top-grain leather seating areas, power headrest and footrest controls, USB charging, high-resiliency foam, and a.","Fortuna recliner, Steve Silver power recliner, leather recliner, power reclining chair, motion furniture",Fortuna Power Recliner by Steve Silver
Garcia-Bar,Garcia Bar Unit by Steve Silver,499,499,194,250,,N,"The Garcia Bar Unit adds a polished entertainment piece to the room with a glam mix of ebony accents and sleek silver-tone details. Designed for serving, storage, and display, it works well as a statement bar area for dining rooms, game rooms, or media spaces.","The Garcia Bar Unit adds a polished entertainment piece with ebony accents and sleek silver-tone details. Designed for serving, storage, and display in dining rooms, game rooms, or media spaces.","• Bar cabinet for serving and storage
• Ebony and silver-tone mixed-media styling
• Useful for dining, game room, or media spaces
• Glam contemporary bar design","Garcia bar, Steve Silver bar cabinet, home bar furniture, game room bar, entertainment bar","Shop Garcia Bar Unit by Steve Silver at McCabe's Theater & Living. The Garcia Bar Unit adds a polished entertainment piece with ebony accents and sleek silver-tone details. Designed for serving, storage, and.","Garcia bar, Steve Silver bar cabinet, home bar furniture, game room bar, entertainment bar",Garcia Bar Unit by Steve Silver
Grayson-Dining-Set,Grayson Counter Height Dining Set by Steve Silver,599,599,215,420,,N,"The Grayson Dining Set brings refined rustic style to everyday dining with gray marble-look surfaces, a dusty honey finish, upholstered seating, and useful storage in the table base. The counter-height profile works well in dining rooms, kitchens, and open-concept spaces.","Rustic charm meets modern elegance in the Grayson gray marble-top counter dining set. The 60-inch counter storage table anchors the group with a gray marble veneer top, dusty honey finish, and concealed storage in the base, paired with counter chairs and a counter bench for everyday dining.","• Counter-height dining set with storage table, four counter chairs, and bench
• Gray marble veneer top with pine solids and hardwoods
• 60-inch table seats six comfortably
• Storage base with two doors for dining essentials
• Antique white and dark oak multi-step finish
• Counter-height profile for kitchen and open dining spaces","Grayson dining set, Steve Silver counter dining, marble top dining set, counter height dining, storage dining table",Shop Grayson Counter Height Dining Set by Steve Silver at McCabe's Theater & Living. Rustic charm meets modern elegance in the Grayson gray marble-top counter dining set. The 60-inch counter storage table anchors the group wi.,"Grayson dining set, Steve Silver counter dining, marble top dining set, counter height dining, storage dining table",Grayson Counter Height Dining Set by Steve Silver
