productcode,productname,productprice,saleprice
SS-HY500SV,Hyland Server,329,329
SS-HY500SVB,"Hyland Server, Brown",329,329
SS-JA500SV,Joanna Two Tone Server,329,329
SS-AUB500SV,Auburn Server,499,499
SS-COL500WSV,"Colvin Server, Ivory",439,439
SS-COL500KSV,Colvin Server,439,439
SS-COL500NSV,Colvin Server,439,439
SS-COL500ESV,Colvin Server,439,439
SS-BUR500NSV,"Magnolia Cathedral Doored Server, Black",429,429
SS-AY200B,Adrian Sideboard,379,379
SS-GA500SV,Garland Sideboard,349,349
Karina-Sideboard,Karina Sideboard,699,699
