ProductCode,ProductName,Category,PieceType,ColorOption,Description,Dimensions,WeightLbs,WeightSource,MainFeatures,ImageCount,MainImage,SourceUrl
225181Q-S4,Lucaire 4-piece Queen Bedroom Set Sandstone,Bedroom Sets,Queen Bed,,"This bedroom set creates a modern yet timeless retreat with an arched upholstered bed as the graceful focal point. Cream chenille fabric softens the room, while warm airy sandstone case pieces bring curved fronts, honed engineered stone tops, and antique brass hardware into balance. Elm veneer, rubberwood, fabric, and engineered wood construction support a casual yet sophisticated bedroom with intentional storage and bedside function.","64.25""w x 86.75""d x 57.25""h",166.13,coasterfurniture.com listed,Queen 4-piece bedroom set creates a coordinated room with graceful modern style | Antique brass hardware adds intentional warmth to the light sandstone wood tone | Arched cream chenille headboard gives the bedroom a soft and timeless focal point | Bedside charging and refined drawer details support organized everyday routines | Curved sandstone case fronts add a charming contrast to the tailored bed profile | Honed engineered stone tops bring refined surfaces to the bedroom case pieces,1,225181Q-S4-1.jpg,https://www.coasterfurniture.com/furniture/category/Bedroom-Sets/Lucaire-Bedroom-Set/225181Q-S5
225181Q-S5,Lucaire 5-piece Queen Bedroom Set Sandstone,Bedroom Sets,Queen Bed,,"This bedroom set creates a modern yet timeless retreat with an arched upholstered bed as the graceful focal point. Cream chenille fabric softens the room, while warm airy sandstone case pieces bring curved fronts, honed engineered stone tops, and antique brass hardware into balance. Elm veneer, rubberwood, fabric, and engineered wood construction support a casual yet sophisticated bedroom with intentional storage and bedside function.","64.25""w x 86.75""d x 57.25""h",166.13,coasterfurniture.com listed,Antique brass hardware adds intentional warmth to the light sandstone wood tone | Arched cream chenille headboard gives the bedroom a soft and timeless focal point | Curved sandstone case fronts add a charming contrast to the tailored bed profile | Expanded storage configuration supports a more complete bedroom organization plan | Honed engineered stone tops bring refined surfaces to the bedroom case pieces | Queen 5-piece bedroom set creates a coordinated room with graceful modern style,1,225181Q-S5-1.jpg,https://www.coasterfurniture.com/furniture/category/Bedroom-Sets/Lucaire-Bedroom-Set/225181Q-S5
225110KE-S4,Farre 4-piece Eastern King Bedroom Set Washed Grey,Bedroom Sets,Eastern King Bed,,"This bedroom set creates a coordinated contemporary room built around an upholstered storage platform bed. Horizontal channel chenille panels soften the bed, while washed grey laminate veneer and polished nickel hardware tie the storage pieces together. The platform support system creates a mattress-ready bed profile, and two footboard drawers add practical storage. Matching case pieces complete the clean bedroom layout.","78.25""w x 85.75""d x 60.5""h",201.3,coasterfurniture.com listed,Eastern king bedroom set centers on an upholstered storage platform bed | Horizontal channel chenille panels soften the bed with tailored bedroom texture | Platform panel support system is designed for mattress use without a foundation | Polished nickel hardware coordinates across the matching bedroom storage pieces | Two footboard drawers add practical storage without changing the clean profile | Washed grey laminate veneer gives the room a calm contemporary wood-tone look,16,225110KE-S4-1.jpg,https://www.coasterfurniture.com/furniture/category/Bedroom-Sets/Farre-Storage-Bedroom-Set/225110Q-S5
225110KE-S5,Farre 5-piece Eastern King Bedroom Set Washed Grey,Bedroom Sets,Eastern King Bed,,"This bedroom set creates a coordinated contemporary room built around an upholstered storage platform bed. Horizontal channel chenille panels soften the bed, while washed grey laminate veneer and polished nickel hardware tie the storage pieces together. The platform support system creates a mattress-ready bed profile, and two footboard drawers add practical storage. Matching case pieces complete the clean bedroom layout.","78.25""w x 85.75""d x 60.5""h",201.3,coasterfurniture.com listed,Eastern king bedroom set centers on an upholstered storage platform bed | Expanded storage mix supports a complete and cohesive contemporary bedroom | Horizontal channel chenille panels soften the bed with tailored bedroom texture | Platform panel support system is designed for mattress use without a foundation | Polished nickel hardware coordinates across the matching bedroom storage pieces | Two footboard drawers add practical storage without changing the clean profile,15,225110KE-S5-1.jpg,https://www.coasterfurniture.com/furniture/category/Bedroom-Sets/Farre-Storage-Bedroom-Set/225110Q-S5
225110Q-S4,Farre 4-piece Queen Bedroom Set Washed Grey,Bedroom Sets,Queen Bed,,"This bedroom set creates a coordinated contemporary room built around an upholstered storage platform bed. Horizontal channel chenille panels soften the bed, while washed grey laminate veneer and polished nickel hardware tie the storage pieces together. The platform support system creates a mattress-ready bed profile, and two footboard drawers add practical storage. Matching case pieces complete the clean bedroom layout.","62.5""w x 85.75""d x 60.5""h",0.01,coasterfurniture.com listed,Horizontal channel chenille panels soften the bed with tailored bedroom texture | Platform panel support system is designed for mattress use without a foundation | Polished nickel hardware coordinates across the matching bedroom storage pieces | Queen bedroom set centers on an upholstered storage platform bed in washed grey | Two footboard drawers add practical storage without changing the clean profile | Washed grey laminate veneer gives the room a calm contemporary wood-tone look,16,225110Q-S4-1.jpg,https://www.coasterfurniture.com/furniture/category/Bedroom-Sets/Farre-Storage-Bedroom-Set/225110Q-S5
225110Q-S5,Farre 5-piece Queen Bedroom Set Washed Grey,Bedroom Sets,Queen Bed,,"This bedroom set creates a coordinated contemporary room built around an upholstered storage platform bed. Horizontal channel chenille panels soften the bed, while washed grey laminate veneer and polished nickel hardware tie the storage pieces together. The platform support system creates a mattress-ready bed profile, and two footboard drawers add practical storage. Matching case pieces complete the clean bedroom layout.","62.5""w x 85.75""d x 60.5""h",0.01,coasterfurniture.com listed,Expanded storage mix supports a complete and cohesive contemporary bedroom | Horizontal channel chenille panels soften the bed with tailored bedroom texture | Platform panel support system is designed for mattress use without a foundation | Polished nickel hardware coordinates across the matching bedroom storage pieces | Queen bedroom set centers on an upholstered storage platform bed in washed grey | Two footboard drawers add practical storage without changing the clean profile,15,225110Q-S5-1.jpg,https://www.coasterfurniture.com/furniture/category/Bedroom-Sets/Farre-Storage-Bedroom-Set/225110Q-S5
222901KE-S4,Bennett 4-piece Eastern King Bedroom Set Light Oak,Bedroom Sets,Eastern King Bed,Eastern King / 4,"Bedroom set creates a quiet sense of cohesion, pairing an upholstered panel bed with matching case pieces that bring texture and warmth to the room. Light oak surfaces finished in laminate veneer wrap engineered wood construction, while rubberwood legs keep the profile lifted and steady. Vertical reeding adds depth to select drawer fronts, and matte black hardware keeps the lines crisp. From morning routines to a calm close of day, the coordinated storage helps the bedroom stay clear and composed.","78.25""w x 86.5""d x 59""h",131.86,coasterfurniture.com listed,Four-piece eastern king bedroom set in light oak creates a storage-ready bedroom | Matte black hardware creates crisp contrast and an easy grip for daily routines here | Multiple drawers support clothing organization while keeping surfaces clear and tidy | Reeded drawer fronts add texture on case pieces while smooth fronts keep balance | Tipover restraint on storage pieces supports added stability for everyday bedroom use | Upholstered bed with cream panels adds soft contrast and a tailored headboard look,20,222901KE-S4-1.jpg,https://www.coasterfurniture.com/furniture/category/Bedroom-Sets/Bennett-Bedroom-Set/222901Q-S5
222901KE-S5,Bennett 5-piece Eastern King Bedroom Set Light Oak,Bedroom Sets,Eastern King Bed,Eastern King / 5,"Bedroom set creates a quiet sense of cohesion, pairing an upholstered panel bed with matching case pieces that bring texture and warmth to the room. Light oak surfaces finished in laminate veneer wrap engineered wood construction, while rubberwood legs keep the profile lifted and steady. Vertical reeding adds depth to select drawer fronts, and matte black hardware keeps the lines crisp. From morning routines to a calm close of day, the coordinated storage helps the bedroom stay clear and composed.","78.25""w x 86.5""d x 59""h",131.86,coasterfurniture.com listed,Five-piece eastern king bedroom set in light oak creates a storage-ready bedroom | Matte black hardware creates crisp contrast and an easy grip for daily routines here | Multiple drawers support clothing organization while keeping surfaces clear and tidy | Reeded drawer fronts add texture on case pieces while smooth fronts keep balance | Tipover restraint on storage pieces supports added stability for everyday bedroom use | Upholstered bed with cream panels adds soft contrast and a tailored headboard look,20,222901KE-S5-1.jpg,https://www.coasterfurniture.com/furniture/category/Bedroom-Sets/Bennett-Bedroom-Set/222901Q-S5
222901KW-S4,Bennett 4-piece California King Bedroom Set Light Oak,Bedroom Sets,California King Bed,California King / 4,"Bedroom set creates a quiet sense of cohesion, pairing an upholstered panel bed with matching case pieces that bring texture and warmth to the room. Light oak surfaces finished in laminate veneer wrap engineered wood construction, while rubberwood legs keep the profile lifted and steady. Vertical reeding adds depth to select drawer fronts, and matte black hardware keeps the lines crisp. From morning routines to a calm close of day, the coordinated storage helps the bedroom stay clear and composed.","78.25""w x 90.5""d x 59""h",140.68,coasterfurniture.com listed,Four-piece california king bedroom set in light oak creates a storage-ready bedroom | Matte black hardware creates crisp contrast and an easy grip for daily routines here | Multiple drawers support clothing organization while keeping surfaces clear and tidy | Reeded drawer fronts add texture on case pieces while smooth fronts keep balance | Tipover restraint on storage pieces supports added stability for everyday bedroom use | Upholstered bed with cream panels adds soft contrast and a tailored headboard look,20,222901KW-S4-1.jpg,https://www.coasterfurniture.com/furniture/category/Bedroom-Sets/Bennett-Bedroom-Set/222901Q-S5
222901KW-S5,Bennett 5-piece California King Bedroom Set Light Oak,Bedroom Sets,California King Bed,California King / 5,"Bedroom set creates a quiet sense of cohesion, pairing an upholstered panel bed with matching case pieces that bring texture and warmth to the room. Light oak surfaces finished in laminate veneer wrap engineered wood construction, while rubberwood legs keep the profile lifted and steady. Vertical reeding adds depth to select drawer fronts, and matte black hardware keeps the lines crisp. From morning routines to a calm close of day, the coordinated storage helps the bedroom stay clear and composed.","78.25""w x 90.5""d x 59""h",140.68,coasterfurniture.com listed,Five-piece california king bedroom set in light oak creates a storage-ready bedroom | Matte black hardware creates crisp contrast and an easy grip for daily routines here | Multiple drawers support clothing organization while keeping surfaces clear and tidy | Reeded drawer fronts add texture on case pieces while smooth fronts keep balance | Tipover restraint on storage pieces supports added stability for everyday bedroom use | Upholstered bed with cream panels adds soft contrast and a tailored headboard look,20,222901KW-S5-1.jpg,https://www.coasterfurniture.com/furniture/category/Bedroom-Sets/Bennett-Bedroom-Set/222901Q-S5
