ProductCode,ProductName,Category,PieceType,ColorOption,Description,Dimensions,WeightLbs,WeightSource,MainFeatures,ImageCount,MainImage,SourceUrl
193750-S5A,Galindo 5-piece 52-inch Round Dining Set Light Grey and Walnut,Dining Room Sets,Dining Table,,"A 52-inch round table anchors this dining set with matched walnut veneer patterning and a sculptural slatted drum base. The thick-edge tabletop brings warm mid-century presence, while upholstered side chairs soften the room with textured low-pile chenille and open-back shaping. Walnut tones connect the table and chair frames, creating a coordinated dining space with relaxed modern character.","52""w x 52""d x 30""h",105.84,coasterfurniture.com listed,52-inch round dining set creates a coordinated centerpiece for casual meals | Light grey chenille chairs soften the set with textured upholstered surfaces | Matched walnut veneer tabletop adds rich pattern movement to the dining room | Open-back chair profiles add a relaxed lounge-inspired look around the table | Tapered slatted drum base gives the table a sculptural mid-century presence | Walnut tones connect the table and chair frames for a coordinated dining layout,12,193750-S5A-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Galindo-52-inch-Round-Dining-Set/193750-S5B
193750-S5B,Galindo 5-piece 52-inch Round Dining Set Nutmeg and Walnut,Dining Room Sets,Dining Table,,"A 52-inch round table anchors this dining set with matched walnut veneer patterning and a sculptural slatted drum base. The thick-edge tabletop brings warm mid-century presence, while upholstered side chairs soften the room with textured low-pile chenille and open-back shaping. Walnut tones connect the table and chair frames, creating a coordinated dining space with relaxed modern character.","52""w x 52""d x 30""h",105.84,coasterfurniture.com listed,52-inch round dining set creates a coordinated centerpiece for casual meals | Matched walnut veneer tabletop adds rich pattern movement to the dining room | Nutmeg chenille chairs add warm color through textured upholstered surfaces | Open-back chair profiles add a relaxed lounge-inspired look around the table | Tapered slatted drum base gives the table a sculptural mid-century presence | Walnut tones connect the table and chair frames for a coordinated dining layout,12,193750-S5B-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Galindo-52-inch-Round-Dining-Set/193750-S5B
193580-S5,Mueller 5-piece 48-inch Round Dining Set Brown and Beige,Dining Room Sets,Dining Table,,"A compact round table anchors this dining set with warm mindi veneer character and a sculptural mid-century base. Geometric angled legs and a center square shelf give the table a distinctive profile, while beige upholstered chairs soften the arrangement with curved backs and textured fabric. The mix of a solid wood table base, engineered wood tabletop, foam, and fabric supports an inviting everyday dining setup.","48""w x 48""d x 30""h",55,coasterfurniture.com listed,48-inch round dining set creates a coordinated space for casual daily meals | Center square shelf gives the table base an added detail between supports | Curved chair backs soften the dining layout with a friendly upholstered shape | Geometric angled legs bring sculptural mid-century character to the set | Mindi veneer table pairs with beige upholstered chairs for warm contrast | Solid wood table base adds structure beneath the round dining surface,11,193580-S5-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Mueller-48-inch-Round-Dining-Set/193580-S5
192721-S7,Merrin 7-piece 55-inch Rectangular Dining Set Off White and Walnut,Dining Room Sets,Dining Table,,"Crisp contrast defines this 55-inch rectangular dining set, pairing a white high-gloss tabletop with warm walnut framing and coordinated off white seating. The table’s clean apron and tapered legs set a simple foundation, while curved schoolhouse-inspired chair backs bring familiar character to the arrangement. Leatherette seats, foam cushioning, solid rubberwood base construction, and engineered wood elements support a polished everyday dining space.","55""w x 31.5""d x 30""h",55.79,coasterfurniture.com listed,55-inch rectangular dining set creates a coordinated layout for daily meals | Curved chair backs add schoolhouse-inspired character to the dining arrangement | Off white leatherette seats coordinate with the light tabletop for a clean look | Solid rubberwood and engineered wood elements support casual dining function | Walnut table base and chair frames bring warm contrast to the bright surfaces | White high-gloss tabletop adds a crisp reflective surface to the dining room,1,192721-S7-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Merrin-55-inch-Rectangular-Dining-Set/192721-S7
192520-S7,Randolph 7-piece Smart Top Rectangular Dining Set Sheesham and Brown,Dining Room Sets,Dining Table,,"A sappy walnut-look Smart Top table anchors this rectangular dining set with warm movement and durable everyday function. The recycled tabletop is molded under heat and pressure, then finished with an extra-durable laminate surface designed to resist heat and liquid. A red brown trestle base adds sculptural support, while butterscotch microfiber side chairs bring a two-tone turtle-back design that cradles the back with soft dining comfort.","78.75""w x 39.25""d x 29.75""h",102.36,coasterfurniture.com listed,Butterscotch microfiber chairs feature a two-tone back that cradles the body | Coordinated table and chair silhouettes create a complete everyday dining setting | Heat- and liquid-resistant laminate surface supports busy family dining routines | Red brown trestle base adds curved support and warm mid-century modern character | Sappy walnut-look tabletop brings vibrant movement to the rectangular dining set | Seven-piece dining set pairs a Smart Top table with turtle-back side chairs,15,192520-S7-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Randolph-Smart-Top-Rectangular-Dining-Set/192520-S7
193981-S5,Garza 5-piece Rectangular Dining Table Greige Oak,Dining Room Sets,Dining Table,,Dining set pairs a rectangular greige oak laminate veneer table with matching upholstered dining chairs to create a cohesive dining arrangement. The engineered wood table top rests on a sturdy metal frame while padded leatherette chairs offer everyday comfort. Designed with a clean transitional profile this set balances durability with streamlined style. Ideal for kitchens dining rooms and apartments it provides a complete dining solution with coordinated seating.,"47.25""w x 29.5""d x 30""h",41.45,coasterfurniture.com listed,Dining set combines practical seating with streamlined transitional style | Five-piece dining set creates a cohesive dining arrangement for everyday meals | Greige oak laminate veneer table top delivers warm wood-look texture | Matte black metal frame provides strong structural table support | Padded leatherette dining chairs offer comfortable everyday seating | Rectangular table shape works well in kitchens and dining rooms,14,193981-S5-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Garza-Dining-Set/193981-S5
193980-S5,Garza 5-piece Space Saving Rectangular Dining Table Greige Oak,Dining Room Sets,Dining Table,,Dining set combines a compact rectangular table with coordinating upholstered chairs to create a practical space saving dining solution. The greige oak laminate veneer table pairs with a sturdy metal frame for a clean modern silhouette while the padded chairs provide comfortable seating. Engineered wood construction and durable upholstery ensure everyday reliability. Designed for kitchens apartments and smaller dining areas this set balances style function and efficient use of space.,"29.5""w x 23.5""d x 30""h",26.46,coasterfurniture.com listed,Dining set delivers practical seating for meals gatherings and daily use | Five-piece dining set in greige oak creates a coordinated dining room layout | Greige oak laminate veneer table top provides warm wood-look texture | Matte black metal frame supports the table with clean modern structure | Rectangular table design fits easily in compact dining spaces | Upholstered dining chairs add padded comfort for everyday dining,13,193980-S5-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Garza-Compact-Dining-Set/193980-S5
193958BLK-S7E,Decker 7-piece 70-inch Rectangular Counter Height Dining Set Grey and Black,Dining Room Sets,Counter Height Dining Table,Black / Grey,"Seven-piece rectangular counter height dining set pairs a thick slab-top table with softly structured upholstered seating for a calm, tailored dining presence. The 70-inch surface and tall panel legs create a grounded centerpiece, while grey biscuit-tufted chairs with rounded corners and tapered legs add clean texture and balanced contrast. Ash veneer over durable wood construction supports the elevated silhouette, making the set well suited to casual meals, kitchen islands, and open dining spaces.","70.25""w x 35.5""d x 36""h",140.01,coasterfurniture.com listed,"Black counter height dining set pairs a 70-inch table with grey biscuit-tufted chairs | Thick slab top and tall panel legs give the table a grounded elevated presence | Grey upholstered seating adds soft texture and a tailored elevated look | Biscuit-tufted and tapered legs keep the chair profile clean and refined | Ash veneer and durable wood construction support everyday dining and gathering | Seven-piece layout suits kitchens, islands, and open dining spaces with ease",15,193958BLK-S7E-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Decker-Counter-Height-Dining-Set-E/193958WAL-S7E
193958NAT-S7E,Decker 7-piece 70-inch Rectangular Counter Height Dining Set Grey and Natural Oak,Dining Room Sets,Counter Height Dining Table,Natural Oak / Grey,"Seven-piece rectangular counter height dining set pairs a thick slab-top table with softly structured upholstered seating for a calm, tailored dining presence. The 70-inch surface and tall panel legs create a grounded centerpiece, while grey biscuit-tufted chairs with rounded corners and tapered legs add clean texture and balanced contrast. Ash veneer over durable wood construction supports the elevated silhouette, making the set well suited to casual meals, kitchen islands, and open dining spaces.","70.25""w x 35.5""d x 36""h",140.01,coasterfurniture.com listed,"Natural oak counter height dining set pairs a 70-inch table with grey biscuit-tufted chairs | Thick slab top and tall panel legs give the table a grounded elevated presence | Grey upholstered seating adds soft texture and a tailored elevated look | Biscuit-tufted and tapered legs keep the chair profile clean and refined | Ash veneer and durable wood construction support everyday dining and gathering | Seven-piece layout suits kitchens, islands, and open dining spaces with ease",15,193958NAT-S7E-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Decker-Counter-Height-Dining-Set-E/193958WAL-S7E
193958WAL-S7E,Decker 7-piece 70-inch Counter Height Dining Set Grey and Walnut,Dining Room Sets,Counter Height Dining Table,Dark Walnut / Grey,"Seven-piece rectangular counter height dining set pairs a thick slab-top table with softly structured upholstered seating for a calm, tailored dining presence. The 70-inch surface and tall panel legs create a grounded centerpiece, while grey biscuit-tufted chairs with rounded corners and tapered legs add clean texture and balanced contrast. Walnut veneer over durable wood construction supports the elevated silhouette, making the set well suited to casual meals, kitchen islands, and open dining spaces.","70.25""w x 35.5""d x 36""h",140.01,coasterfurniture.com listed,"Walnut counter height dining set pairs a 70-inch table with grey biscuit-tufted chairs | Thick slab top and tall panel legs give the table a grounded elevated presence | Grey upholstered seating adds soft texture and a tailored elevated look | Biscuit-tufted and tapered legs keep the chair profile clean and refined | Walnut veneer and durable wood construction support everyday dining and gathering | Seven-piece layout suits kitchens, islands, and open dining spaces with ease",15,193958WAL-S7E-1.jpg,https://www.coasterfurniture.com/furniture/category/Dining-Room-Sets/Decker-Counter-Height-Dining-Set-E/193958WAL-S7E
