code,product,optionGroup,optionValue,saranoniInStock,onMySite,action
SAR-BABY-BMB-LITE-SETS,Baby Bamboni® Lite Set,Size,0-3 Months,YES,YES,
SAR-BABY-BMB-LITE-SETS,Baby Bamboni® Lite Set,Size,3-6 Months,YES,YES,
SAR-BABY-BMB-LITE-SETS,Baby Bamboni® Lite Set,Size,6-12 Months,YES,YES,
SAR-BABY-BMB-LITE-SETS,Baby Bamboni® Lite Set,Color,Taupe,YES,YES,
SAR-BABY-BMB-LITE-SETS,Baby Bamboni® Lite Set,Color,Light Blue,YES,YES,
SAR-BABY-BMB-LITE-SETS,Baby Bamboni® Lite Set,Color,Light Pink,YES,YES,
SAR-BAMBONI-TWIN-BLANKETS,Bamboni® Twin Blanket,Color,Spruce,YES,YES,
SAR-BAMBONI-TWIN-BLANKETS,Bamboni® Twin Blanket,Color,Cameo,YES,YES,
SAR-BAMBONI-TWIN-BLANKETS,Bamboni® Twin Blanket,Color,Taupe,YES,YES,
SAR-BATMAN-DBL-LAYER-BMB,Batman™ Double-Layer Bamboni® Blanket,Size,Mini,YES,YES,
SAR-BATMAN-DBL-LAYER-BMB,Batman™ Double-Layer Bamboni® Blanket,Size,Receiving,YES,NO,ADD to my site
SAR-BATMAN-DBL-LAYER-BMB,Batman™ Double-Layer Bamboni® Blanket,Size,Throw,YES,NO,ADD to my site
SAR-BATMAN-DBL-LAYER-BMB,Batman™ Double-Layer Bamboni® Blanket,Size,XL,YES,NO,ADD to my site
SAR-BATMAN-MNKY-LUSH,Batman™ Minky/Lush Blanket,Size,Mini,YES,YES,
SAR-BATMAN-MNKY-LUSH,Batman™ Minky/Lush Blanket,Size,Receiving,YES,NO,ADD to my site
SAR-BATMAN-MNKY-LUSH,Batman™ Minky/Lush Blanket,Size,Toddler,YES,NO,ADD to my site
SAR-BATMAN-MNKY-LUSH,Batman™ Minky/Lush Blanket,Size,XL,YES,NO,ADD to my site
SAR-BMB-HATS,Bamboni® Hat,Color,Charcoal,YES,YES,
SAR-BMB-HATS,Bamboni® Hat,Color,Moonbeam,YES,YES,
SAR-BMB-SETS,Bamboni® Set,Size,Small,YES,YES,
SAR-BMB-SETS,Bamboni® Set,Size,Medium,YES,YES,
SAR-BMB-SETS,Bamboni® Set,Size,Large,YES,YES,
SAR-BMB-SETS,Bamboni® Set,Color,Taupe,YES,YES,
SAR-BMB-SETS,Bamboni® Set,Color,Charcoal,YES,YES,
SAR-BMB-SNUGGLER,Bamboni® Snuggler,Size,Adult,YES,YES,
SAR-BMB-SNUGGLER,Bamboni® Snuggler,Color,Charcoal,YES,YES,
SAR-BMB-SNUGGLER,Bamboni® Snuggler,Color,Ivory,YES,YES,
SAR-BMB-SNUGGLER,Bamboni® Snuggler,Color,Light Pink,YES,YES,
SAR-BMB-SOCKS,Bamboni® Socks,Color,Charcoal,YES,YES,
SAR-BMB-SOCKS,Bamboni® Socks,Color,Moonbeam,YES,YES,
SAR-BMB-TOD,Bamboni® Toddler Blanket,Color,Woodrose,YES,YES,
SAR-BMB-TOD,Bamboni® Toddler Blanket,Color,Birch,YES,YES,
SAR-BMB-TOD,Bamboni® Toddler Blanket,Color,Light Pink,YES,YES,
SAR-BMB-TOD,Bamboni® Toddler Blanket,Color,Spruce,YES,YES,
SAR-BMB-TOD,Bamboni® Toddler Blanket,Color,French Rose,YES,YES,
