id,optioncatid,optionsdesc,pricediff,applytoproductcodes
,58,Receiving,0,SAR-BATMAN-DBL-LAYER-BMB
,58,Throw,0,SAR-BATMAN-DBL-LAYER-BMB
,58,XL,0,SAR-BATMAN-DBL-LAYER-BMB
,58,Receiving,0,SAR-BATMAN-MNKY-LUSH
,58,Toddler,0,SAR-BATMAN-MNKY-LUSH
,58,XL,0,SAR-BATMAN-MNKY-LUSH
,58,Receiving,0,SAR-BOY-WHO-LIVED-DBL-LAYER
,58,Throw,0,SAR-BOY-WHO-LIVED-DBL-LAYER
,58,XL,0,SAR-BOY-WHO-LIVED-DBL-LAYER
,23,Taupe,0,SAR-COZY-BMB-ROBES
,23,Tori Halford,0,SAR-COZY-BMB-ROBES
,23,Montana Coles,0,SAR-DBL-RCH-FX-FUR
,23,Victoria Lawson,0,SAR-DBL-RCH-FX-FUR
,23,Montana Coles,0,SAR-DBL-RCH-FX-FUR-XL-LG
,23,Victoria Lawson,0,SAR-DBL-RCH-FX-FUR-XL-LG
,58,Teen,0,SAR-ELF-SNUGGLER
,58,Adult,0,SAR-ELF-SNUGGLER
,23,Timberwolf,0,SAR-GRAND-FX-FUR
,23,Midnight Plaid,0,SAR-GRAND-FX-FUR
,23,Truffle Plaid,0,SAR-GRAND-FX-FUR
,23,Timberwolf,0,SAR-GRAND-FX-FUR-KING
,23,Timberwolf,0,SAR-GRAND-FX-FUR-QUEEN
,23,Timberwolf,0,SAR-GRAND-FX-FUR-XL-LG
,23,Midnight Plaid,0,SAR-GRAND-FX-FUR-XL-LG
,23,Truffle Plaid,0,SAR-GRAND-FX-FUR-XL-LG
,23,Cream,0,SAR-HEIRLOOM-COTTON-KNT-SETS
,58,XL,0,SAR-HOGWARTS-CREST-DBL-LAYER
,58,Receiving,0,SAR-HP-HP-ICONS-MNKY-LUSH
,58,Toddler,0,SAR-HP-HP-ICONS-MNKY-LUSH
,58,XL,0,SAR-HP-HP-ICONS-MNKY-LUSH
,58,Muslin/Lush Mini,0,SAR-HP-HP-MSLN-NRS
,58,Crib Sheet,0,SAR-HP-HP-MSLN-NRS
,58,Changing Cover,0,SAR-HP-HP-MSLN-NRS
,58,Muslin/Lush Quilt,0,SAR-HP-HP-MSLN-NRS
,58,Quilt,0,SAR-JL-JL-MSLN-LUSH
,58,XL,0,SAR-JL-JL-MSLN-LUSH
,58,Teen,0,SAR-JL-JL-SNUGGLER
,58,Adult,0,SAR-JL-JL-SNUGGLER
,23,Elf™,0,SAR-MNKY-LUSH
,58,Teen,0,SAR-SNUGGLER
,23,Rose Dust,0,SAR-SNUGGLER
,58,Receiving,0,SAR-SUPERMAN-DBL-LAYER-BMB
,58,Throw,0,SAR-SUPERMAN-DBL-LAYER-BMB
,58,XL,0,SAR-SUPERMAN-DBL-LAYER-BMB
,58,Medium Minky,0,SAR-WEARABLE
,58,Medium Faux Fur,0,SAR-WEARABLE
,58,Receiving,0,SAR-WIZARDIN-WORLD-CHARM
,58,Toddler,0,SAR-WIZARDIN-WORLD-CHARM
,58,XL,0,SAR-WIZARDIN-WORLD-CHARM
,58,Receiving,0,SAR-WONDER-WOMAN-DBL-LAYER
,58,Throw,0,SAR-WONDER-WOMAN-DBL-LAYER
,58,XL,0,SAR-WONDER-WOMAN-DBL-LAYER
