productcode,optiongroup,optioncatid,optionsdesc,pricediff,status
SAR-BATMAN-DBL-LAYER-BMB,Size,58,Receiving,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-BATMAN-DBL-LAYER-BMB,Size,58,Throw,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-BATMAN-DBL-LAYER-BMB,Size,58,XL,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-BATMAN-MNKY-LUSH,Size,58,Receiving,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-BATMAN-MNKY-LUSH,Size,58,Toddler,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-BATMAN-MNKY-LUSH,Size,58,XL,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-BOY-WHO-LIVED-DBL-LAYER,Size,58,Receiving,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-BOY-WHO-LIVED-DBL-LAYER,Size,58,Throw,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-BOY-WHO-LIVED-DBL-LAYER,Size,58,XL,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-COZY-BMB-ROBES,Color,23,Taupe,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-COZY-BMB-ROBES,Color,23,Tori Halford,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-DBL-RCH-FX-FUR,Color,23,Montana Coles,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-DBL-RCH-FX-FUR,Color,23,Victoria Lawson,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-DBL-RCH-FX-FUR-XL-LG,Color,23,Montana Coles,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-DBL-RCH-FX-FUR-XL-LG,Color,23,Victoria Lawson,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-ELF-SNUGGLER,Size,58,Teen,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-ELF-SNUGGLER,Size,58,Adult,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-GRAND-FX-FUR,Color,23,Timberwolf,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-GRAND-FX-FUR,Color,23,Midnight Plaid,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-GRAND-FX-FUR,Color,23,Truffle Plaid,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-GRAND-FX-FUR-KING,Color,23,Timberwolf,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-GRAND-FX-FUR-QUEEN,Color,23,Timberwolf,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-GRAND-FX-FUR-XL-LG,Color,23,Timberwolf,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-GRAND-FX-FUR-XL-LG,Color,23,Midnight Plaid,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-GRAND-FX-FUR-XL-LG,Color,23,Truffle Plaid,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-HEIRLOOM-COTTON-KNT-SETS,Color,23,Cream,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-HOGWARTS-CREST-DBL-LAYER,Size,58,XL,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-HP-HP-ICONS-MNKY-LUSH,Size,58,Receiving,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-HP-HP-ICONS-MNKY-LUSH,Size,58,Toddler,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-HP-HP-ICONS-MNKY-LUSH,Size,58,XL,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-HP-HP-MSLN-NRS,Size,58,Muslin/Lush Mini,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-HP-HP-MSLN-NRS,Size,58,Crib Sheet,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-HP-HP-MSLN-NRS,Size,58,Changing Cover,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-HP-HP-MSLN-NRS,Size,58,Muslin/Lush Quilt,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-JL-JL-MSLN-LUSH,Size,58,Quilt,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-JL-JL-MSLN-LUSH,Size,58,XL,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-JL-JL-SNUGGLER,Size,58,Teen,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-JL-JL-SNUGGLER,Size,58,Adult,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-MNKY-LUSH,Color,23,Elf™,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-SNUGGLER,Size,58,Teen,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-SNUGGLER,Color,23,Rose Dust,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-STUFFED-ANML-LVYS,Style,60,Lamb,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-SUPERMAN-DBL-LAYER-BMB,Size,58,Receiving,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-SUPERMAN-DBL-LAYER-BMB,Size,58,Throw,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-SUPERMAN-DBL-LAYER-BMB,Size,58,XL,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-WEARABLE,Size,58,Medium Minky,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-WEARABLE,Size,58,Medium Faux Fur,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-WIZARDIN-WORLD-CHARM,Size,58,Receiving,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-WIZARDIN-WORLD-CHARM,Size,58,Toddler,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-WIZARDIN-WORLD-CHARM,Size,58,XL,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-WONDER-WOMAN-DBL-LAYER,Size,58,Receiving,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-WONDER-WOMAN-DBL-LAYER,Size,58,Throw,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
SAR-WONDER-WOMAN-DBL-LAYER,Size,58,XL,0,"queued in saranoni_options_import.csv — applytoproductcodes handles linking, no separate Products_Import step needed"
