code,myName,saranoniTitle,matchScore,closest,productAvailable,optionDiff,descMatchPct,bulletMatchPct,saranoniImages650,myImageCount,notes
SAR-BABY-BMB-LITE-SETS,Baby Bamboni® Lite Set,BABY BAMBONI® LITE SETS,1.05,,YES,,63%,no bullets on saranoni,13,1,
SAR-BAMBONI-TWIN-BLANKETS,Bamboni® Twin Blanket,BAMBONI® TWIN BLANKETS,0.97,,YES,,47%,no bullets on saranoni,11,2,
SAR-BATMAN-DBL-LAYER-BMB,Batman™ Double-Layer Bamboni® Blanket,Batman™ Double-Layer Bamboni®,1.10,,YES,Size: missing on my site: Receiving; Throw; XL | Size: on my site but not saranoni (hide?): Receiving [Additional $33.00]; Throw [Additional $117.00]; XL [Additional $167.00],49%,no bullets on saranoni,17,2,
SAR-BATMAN-MNKY-LUSH,Batman™ Minky/Lush Blanket,Batman™ Minky/Lush,1.05,,YES,Size: missing on my site: Receiving; Toddler; XL | Size: on my site but not saranoni (hide?): Receiving [Additional $33.00]; Toddler [Additional $63.00]; XL [Additional $147.00],58%,no bullets on saranoni,16,2,
SAR-BMB-HATS,Bamboni® Hat,BAMBONI® HATS,0.80,,YES,,41%,no bullets on saranoni,7,2,
SAR-BMB-SETS,Bamboni® Set,BAMBONI® SETS,0.80,,YES,,74%,no bullets on saranoni,14,1,
SAR-BMB-SNUGGLER,Bamboni® Snuggler,BAMBONI® SNUGGLER,1.00,,YES,,57%,no bullets on saranoni,12,1,
SAR-BMB-SOCKS,Bamboni® Socks,BAMBONI® SOCKS,1.00,,YES,,46%,no bullets on saranoni,8,2,
SAR-BMB-TOD,Bamboni® Toddler Blanket,BAMBONI® TODDLER BLANKETS,0.97,,YES,,71%,100% of 5 bullets,85,2,
SAR-BMB-TWIN,Bamboni® Twin Blanket,BAMBONI® TWIN BLANKETS,0.97,,YES,,47%,no bullets on saranoni,11,2,
SAR-BMBU-RYN-MSLN-4-LAYER,Bamboo Rayon Muslin 4-Layer Quilt,BAMBOO RAYON MUSLIN 4-LAYER QUILTS,1.13,,YES,Color: OUT OF STOCK at saranoni (hide): Floret; By Hope Wild Wood,79%,100% of 5 bullets,42,2,
SAR-BMBU-RYN-MSLN-PILLOWCA,Bamboo Rayon Muslin Pillowcase Set,BAMBOO RAYON MUSLIN PILLOWCASE SETS,1.10,,ENTIRE PRODUCT OUT OF STOCK — HIDE,Size: OUT OF STOCK at saranoni (hide): Queen/King | Color: OUT OF STOCK at saranoni (hide): Botanica; Cambridge Stripe; Mini Swiss,73%,100% of 5 bullets,13,1,
SAR-BMBU-RYN-MSLN-QUEEN-KING,Bamboo Rayon Muslin Queen/King 4-Layer Quilt,BAMBOO RAYON MUSLIN QUEEN/KING 4-LAYER QUILTS,1.18,,ENTIRE PRODUCT OUT OF STOCK — HIDE,Color: OUT OF STOCK at saranoni (hide): Botanica; Cambridge Stripe; Mini Swiss,76%,100% of 5 bullets,13,2,
SAR-BMBU-RYN-MSLN-XL-LG-4,Bamboo Rayon Muslin XL 4-Layer Quilt,BAMBOO RAYON MUSLIN XL 4-LAYER QUILTS,1.16,,YES,,75%,100% of 5 bullets,39,2,
SAR-BOY-WHO-LIVED-DBL-LAYER,The Boy Who Lived Double-Layer Bamboni® Blanket,The Boy Who Lived Double-Layer Bamboni®,1.18,,YES,Size: missing on my site: Receiving; Throw; XL | Size: on my site but not saranoni (hide?): Receiving [Additional $33.00]; Throw [Additional $117.00]; XL [Additional $167.00],32%,no bullets on saranoni,17,1,
SAR-CHNK-KNT-LG,Chunky Knit Large Throw Blanket,CHUNKY KNIT LARGE THROW BLANKETS,1.10,,YES,,66%,100% of 5 bullets,4,2,
SAR-COTTON-MSLN-4-LAYER,Cotton Muslin 4-Layer Quilt,COTTON MUSLIN 4-LAYER QUILTS,1.10,,YES,,79%,100% of 5 bullets,18,2,
