productcode,existingOptionIds,newValuesPending,instructions
SAR-BATMAN-DBL-LAYER-BMB,"1509,1510,1511,1512","Receiving, Throw, XL","After importing saranoni_options_import.csv, look up the new id(s) Volusion assigned for the new value(s) above, then set this product's Products_Import optionids to: 1509,1510,1511,1512,<NEW_ID>"
SAR-BATMAN-MNKY-LUSH,"1202,1203,1204,1205","Receiving, Toddler, XL","After importing saranoni_options_import.csv, look up the new id(s) Volusion assigned for the new value(s) above, then set this product's Products_Import optionids to: 1202,1203,1204,1205,<NEW_ID>"
SAR-BOY-WHO-LIVED-DBL-LAYER,"1513,1514,1515,1516","Receiving, Throw, XL","After importing saranoni_options_import.csv, look up the new id(s) Volusion assigned for the new value(s) above, then set this product's Products_Import optionids to: 1513,1514,1515,1516,<NEW_ID>"
SAR-COZY-BMB-ROBES,"1121,1065,1091,1341","Taupe, Tori Halford","After importing saranoni_options_import.csv, look up the new id(s) Volusion assigned for the new value(s) above, then set this product's Products_Import optionids to: 1121,1065,1091,1341,<NEW_ID>"
SAR-DBL-RCH-FX-FUR,"1342,1017,1015,1014,1019,1021,1020,1018,1016,1343,1013,1023,1022","Montana Coles, Victoria Lawson","After importing saranoni_options_import.csv, look up the new id(s) Volusion assigned for the new value(s) above, then set this product's Products_Import optionids to: 1342,1017,1015,1014,1019,1021,1020,1018,1016,1343,1013,1023,1022,<NEW_ID>"
SAR-DBL-RCH-FX-FUR-XL-LG,"1342,1017,1015,1014,1019,1021,1020,1018,1016,1343,1013,1023,1022","Montana Coles, Victoria Lawson","After importing saranoni_options_import.csv, look up the new id(s) Volusion assigned for the new value(s) above, then set this product's Products_Import optionids to: 1342,1017,1015,1014,1019,1021,1020,1018,1016,1343,1013,1023,1022,<NEW_ID>"
SAR-ELF-SNUGGLER,"1521,1520,1348","Teen, Adult","After importing saranoni_options_import.csv, look up the new id(s) Volusion assigned for the new value(s) above, then set this product's Products_Import optionids to: 1521,1520,1348,<NEW_ID>"
SAR-GRAND-FX-FUR,"1035,1038,1036,1039,1037,1040","Timberwolf, Midnight Plaid, Truffle Plaid","After importing saranoni_options_import.csv, look up the new id(s) Volusion assigned for the new value(s) above, then set this product's Products_Import optionids to: 1035,1038,1036,1039,1037,1040,<NEW_ID>"
SAR-GRAND-FX-FUR-KING,"1035,1038,1149,1037",Timberwolf,"After importing saranoni_options_import.csv, look up the new id(s) Volusion assigned for the new value(s) above, then set this product's Products_Import optionids to: 1035,1038,1149,1037,<NEW_ID>"
SAR-GRAND-FX-FUR-QUEEN,"1035,1038,1036,1149,1037",Timberwolf,"After importing saranoni_options_import.csv, look up the new id(s) Volusion assigned for the new value(s) above, then set this product's Products_Import optionids to: 1035,1038,1036,1149,1037,<NEW_ID>"
SAR-GRAND-FX-FUR-XL-LG,"1035,1038,1036,1039,1037,1040","Timberwolf, Midnight Plaid, Truffle Plaid","After importing saranoni_options_import.csv, look up the new id(s) Volusion assigned for the new value(s) above, then set this product's Products_Import optionids to: 1035,1038,1036,1039,1037,1040,<NEW_ID>"
SAR-HEIRLOOM-COTTON-KNT-SETS,"1355,1354",Cream,"After importing saranoni_options_import.csv, look up the new id(s) Volusion assigned for the new value(s) above, then set this product's Products_Import optionids to: 1355,1354,<NEW_ID>"
SAR-HOGWARTS-CREST-DBL-LAYER,"1517,1518",XL,"After importing saranoni_options_import.csv, look up the new id(s) Volusion assigned for the new value(s) above, then set this product's Products_Import optionids to: 1517,1518,<NEW_ID>"
SAR-HP-HP-ICONS-MNKY-LUSH,"1202,1203,1204,1205","Receiving, Toddler, XL","After importing saranoni_options_import.csv, look up the new id(s) Volusion assigned for the new value(s) above, then set this product's Products_Import optionids to: 1202,1203,1204,1205,<NEW_ID>"
SAR-HP-HP-MSLN-NRS,"1365,1364,1362,1366,1363","Muslin/Lush Mini, Crib Sheet, Changing Cover, Muslin/Lush Quilt","After importing saranoni_options_import.csv, look up the new id(s) Volusion assigned for the new value(s) above, then set this product's Products_Import optionids to: 1365,1364,1362,1366,1363,<NEW_ID>"
SAR-JL-JL-MSLN-LUSH,"1519,1367,1368","Quilt, XL","After importing saranoni_options_import.csv, look up the new id(s) Volusion assigned for the new value(s) above, then set this product's Products_Import optionids to: 1519,1367,1368,<NEW_ID>"
SAR-JL-JL-SNUGGLER,1210,"Teen, Adult","After importing saranoni_options_import.csv, look up the new id(s) Volusion assigned for the new value(s) above, then set this product's Products_Import optionids to: 1210,<NEW_ID>"
SAR-MNKY-LUSH,1086,Elf™,"After importing saranoni_options_import.csv, look up the new id(s) Volusion assigned for the new value(s) above, then set this product's Products_Import optionids to: 1086,<NEW_ID>"
SAR-SNUGGLER,1210,Teen,"After importing saranoni_options_import.csv, look up the new id(s) Volusion assigned for the new value(s) above, then set this product's Products_Import optionids to: 1210,<NEW_ID>"
SAR-SNUGGLER,"1048,1111,1156",Rose Dust,"After importing saranoni_options_import.csv, look up the new id(s) Volusion assigned for the new value(s) above, then set this product's Products_Import optionids to: 1048,1111,1156,<NEW_ID>"
SAR-STUFFED-ANML-LVYS,"1206,1207,1208,1209",Lamb,"After importing saranoni_options_import.csv, look up the new id(s) Volusion assigned for the new value(s) above, then set this product's Products_Import optionids to: 1206,1207,1208,1209,<NEW_ID>"
SAR-SUPERMAN-DBL-LAYER-BMB,"1498,1499,1500,1501","Receiving, Throw, XL","After importing saranoni_options_import.csv, look up the new id(s) Volusion assigned for the new value(s) above, then set this product's Products_Import optionids to: 1498,1499,1500,1501,<NEW_ID>"
SAR-WEARABLE,"1414,1412,1413,1411","Medium Minky, Medium Faux Fur","After importing saranoni_options_import.csv, look up the new id(s) Volusion assigned for the new value(s) above, then set this product's Products_Import optionids to: 1414,1412,1413,1411,<NEW_ID>"
SAR-WIZARDIN-WORLD-CHARM,"1202,1203,1204,1205","Receiving, Toddler, XL","After importing saranoni_options_import.csv, look up the new id(s) Volusion assigned for the new value(s) above, then set this product's Products_Import optionids to: 1202,1203,1204,1205,<NEW_ID>"
SAR-WONDER-WOMAN-DBL-LAYER,"1505,1506,1507,1508","Receiving, Throw, XL","After importing saranoni_options_import.csv, look up the new id(s) Volusion assigned for the new value(s) above, then set this product's Products_Import optionids to: 1505,1506,1507,1508,<NEW_ID>"
