code,myName,ssName,matchedBy,inStock,descMatchPct,bulletMatchPct,ssImageCount,myImageCount,weight,dimensions,notes
SS-ALEX-CHOC-PWR-SECT,"Alexandria Leather 6-Piece Power Reclining Sectional, Chocolate",NARA 6-PIECE DUAL-POWER LEATHER RECLINING SECTIONAL,name(0.75),YES,0%,0% of 7,5,1,656.8,39 x 31 x 30,
SS-ALEX-STONE-PWR-SECT,"Alexandria Leather 6-Piece Power Reclining Sectional, Stone",NARA 6-PIECE DUAL-POWER LEATHER RECLINING SECTIONAL,name(0.75),YES,0%,0% of 7,5,2,656.8,39 x 31 x 30,
SS-ALEXANDRIA-CHOCOLATE-80LOVE,"Alexandria Leather Power Reclining Console Loveseat, Chocolate","Alexandria Leather Power Reclining Console Loveseat, Chocolate",name(1.00),YES,0%,0% of 12,11,1,256.96,,
SS-ALEXANDRIA-CHOCOLATE-91SOFA,"Alexandria Power Leather Reclining Sofa, Chocolate","Alexandria Power Leather Reclining Sofa, Chocolate",name(1.00),YES,0%,0% of 11,15,1,302.28,,
SS-ALEXANDRIA-CHOCOLATE-RECL,"Alexandria Leather Power Recliner, Chocolate","Alexandria Leather Power Recliner, Chocolate",name(1.00),YES,0%,0% of 9,10,1,125,40.5 x 40.5 x 30.5,
SS-ALEXANDRIA-STONE-80LOVE,"Alexandria Leather Power Reclining Console Loveseat, Stone","Alexandria Leather Power Reclining Console Loveseat, Stone",name(1.00),YES,0%,0% of 12,11,1,256.96,,
SS-ALEXANDRIA-STONE-91SOFA,"Alexandria Power Leather Reclining Sofa, Stone","Alexandria Power Leather Reclining Sofa, Stone",name(1.00),YES,0%,0% of 11,14,1,274.12,,
SS-ALEXANDRIA-STONE-RECL,"Alexandria Leather Power Recliner, Stone","Alexandria Leather Power Recliner, Stone",name(1.00),YES,0%,0% of 9,10,1,125,40.5 x 40.5 x 30.5,
SS-BARRON-65LOVE,Barron Manual Reclining Loveseat,"Gaston Loveseat, Manual Reclining",name(0.75),YES,0%,0% of 9,16,2,154,65 x 29.5 x 25.5,
SS-BARRON-87SOFA,Barron Manual Reclining Sofa,"Barron Sofa, Manual Reclining, Brown",name(0.80),YES,0%,0% of 8,13,2,203.06,87.8 x 29.92 x 25.98,
SS-BARRON-RECL,Barron Manual Recliner,"Barron Recliner, Manual, Brown",name(0.75),YES,0%,0% of 11,12,1,104.5,41.73 x 29.92 x 26.77,
SS-BC900CTT,Bear Creek Chest,Bear Creek Chest,SKU,YES,0%,0% of 4,5,2,199.06,57.87 x 45.67 x 22.64,
SS-BC900DR,Bear Creek Dresser,Bear Creek Dresser,name(1.00),YES,0%,0% of 3,7,2,194.65,66.93 x 41.93 x 20.47,
SS-BC900MR,Bear Creek Mirror,Bear Creek Mirror,SKU,YES,0%,0% of 6,1,2,30.87,45.87 x 40.75 x 5.51,
SS-BC900NS,Bear Creek Nightstand,Bear Creek Nightstand,SKU,YES,0%,0% of 2,5,2,79.36,33.1 x 31.1 x 20.25,
SS-BC950CTBT,Bear Creek Chest,"Bear Creek Chest, Brown",SKU,YES,0%,0% of 5,5,2,184.86,57.25 x 46 x 22.5,
SS-BC950DRB,Bear Creek Dresser,Bear Creek Dresser,name(1.00),YES,0%,0% of 3,7,2,194.65,66.93 x 41.93 x 20.47,
SS-BC950KFB,"Bear Creek King Bed, Brown","Bear Creek King Bed, Brown",name(1.00),YES,0%,0% of 4,7,2,211.7,89.75 x 27.25 x 6.25,
SS-BC950MRB,Bear Creek Mirror,"Bear Creek Mirror, Brown",SKU,YES,0%,no bullets,1,2,43.5,46.5 x 42.25 x 5.5,
SS-BC950NSB,Bear Creek Nightstand,"Bear Creek Nightstand, Brown",SKU,YES,0%,no bullets,4,2,79.36,34.5 x 31.25 x 20.5,
SS-BC950QFB,"Bear Creek Queen Bed, Brown","Bear Creek Queen Bed, Brown",name(1.00),YES,0%,0% of 4,4,2,178.6,73.2 x 26.8 x 6.3,
SS-BS850CG,Power Lift Chair w/ 3 Heat Zones Fabric,"Brisbane Power Lift Chair w/Three Heat Zones, Stone",SKU,YES,0%,0% of 13,22,2,174,37 x 33.5 x 30.75,
SS-BUR500NSV,"Magnolia Cathedral Doored Server, Black",Burlington Cathedral Doored Server,SKU,OUT OF STOCK — HIDE on my site,0%,0% of 8,7,2,180,73 x 36 x 21,
SS-CAS900C,Cassie Illuminating Chest,"Cassie Illuminating 5-Drawer Chest, Shimmering Pearl Finish",SKU,OUT OF STOCK — HIDE on my site,0%,0% of 10,7,2,140.8,48.5 x 35.75 x 20.75,
SS-CAS900DR,Cassie Illuminating Dresser,"Cassie Illuminating Glam 58&#8243; Dresser, Shimmering Pearl Finish",SKU,YES,0%,0% of 10,13,2,176,63.75 x 36.5 x 20.75,
SS-CAS900KFB,"Cassie Illuminating King Bed, Shimmering Pearl Finish",Cassie King Footboard w/Slats,SKU,YES,0%,0% of 4,4,2,69.3,82.75 x 23.75 x 6.5,
SS-CAS900M,Cassie Illuminating Mirror,"Cassie Illuminating Glam Mirror, Shimmering Pearl Finish",SKU,YES,0%,0% of 4,8,2,52.8,43.75 x 27.75 x 4.25,
SS-CAS900NS,Cassie Illuminating Nightstand,"Cassie Illuminating Glam Nightstand, Shimmering Pearl Finish",SKU,YES,0%,0% of 11,13,2,66,26.5 x 24.75 x 20.75,
SS-CAS900QFB,"Cassie Illuminating Queen Bed, Shimmering Pearl Finish",Cassie Queen Footboard w/Slats,SKU,OUT OF STOCK — HIDE on my site,0%,0% of 4,4,2,60.5,66.75 x 23.75 x 6.5,
SS-CONROE-GRAY-PWR-SECT,"Conroe Dual-Power 7-Piece Reclining Sectional with Chaise, Gray","Conroe Dual-Power 7-Piece Reclining Sectional with Chaise, Gray <br><br><strong>[product_price id=""71561""]</strong></br>",name(0.71),YES,0%,0% of 15,3,2,700,,
SS-CONROE-PWR-CHAISE-SECT,"Conroe Dual-Power 7-Piece Reclining Sectional with Chaise, Cobblestone","Conroe Dual-Power 7-Piece Reclining Sectional with Chaise, Cobblestone<br><strong>[product_price id=""71460""]</strong>",name(0.71),YES,0%,0% of 15,2,2,,,
SS-COZY-59LOVE,"Cozy Loveseat, Manual Reclining, Gray","Cozy Loveseat, Manual Reclining, Gray",name(1.00),YES,0%,0% of 7,4,1,176.37,61.25 x 30 x 27.75,
SS-COZY-81SOFA,"Cozy Sofa, Manual Reclining, Gray","Cozy Sofa, Manual Reclining, Gray",name(1.00),YES,0%,0% of 8,4,1,225.3,80.25 x 31 x 27.75,
SS-COZY-RECL,"Cozy Recliner, Manual, Gray","Cozy Glider Recliner, Manual, Gray",name(0.80),YES,0%,0% of 7,4,1,116.85,40.5 x 31 x 26.25,
SS-DANIEL-PWR-LOVE,"Daniel Triple Power Immersive Entertainment Leather Reclining Console Loveseat, Built-in Speakers, Heat and Massage","Daniel Triple Power Home Immersive Entertainment Leather Reclining Console Loveseat, Built-in Speakers, Heat and Massage",name(0.94),YES,0%,0% of 11,15,1,344.6,77.6 x 34.6 x 33.5,
SS-DANIEL-PWR-RECL,Daniel Triple Power Immersive Entertainment Leather Recliner with Built-in Speakers,Daniel Triple Power Immersive Entertainment Leather Recliner with Built-in Speakers,name(1.00),YES,0%,0% of 10,16,1,180.8,40.2 x 33.5 x 30.3,
SS-DANIEL-PWR-SOFA,"Daniel Triple Power Immersive Audio Leather Reclining Sofa with Drop-Down Control Console, Built-in Speakers & Vibration, Heat, and Massage","Daniel Triple Power Immersive Audio Leather Reclining Sofa with Drop-Down Control Console, Built-in Speakers &#038; Vibration, Heat, and Massage",name(0.95),YES,0%,0% of 13,17,2,364.9,88.6 x 33.5 x 30.3,
SS-DENVER-BROWN-PWR-SECT,"Denver Dual-Power 6-Piece Leather Sectional, Brown",NARA 6-PIECE DUAL-POWER LEATHER RECLINING SECTIONAL,name(0.75),YES,0%,0% of 7,5,2,656.8,39 x 31 x 30,
SS-DENVER-CHAR-PWR-SECT,"Denver Dual-Power 6-Piece Sectional, Charcoal",PARK CITY 6-PIECE DUAL-POWER SECTIONAL,name(0.71) [stevesilverspecials.com],YES,0%,0% of 14,11,2,600.38,33.75 x 30.5 x 24,
SS-GASTON-65LOVE,Gaston Manual Reclining Loveseat,"Gaston Loveseat, Manual Reclining",name(1.00),YES,0%,0% of 9,16,1,154,65 x 29.5 x 25.5,
SS-GASTON-87SOFA,"Gaston Sofa, Manual Reclining, Drop-Down Console","Gaston Sofa, Manual Reclining, Drop-Down Console",name(1.00),YES,0%,0% of 10,15,1,193.6,88 x 29.5 x 25.5,
SS-GASTON-RECL,"Gaston Recliner, Manual, Glider","Gaston Recliner, Manual, Glider",name(1.00),YES,0%,0% of 14,13,1,94.6,41.3 x 29.5 x 25.5,
SS-GATLIN-114SOFA,Gatlin Leather Dual-Power 3-Piece Reclining Sofa,Gatlin Leather Dual-Power 3-Piece Reclining Sofa,name(1.00),YES,0%,0% of 14,15,1,350.4,,
SS-GATLIN-95SOFA,Gatlin Leather Dual-Power 3-Piece Reclining Console Loveseat,Gatlin Leather Dual-Power 3-Piece Reclining Console Loveseat,name(1.00),YES,0%,0% of 14,16,1,319.6,,
SS-GATLIN-BROWN-114SOFA,Gatlin Brown Fabric Dual-Power 3-Piece Reclining Sofa,Gatlin Fabric Dual-Power 3-Piece Reclining Sofa,name(0.89),OUT OF STOCK — HIDE on my site,0%,0% of 14,14,1,350.4,,
SS-GATLIN-BROWN-95SOFA,Gatlin Brown Fabric Dual-Power 3-Piece Reclining Console Loveseat,Gatlin Fabric Dual-Power 3-Piece Reclining Loveseat,name(0.80),YES,0%,0% of 14,16,1,319.6,,
SS-GATLIN-BROWN-PWR-SECT,Gatlin Brown Power Reclining Sectional,Gatlin Brown Fabric Power Console,name(0.60),YES,0%,0% of 6,2,2,39.6,44.5 x 20.5 x 14.25,
SS-GATLIN-BROWN-RECL,Gatlin Brown Fabric Dual-Power Recliner,Gatlin Brown Fabric Dual-Power Recliner,name(1.00),YES,0%,0% of 14,11,1,149,51 x 33.5 x 29.5,
SS-GATLIN-PWR-SECT,Gatlin Dual-Power Leather 6-Piece Modular Reclining Sectional,NARA 6-PIECE DUAL-POWER LEATHER RECLINING SECTIONAL,name(0.78),YES,0%,0% of 7,5,2,656.8,39 x 31 x 30,
SS-GATLIN-RECL,Gatlin Leather Dual-Power Recliner,Gatlin Leather Dual-Power Recliner,name(1.00),YES,0%,0% of 14,15,1,149,51 x 33.5 x 29.5,
SS-HP900CTDT,Highland Park Chest,"Highland Park Chest, Waxed Driftwood",SKU,YES,0%,0% of 3,7,2,215.98,60 x 43.5 x 22.75,
SS-HP900CTWT,Highland Park Chest,"Highland Park Chest Cathedral, White",SKU,YES,0%,0% of 3,2,2,198.98,60 x 43.25 x 22.75,
SS-HP900KFBD,"Highland Park King Bed, Waxed Driftwood","Highland Park King Footboard, Waxed Driftwood",SKU,YES,0%,no bullets,1,2,81,87 x 27 x 7,
SS-HP900KFBW,"Highland Park King Bed, Cathedral White","Highland Park King Footboard, Cathedral White",SKU,YES,0%,no bullets,1,2,80.5,87 x 27 x 7,
SS-HP900MRD,Highland Park Mirror,"Highland Park Mirror, Waxed Driftwood",SKU,YES,0%,0% of 4,1,2,63.5,52.5 x 45.75 x 6.25,
SS-HP900MRW,Highland Park Mirror,"Highland Park Mirror, Cathedral White",SKU,YES,0%,no bullets,1,2,63,52.75 x 46 x 5.75,
SS-HP900NSD,Highland Park Nightstand,"Highland Park Nightstand, Waxed Driftwood",SKU,YES,0%,0% of 6,4,2,78.5,33.25 x 31.5 x 20.25,
SS-HP900NSW,Highland Park Nightstand,"Highland Park Nightstand, Cathedral White",SKU,YES,0%,0% of 3,3,2,78,33.5 x 31.5 x 20.25,
SS-HP900QFBD,"Highland Park Queen Bed, Waxed Driftwood","Highland Park Queen Footboard, Waxed Driftwood",SKU,YES,0%,no bullets,1,2,66.5,71 x 27 x 6.5,
SS-HP900QFBW,"Highland Park Queen Bed, Cathedral White","Highland Park Queen Footboard, Cathedral White",SKU,YES,0%,no bullets,1,2,66.5,71 x 27 x 6.5,
SS-KE800CG,Marlow Manual Swivel Glider Recliner,"Keily Recliner, Manual Swivel, Glider, Grey",SKU,YES,0%,0% of 3,10,1,124,42 x 33 x 30,
SS-KE800CL,Keily Manual Glider Reclining Console Loveseat,"Keily Console Loveseat, Manual Reclining, Glider, Brown",SKU,OUT OF STOCK — HIDE on my site,0%,0% of 7,11,2,229,77.5 x 33 x 29,
SS-KEILY-BROWN-75LOVE,"Keily Console Loveseat, Manual Reclining, Glider, Brown","Keily Console Loveseat, Manual Reclining, Glider, Brown",name(1.00),OUT OF STOCK — HIDE on my site,0%,0% of 7,11,1,229,77.5 x 33 x 29,
SS-KEILY-BROWN-86SOFA,"Keily Sofa, Manual Reclining, Drop-Down Console, Brown","Keily Sofa, Manual Reclining, Drop-Down Console, Brown",name(1.00),OUT OF STOCK — HIDE on my site,0%,0% of 4,17,2,260,87.5 x 33 x 29,
SS-KEILY-BROWN-RECL,"Keily Recliner, Manual Swivel, Glider, Brown","Keily Recliner, Manual Swivel, Glider, Brown",name(1.00),YES,0%,0% of 6,12,1,124,42 x 33 x 30,
SS-KEILY-GREY-75LOVE,"Keily Console Loveseat, Manual Reclining, Glider, Grey","Keily Console Loveseat, Manual Reclining, Glider, Grey",name(1.00),YES,0%,0% of 4,10,1,229,77.5 x 33 x 29,
SS-KEILY-GREY-86SOFA,"Keily Sofa, Manual Reclining, Drop-Down Console, Grey","Keily Sofa, Manual Reclining, Drop-Down Console, Grey",name(1.00),YES,0%,0% of 5,11,1,260,87.5 x 33 x 29,
SS-KEILY-GREY-RECL,"Keily Recliner, Manual Swivel, Glider, Grey","Keily Recliner, Manual Swivel, Glider, Grey",name(1.00),YES,0%,0% of 3,10,1,124,42 x 33 x 30,
SS-LEHI-MANUAL-SECT,Lehi 6-Piece Manual Reclining Sectional,"Lehi 6-Piece Manual Reclining Sectional<br> <strong>[product_price id=""33657""]</strong>",name(0.60),YES,0%,0% of 19,12,1,509.3,44.25 x 34.5 x 30.25,
SS-LUNA-CHAR-PWR-LOVE,"Luna Home Cinema Power Reclining Console Loveseat, Charcoal Vegan Leather","Luna Home Cinema Power Reclining Console Loveseat, Charcoal Vegan Leather",name(1.00),OUT OF STOCK — HIDE on my site,0%,0% of 12,16,1,226.6,72.75 x 33 x 28.5,
SS-LUNA-CHAR-PWR-RECL,Luna Charcoal Power Recliner,NO MATCH on stevesilver.com,,,,,,1,,,Not found — check stevesilverspecials.com / possibly discontinued: consider hiding product.
SS-LUNA-CHAR-PWR-SOFA,Luna Charcoal Power Reclining Sofa,"Marlow Sofa, Manual Reclining, Charcoal",name(0.60),YES,0%,0% of 9,5,2,240.5,87.5 x 30.5 x 28.5,
SS-LUNA-ICE-PWR-LOVE,Luna Ice Power Reclining Console Loveseat,"LUNA HOME CINEMA POWER RECLINING CONSOLE LOVESEAT, ICE VEGAN LEATHER",name(0.60) [stevesilverspecials.com],YES,0%,0% of 12,17,2,226.6,72.75 x 33 x 28.5,
SS-LUNA-ICE-PWR-RECL,Luna Ice Power Recliner,NO MATCH on stevesilver.com,,,,,,1,,,Not found — check stevesilverspecials.com / possibly discontinued: consider hiding product.
SS-LUNA-ICE-PWR-SOFA,Luna Ice Power Reclining Sofa,LOVELL POWER RECLINING SOFA,name(0.60) [stevesilverspecials.com],YES,0%,0% of 14,11,2,,,
SS-LX850C,Ottawa Triple Power Reclining w/ Hidden Cupholders Faux Fabric,Lexington Triple-Power Media Recliner,SKU,YES,0%,0% of 4,18,1,157,39 x 34 x 31,
SS-LX850CO,Ottawa Triple Power Reclining w/ Hidden Cupholders Ocean Faux Fabric,"Lexington Triple-Power Media Recliner, Ocean Blue",SKU,YES,0%,0% of 7,16,1,158.4,38.6 x 33.5 x 30.3,
SS-MAR9990TL,Marlow Manual Reclining Console Loveseat,"Marlow Console Loveseat, Manual Reclining, Sand",SKU,YES,0%,0% of 10,3,2,251,30.5 x 28.5 x 18.5,
SS-MAR9990TS,Marlow Manual Reclining Sofa,"Marlow Sofa, Manual Reclining, Sand",SKU,YES,0%,0% of 9,4,2,273,87.5 x 30.5 x 28.5,
SS-MARLOW-CHARCOAL-74LOVE,Marlow Charcoal Manual Reclining Loveseat,"Marlow Console Loveseat, Manual Reclining, Charcoal",name(0.83),YES,0%,0% of 9,3,2,216,79 x 30.5 x 28.5,
SS-MARLOW-CHARCOAL-83SOFA,Marlow Charcoal Manual Reclining Sofa,"Marlow Sofa, Manual Reclining, Charcoal",name(1.00),YES,0%,0% of 9,5,2,240.5,87.5 x 30.5 x 28.5,
SS-MARLOW-CHARCOAL-RECL,Marlow Charcoal Manual Recliner,"Marlow Recliner, Manual, Charcoal",name(1.00),YES,0%,0% of 10,4,1,138,42.5 x 30.5 x 28.5,
SS-MARLOW-SAND-RECL,Marlow Sand Manual Recliner,"Marlow Recliner, Manual, Sand",name(1.00),YES,0%,0% of 11,4,1,138,42.5 x 30.5 x 28.5,
SS-MON900CS,Montana Chest,NO MATCH on stevesilver.com,,,,,,2,,,Not found — check stevesilverspecials.com / possibly discontinued: consider hiding product.
SS-MON900DRST,Montana Dresser,"MONTANA DRESSER, SAND",SKU [stevesilverspecials.com],YES,0%,0% of 11,3,2,187.5,64.25 x 37.25 x 20,
SS-MON900KFB,"Montana King Bed, Sand",MONTANA KING FOOTBOARD W/ SLATS,SKU [stevesilverspecials.com],YES,0%,0% of 5,7,2,,,
SS-MON900NSS,Montana Nightstand,"MONTANA NIGHTSTAND, SAND",SKU [stevesilverspecials.com],YES,0%,0% of 7,9,2,55.66,28.25 x 27.25 x 19.75,
SS-MON900QFB,"Montana Queen Bed, Sand",MONTANA QUEEN BED FOOTBOARD W/ SLATS,SKU [stevesilverspecials.com],YES,0%,0% of 6,7,2,,,
SS-NOA800GL,Gaston Pop Up Sleeper Loveseat,"Noah Convertible Sleeper Loveseat, Gray",SKU,OUT OF STOCK — HIDE on my site,0%,0% of 10,5,2,160,52 x 34.25 x 24.25,
SS-NOA800NL,Pop Up Sleeper Loveseat,"Noah Convertible Sleeper Loveseat, Tan",SKU,YES,0%,0% of 11,5,2,160.6,52 x 34.25 x 24.25,
SS-NOAH-GRAY-SLEEPER-SOFA,Noah Gray Convertible Sleeper Sofa,"Noah Convertible Sleeper Loveseat, Gray",name(0.80),OUT OF STOCK — HIDE on my site,0%,0% of 10,5,2,160,52 x 34.25 x 24.25,
SS-NOAH-TAN-SLEEPER-SOFA,Noah Tan Convertible Sleeper Sofa,"Noah Convertible Sleeper Loveseat, Tan",name(0.80),YES,0%,0% of 11,5,2,160.6,52 x 34.25 x 24.25,
SS-OLSEN-DOVE-117SOFA,Olsen Dove Dual-Power Zero-Gravity Sofa,"Olsen Recliner, Dual-Power Zero-Gravity, Dove",name(0.86),YES,0%,0% of 8,14,2,149,51 x 33.5 x 29.5,
SS-OLSEN-DOVE-PWR-RECL,Olsen Dove Power Recliner,"Olsen Power Console, Dove",name(0.75),YES,0%,0% of 6,1,1,39.6,44.5 x 20.5 x 14.25,
SS-OLSEN-DOVE-PWR-SECT,Olsen Dove Power Reclining Sectional,"Olsen Power Console, Dove",name(0.60),YES,0%,0% of 6,1,2,39.6,44.5 x 20.5 x 14.25,
SS-OLSEN-DOVE-PWR-SOFA,Olsen Dove Power Reclining Console Sofa,"Olsen Power Console, Dove",name(0.67),YES,0%,0% of 6,1,2,39.6,44.5 x 20.5 x 14.25,
SS-OLSEN-INDIGO-117SOFA,Olsen Indigo Dual-Power Zero-Gravity Sofa,"Olsen Recliner, Dual-Power Zero-Gravity, Indigo",name(0.86),YES,0%,0% of 8,12,2,149,51 x 33.5 x 29.5,
SS-OLSEN-INDIGO-97SOFA,Olsen Indigo Dual-Power Zero-Gravity Console Sofa,"Olsen Sofa, Dual-Power Zero-Gravity Modular Reclining, Indigo",name(0.78),YES,0%,0% of 9,12,2,350.4,,
SS-OLSEN-INDIGO-RECL,Olsen Indigo Dual-Power Zero-Gravity Recliner,"Olsen Recliner, Dual-Power Zero-Gravity, Indigo",name(1.00),YES,0%,0% of 8,12,2,149,51 x 33.5 x 29.5,
SS-OLSEN-PWR-SECT-A,Olsen Power Reclining Sectional,NO MATCH on stevesilver.com,,,,,,2,,,Not found — check stevesilverspecials.com / possibly discontinued: consider hiding product.
SS-OLSEN-PWR-SECT-B,Olsen Power Reclining Sectional,NO MATCH on stevesilver.com,,,,,,2,,,Not found — check stevesilverspecials.com / possibly discontinued: consider hiding product.
SS-OLSEN-SILVER-117SOFA,Olsen Silver Dual-Power Zero-Gravity Sofa,"OLSEN DUAL-POWER ZERO-GRAVITY RECLINER, Silver",name(0.86) [stevesilverspecials.com],YES,0%,0% of 8,15,2,,,
SS-OLSEN-SILVER-97SOFA,Olsen Silver Dual-Power Zero-Gravity Console Sofa,"Olsen Sofa, Dual-Power Zero-Gravity Modular Reclining, Silver",name(0.78) [stevesilverspecials.com],YES,0%,0% of 10,11,2,350.4,,
SS-OLSEN-SILVER-RECL,Olsen Silver Dual-Power Zero-Gravity Recliner,"OLSEN DUAL-POWER ZERO-GRAVITY RECLINER, Silver",name(1.00) [stevesilverspecials.com],YES,0%,0% of 8,15,2,,,
SS-PROVO-PWR-CHAISE-SECT,Provo Power Reclining Chaise Sectional,NO MATCH on stevesilver.com,,,,,,2,,,Not found — check stevesilverspecials.com / possibly discontinued: consider hiding product.
SS-RHO850R,Rhodes Single Motor Lift,Rhodes Power Lift Chair,SKU,YES,0%,0% of 11,19,1,117,31.5 x 30.5 x 27,
SS-RV900-KSBED,Riverdale King Storage Bed,Riverdale King Storage Bed,SKU,YES,0%,0% of 6,9,2,320.1,86.65 x 67.36 x 6.69,
SS-RV900-QSBED,Riverdale Queen Storage Bed,Riverdale Queen Storage Bed,SKU,YES,0%,0% of 6,10,2,271.7,70.09 x 66.97 x 6.89,
