productcode,productname,productdescription,productweight,photourl,hideproduct
225181Q-S4,Lucaire 4-piece Queen Bedroom Set Sandstone,"<p>This bedroom set creates a modern yet timeless retreat with an arched upholstered bed as the graceful focal point. Cream chenille fabric softens the room, while warm airy sandstone case pieces bring curved fronts, honed engineered stone tops, and antique brass hardware into balance. Elm veneer, rubberwood, fabric, and engineered wood construction support a casual yet sophisticated bedroom with intentional storage and bedside function.</p><p><b>Dimensions:</b> 64.25""w x 86.75""d x 57.25""h</p><ul><li>Queen 4-piece bedroom set creates a coordinated room with graceful modern style</li><li>Antique brass hardware adds intentional warmth to the light sandstone wood tone</li><li>Arched cream chenille headboard gives the bedroom a soft and timeless focal point</li><li>Bedside charging and refined drawer details support organized everyday routines</li><li>Curved sandstone case fronts add a charming contrast to the tailored bed profile</li><li>Honed engineered stone tops bring refined surfaces to the bedroom case pieces</li></ul>",166.13,/v/vspfiles/photos/coaster bedroom/225181Q-S4-1.jpg,N
225181Q-S5,Lucaire 5-piece Queen Bedroom Set Sandstone,"<p>This bedroom set creates a modern yet timeless retreat with an arched upholstered bed as the graceful focal point. Cream chenille fabric softens the room, while warm airy sandstone case pieces bring curved fronts, honed engineered stone tops, and antique brass hardware into balance. Elm veneer, rubberwood, fabric, and engineered wood construction support a casual yet sophisticated bedroom with intentional storage and bedside function.</p><p><b>Dimensions:</b> 64.25""w x 86.75""d x 57.25""h</p><ul><li>Antique brass hardware adds intentional warmth to the light sandstone wood tone</li><li>Arched cream chenille headboard gives the bedroom a soft and timeless focal point</li><li>Curved sandstone case fronts add a charming contrast to the tailored bed profile</li><li>Expanded storage configuration supports a more complete bedroom organization plan</li><li>Honed engineered stone tops bring refined surfaces to the bedroom case pieces</li><li>Queen 5-piece bedroom set creates a coordinated room with graceful modern style</li></ul>",166.13,/v/vspfiles/photos/coaster bedroom/225181Q-S5-1.jpg,N
225110KE-S4,Farre 4-piece Eastern King Bedroom Set Washed Grey,"<p>This bedroom set creates a coordinated contemporary room built around an upholstered storage platform bed. Horizontal channel chenille panels soften the bed, while washed grey laminate veneer and polished nickel hardware tie the storage pieces together. The platform support system creates a mattress-ready bed profile, and two footboard drawers add practical storage. Matching case pieces complete the clean bedroom layout.</p><p><b>Dimensions:</b> 78.25""w x 85.75""d x 60.5""h</p><ul><li>Eastern king bedroom set centers on an upholstered storage platform bed</li><li>Horizontal channel chenille panels soften the bed with tailored bedroom texture</li><li>Platform panel support system is designed for mattress use without a foundation</li><li>Polished nickel hardware coordinates across the matching bedroom storage pieces</li><li>Two footboard drawers add practical storage without changing the clean profile</li><li>Washed grey laminate veneer gives the room a calm contemporary wood-tone look</li></ul>",201.3,/v/vspfiles/photos/coaster bedroom/225110KE-S4-1.jpg,N
225110KE-S5,Farre 5-piece Eastern King Bedroom Set Washed Grey,"<p>This bedroom set creates a coordinated contemporary room built around an upholstered storage platform bed. Horizontal channel chenille panels soften the bed, while washed grey laminate veneer and polished nickel hardware tie the storage pieces together. The platform support system creates a mattress-ready bed profile, and two footboard drawers add practical storage. Matching case pieces complete the clean bedroom layout.</p><p><b>Dimensions:</b> 78.25""w x 85.75""d x 60.5""h</p><ul><li>Eastern king bedroom set centers on an upholstered storage platform bed</li><li>Expanded storage mix supports a complete and cohesive contemporary bedroom</li><li>Horizontal channel chenille panels soften the bed with tailored bedroom texture</li><li>Platform panel support system is designed for mattress use without a foundation</li><li>Polished nickel hardware coordinates across the matching bedroom storage pieces</li><li>Two footboard drawers add practical storage without changing the clean profile</li></ul>",201.3,/v/vspfiles/photos/coaster bedroom/225110KE-S5-1.jpg,N
225110Q-S4,Farre 4-piece Queen Bedroom Set Washed Grey,"<p>This bedroom set creates a coordinated contemporary room built around an upholstered storage platform bed. Horizontal channel chenille panels soften the bed, while washed grey laminate veneer and polished nickel hardware tie the storage pieces together. The platform support system creates a mattress-ready bed profile, and two footboard drawers add practical storage. Matching case pieces complete the clean bedroom layout.</p><p><b>Dimensions:</b> 62.5""w x 85.75""d x 60.5""h</p><ul><li>Horizontal channel chenille panels soften the bed with tailored bedroom texture</li><li>Platform panel support system is designed for mattress use without a foundation</li><li>Polished nickel hardware coordinates across the matching bedroom storage pieces</li><li>Queen bedroom set centers on an upholstered storage platform bed in washed grey</li><li>Two footboard drawers add practical storage without changing the clean profile</li><li>Washed grey laminate veneer gives the room a calm contemporary wood-tone look</li></ul>",0.01,/v/vspfiles/photos/coaster bedroom/225110Q-S4-1.jpg,N
225110Q-S5,Farre 5-piece Queen Bedroom Set Washed Grey,"<p>This bedroom set creates a coordinated contemporary room built around an upholstered storage platform bed. Horizontal channel chenille panels soften the bed, while washed grey laminate veneer and polished nickel hardware tie the storage pieces together. The platform support system creates a mattress-ready bed profile, and two footboard drawers add practical storage. Matching case pieces complete the clean bedroom layout.</p><p><b>Dimensions:</b> 62.5""w x 85.75""d x 60.5""h</p><ul><li>Expanded storage mix supports a complete and cohesive contemporary bedroom</li><li>Horizontal channel chenille panels soften the bed with tailored bedroom texture</li><li>Platform panel support system is designed for mattress use without a foundation</li><li>Polished nickel hardware coordinates across the matching bedroom storage pieces</li><li>Queen bedroom set centers on an upholstered storage platform bed in washed grey</li><li>Two footboard drawers add practical storage without changing the clean profile</li></ul>",0.01,/v/vspfiles/photos/coaster bedroom/225110Q-S5-1.jpg,N
222901KE-S4,Bennett 4-piece Eastern King Bedroom Set Light Oak,"<p>Bedroom set creates a quiet sense of cohesion, pairing an upholstered panel bed with matching case pieces that bring texture and warmth to the room. Light oak surfaces finished in laminate veneer wrap engineered wood construction, while rubberwood legs keep the profile lifted and steady. Vertical reeding adds depth to select drawer fronts, and matte black hardware keeps the lines crisp. From morning routines to a calm close of day, the coordinated storage helps the bedroom stay clear and composed.</p><p><b>Dimensions:</b> 78.25""w x 86.5""d x 59""h</p><ul><li>Four-piece eastern king bedroom set in light oak creates a storage-ready bedroom</li><li>Matte black hardware creates crisp contrast and an easy grip for daily routines here</li><li>Multiple drawers support clothing organization while keeping surfaces clear and tidy</li><li>Reeded drawer fronts add texture on case pieces while smooth fronts keep balance</li><li>Tipover restraint on storage pieces supports added stability for everyday bedroom use</li><li>Upholstered bed with cream panels adds soft contrast and a tailored headboard look</li></ul>",131.86,/v/vspfiles/photos/coaster bedroom/222901KE-S4-1.jpg,N
222901KE-S5,Bennett 5-piece Eastern King Bedroom Set Light Oak,"<p>Bedroom set creates a quiet sense of cohesion, pairing an upholstered panel bed with matching case pieces that bring texture and warmth to the room. Light oak surfaces finished in laminate veneer wrap engineered wood construction, while rubberwood legs keep the profile lifted and steady. Vertical reeding adds depth to select drawer fronts, and matte black hardware keeps the lines crisp. From morning routines to a calm close of day, the coordinated storage helps the bedroom stay clear and composed.</p><p><b>Dimensions:</b> 78.25""w x 86.5""d x 59""h</p><ul><li>Five-piece eastern king bedroom set in light oak creates a storage-ready bedroom</li><li>Matte black hardware creates crisp contrast and an easy grip for daily routines here</li><li>Multiple drawers support clothing organization while keeping surfaces clear and tidy</li><li>Reeded drawer fronts add texture on case pieces while smooth fronts keep balance</li><li>Tipover restraint on storage pieces supports added stability for everyday bedroom use</li><li>Upholstered bed with cream panels adds soft contrast and a tailored headboard look</li></ul>",131.86,/v/vspfiles/photos/coaster bedroom/222901KE-S5-1.jpg,N
222901KW-S4,Bennett 4-piece California King Bedroom Set Light Oak,"<p>Bedroom set creates a quiet sense of cohesion, pairing an upholstered panel bed with matching case pieces that bring texture and warmth to the room. Light oak surfaces finished in laminate veneer wrap engineered wood construction, while rubberwood legs keep the profile lifted and steady. Vertical reeding adds depth to select drawer fronts, and matte black hardware keeps the lines crisp. From morning routines to a calm close of day, the coordinated storage helps the bedroom stay clear and composed.</p><p><b>Dimensions:</b> 78.25""w x 90.5""d x 59""h</p><ul><li>Four-piece california king bedroom set in light oak creates a storage-ready bedroom</li><li>Matte black hardware creates crisp contrast and an easy grip for daily routines here</li><li>Multiple drawers support clothing organization while keeping surfaces clear and tidy</li><li>Reeded drawer fronts add texture on case pieces while smooth fronts keep balance</li><li>Tipover restraint on storage pieces supports added stability for everyday bedroom use</li><li>Upholstered bed with cream panels adds soft contrast and a tailored headboard look</li></ul>",140.68,/v/vspfiles/photos/coaster bedroom/222901KW-S4-1.jpg,N
222901KW-S5,Bennett 5-piece California King Bedroom Set Light Oak,"<p>Bedroom set creates a quiet sense of cohesion, pairing an upholstered panel bed with matching case pieces that bring texture and warmth to the room. Light oak surfaces finished in laminate veneer wrap engineered wood construction, while rubberwood legs keep the profile lifted and steady. Vertical reeding adds depth to select drawer fronts, and matte black hardware keeps the lines crisp. From morning routines to a calm close of day, the coordinated storage helps the bedroom stay clear and composed.</p><p><b>Dimensions:</b> 78.25""w x 90.5""d x 59""h</p><ul><li>Five-piece california king bedroom set in light oak creates a storage-ready bedroom</li><li>Matte black hardware creates crisp contrast and an easy grip for daily routines here</li><li>Multiple drawers support clothing organization while keeping surfaces clear and tidy</li><li>Reeded drawer fronts add texture on case pieces while smooth fronts keep balance</li><li>Tipover restraint on storage pieces supports added stability for everyday bedroom use</li><li>Upholstered bed with cream panels adds soft contrast and a tailored headboard look</li></ul>",140.68,/v/vspfiles/photos/coaster bedroom/222901KW-S5-1.jpg,N
222901Q-S4,Bennett 4-piece Queen Bedroom Set Light Oak,"<p>Bedroom set creates a quiet sense of cohesion, pairing an upholstered panel bed with matching case pieces that bring texture and warmth to the room. Light oak surfaces finished in laminate veneer wrap engineered wood construction, while rubberwood legs keep the profile lifted and steady. Vertical reeding adds depth to select drawer fronts, and matte black hardware keeps the lines crisp. From morning routines to a calm close of day, the coordinated storage helps the bedroom stay clear and composed.</p><p><b>Dimensions:</b> 62.75""w x 86.5""d x 59""h</p><ul><li>Four-piece queen bedroom set in light oak creates a storage-ready bedroom for calm routines</li><li>Matte black hardware creates crisp contrast and an easy grip for daily routines here</li><li>Multiple drawers support clothing organization while keeping surfaces clear and tidy</li><li>Reeded drawer fronts add texture on case pieces while smooth fronts keep balance</li><li>Tipover restraint on storage pieces supports added stability for everyday bedroom use</li><li>Upholstered bed with cream panels adds soft contrast and a tailored headboard look</li></ul>",114,/v/vspfiles/photos/coaster bedroom/222901Q-S4-1.jpg,N
222901Q-S5,Bennett 5-piece Queen Bedroom Set Light Oak,"<p>Bedroom set creates a quiet sense of cohesion, pairing an upholstered panel bed with matching case pieces that bring texture and warmth to the room. Light oak surfaces finished in laminate veneer wrap engineered wood construction, while rubberwood legs keep the profile lifted and steady. Vertical reeding adds depth to select drawer fronts, and matte black hardware keeps the lines crisp. From morning routines to a calm close of day, the coordinated storage helps the bedroom stay clear and composed.</p><p><b>Dimensions:</b> 62.75""w x 86.5""d x 59""h</p><ul><li>Five-piece queen bedroom set in light oak creates a storage-ready bedroom for calm routines</li><li>Matte black hardware creates crisp contrast and an easy grip for daily routines here</li><li>Multiple drawers support clothing organization while keeping surfaces clear and tidy</li><li>Reeded drawer fronts add texture on case pieces while smooth fronts keep balance</li><li>Tipover restraint on storage pieces supports added stability for everyday bedroom use</li><li>Upholstered bed with cream panels adds soft contrast and a tailored headboard look</li></ul>",114,/v/vspfiles/photos/coaster bedroom/222901Q-S5-1.jpg,N
222801Q-S4,Stillwater 4-piece Queen Bedroom Set,"<p>This bedroom set creates a calm, coordinated retreat with live-edge detailing, a weathered oak finish, and grounded silhouettes throughout. Oak veneer surfaces bring natural wood character, while embedded butterfly connectors and stout bases with trestle-inspired support reinforce the artisan look. The collection balances organic texture with durable wood construction, shaping a warm biophilic bedroom with layered storage and a true platform bed at its center.</p><p><b>Dimensions:</b> 78""w x 90""d x 48.75""h</p><ul><li>Coordinated silhouettes carry the collection’s organic live-edge shaping across the room</li><li>Embedded butterfly connectors add artisan detail to the calm rustic modern profile</li><li>Four-piece queen bedroom set in weathered oak creates a grounded live-edge retreat</li><li>Oak veneer surfaces over durable wood construction bring warm layered natural character</li><li>Storage pieces reinforce a collected look while keeping bedroom essentials organized</li><li>The true platform bed anchors the room with paneled support and a low grounded stance</li></ul>",161.82,/v/vspfiles/photos/coaster bedroom/222801Q-S4-1.jpg,N
222801Q-S5,Stillwater 5-piece Queen Bedroom Set,"<p>This bedroom set creates a calm, coordinated retreat with live-edge detailing, a weathered oak finish, and grounded silhouettes throughout. Oak veneer surfaces bring natural wood character, while embedded butterfly connectors and stout bases with trestle-inspired support reinforce the artisan look. The collection balances organic texture with durable wood construction, shaping a warm biophilic bedroom with layered storage and a true platform bed at its center.</p><p><b>Dimensions:</b> 78""w x 90""d x 48.75""h</p><ul><li>Coordinated silhouettes carry the collection’s organic live-edge shaping across the room</li><li>Embedded butterfly connectors add artisan detail to the calm rustic modern profile</li><li>Five-piece queen bedroom set in weathered oak creates a grounded live-edge retreat</li><li>Oak veneer surfaces over durable wood construction bring warm layered natural character</li><li>Storage pieces reinforce a collected look while keeping bedroom essentials organized</li><li>The true platform bed anchors the room with paneled support and a low grounded stance</li></ul>",161.82,/v/vspfiles/photos/coaster bedroom/222801Q-S5-1.jpg,N
222801KE-S4,Stillwater 4-piece Eastern King Bedroom Set,"<p>This bedroom set creates a calm, coordinated retreat with live-edge detailing, a weathered oak finish, and grounded silhouettes throughout. Oak veneer surfaces bring natural wood character, while embedded butterfly connectors and stout bases with trestle-inspired support reinforce the artisan look. The collection balances organic texture with durable wood construction, shaping a warm biophilic bedroom with layered storage and a true platform bed at its center.</p><p><b>Dimensions:</b> 94""w x 90""d x 48.75""h</p><ul><li>Coordinated silhouettes carry the collection’s organic live-edge shaping across the room</li><li>Embedded butterfly connectors add artisan detail to the calm rustic modern profile</li><li>Four-piece eastern king bedroom set in weathered oak creates a grounded live-edge retreat</li><li>Oak veneer surfaces over durable wood construction bring warm layered natural character</li><li>Storage pieces reinforce a collected look while keeping bedroom essentials organized</li><li>The true platform bed anchors the room with paneled support and a low grounded stance</li></ul>",183.17,/v/vspfiles/photos/coaster bedroom/222801KE-S4-1.jpg,N
222801KE-S5,Stillwater 5-piece Eastern King Bedroom Set,"<p>This bedroom set creates a calm, coordinated retreat with live-edge detailing, a weathered oak finish, and grounded silhouettes throughout. Oak veneer surfaces bring natural wood character, while embedded butterfly connectors and stout bases with trestle-inspired support reinforce the artisan look. The collection balances organic texture with durable wood construction, shaping a warm biophilic bedroom with layered storage and a true platform bed at its center.</p><p><b>Dimensions:</b> 94""w x 90""d x 48.75""h</p><ul><li>Coordinated silhouettes carry the collection’s organic live-edge shaping across the room</li><li>Embedded butterfly connectors add artisan detail to the calm rustic modern profile</li><li>Five-piece eastern king bedroom set in weathered oak creates a grounded live-edge retreat</li><li>Oak veneer surfaces over durable wood construction bring warm layered natural character</li><li>Storage pieces reinforce a collected look while keeping bedroom essentials organized</li><li>The true platform bed anchors the room with paneled support and a low grounded stance</li></ul>",183.17,/v/vspfiles/photos/coaster bedroom/222801KE-S5-1.jpg,N
222801KW-S4,Stillwater 4-piece California King Bedroom Set,"<p>This bedroom set creates a calm, coordinated retreat with live-edge detailing, a weathered oak finish, and grounded silhouettes throughout. Oak veneer surfaces bring natural wood character, while embedded butterfly connectors and stout bases with trestle-inspired support reinforce the artisan look. The collection balances organic texture with durable wood construction, shaping a warm biophilic bedroom with layered storage and a true platform bed at its center.</p><p><b>Dimensions:</b> 94""w x 95""d x 48.75""h</p><ul><li>Coordinated silhouettes carry the collection’s organic live-edge shaping across the room</li><li>Embedded butterfly connectors add artisan detail to the calm rustic modern profile</li><li>Four-piece California king bedroom set in weathered oak creates a grounded retreat</li><li>Oak veneer surfaces over durable wood construction bring warm layered natural character</li><li>Storage pieces reinforce a collected look while keeping bedroom essentials organized</li><li>The true platform bed anchors the room with paneled support and a low grounded stance</li></ul>",238.14,/v/vspfiles/photos/coaster bedroom/222801KW-S4-1.jpg,N
222801KW-S5,Stillwater 5-piece California King Bedroom Set,"<p>This bedroom set creates a calm, coordinated retreat with live-edge detailing, a weathered oak finish, and grounded silhouettes throughout. Oak veneer surfaces bring natural wood character, while embedded butterfly connectors and stout bases with trestle-inspired support reinforce the artisan look. The collection balances organic texture with durable wood construction, shaping a warm biophilic bedroom with layered storage and a true platform bed at its center.</p><p><b>Dimensions:</b> 94""w x 95""d x 48.75""h</p><ul><li>The true platform bed anchors the room with paneled support and a low grounded stance</li><li>Coordinated silhouettes carry the collection’s organic live-edge shaping across the room</li><li>Embedded butterfly connectors add artisan detail to the calm rustic modern profile</li><li>Five-piece California king bedroom set in weathered oak creates a grounded retreat</li><li>Oak veneer surfaces over durable wood construction bring warm layered natural character</li><li>Storage pieces reinforce a collected look while keeping bedroom essentials organized</li></ul>",238.14,/v/vspfiles/photos/coaster bedroom/222801KW-S5-1.jpg,N
