productcode,productname,productdescription,productweight,photourl,hideproduct
193750-S5A,Galindo 5-piece 52-inch Round Dining Set Light Grey and Walnut,"<p>A 52-inch round table anchors this dining set with matched walnut veneer patterning and a sculptural slatted drum base. The thick-edge tabletop brings warm mid-century presence, while upholstered side chairs soften the room with textured low-pile chenille and open-back shaping. Walnut tones connect the table and chair frames, creating a coordinated dining space with relaxed modern character.</p><p><b>Dimensions:</b> 52""w x 52""d x 30""h</p><ul><li>52-inch round dining set creates a coordinated centerpiece for casual meals</li><li>Light grey chenille chairs soften the set with textured upholstered surfaces</li><li>Matched walnut veneer tabletop adds rich pattern movement to the dining room</li><li>Open-back chair profiles add a relaxed lounge-inspired look around the table</li><li>Tapered slatted drum base gives the table a sculptural mid-century presence</li><li>Walnut tones connect the table and chair frames for a coordinated dining layout</li></ul>",105.84,/v/vspfiles/photos/coaster dining/193750-S5A-1.jpg,N
193750-S5B,Galindo 5-piece 52-inch Round Dining Set Nutmeg and Walnut,"<p>A 52-inch round table anchors this dining set with matched walnut veneer patterning and a sculptural slatted drum base. The thick-edge tabletop brings warm mid-century presence, while upholstered side chairs soften the room with textured low-pile chenille and open-back shaping. Walnut tones connect the table and chair frames, creating a coordinated dining space with relaxed modern character.</p><p><b>Dimensions:</b> 52""w x 52""d x 30""h</p><ul><li>52-inch round dining set creates a coordinated centerpiece for casual meals</li><li>Matched walnut veneer tabletop adds rich pattern movement to the dining room</li><li>Nutmeg chenille chairs add warm color through textured upholstered surfaces</li><li>Open-back chair profiles add a relaxed lounge-inspired look around the table</li><li>Tapered slatted drum base gives the table a sculptural mid-century presence</li><li>Walnut tones connect the table and chair frames for a coordinated dining layout</li></ul>",105.84,/v/vspfiles/photos/coaster dining/193750-S5B-1.jpg,N
193580-S5,Mueller 5-piece 48-inch Round Dining Set Brown and Beige,"<p>A compact round table anchors this dining set with warm mindi veneer character and a sculptural mid-century base. Geometric angled legs and a center square shelf give the table a distinctive profile, while beige upholstered chairs soften the arrangement with curved backs and textured fabric. The mix of a solid wood table base, engineered wood tabletop, foam, and fabric supports an inviting everyday dining setup.</p><p><b>Dimensions:</b> 48""w x 48""d x 30""h</p><ul><li>48-inch round dining set creates a coordinated space for casual daily meals</li><li>Center square shelf gives the table base an added detail between supports</li><li>Curved chair backs soften the dining layout with a friendly upholstered shape</li><li>Geometric angled legs bring sculptural mid-century character to the set</li><li>Mindi veneer table pairs with beige upholstered chairs for warm contrast</li><li>Solid wood table base adds structure beneath the round dining surface</li></ul>",55,/v/vspfiles/photos/coaster dining/193580-S5-1.jpg,N
192721-S7,Merrin 7-piece 55-inch Rectangular Dining Set Off White and Walnut,"<p>Crisp contrast defines this 55-inch rectangular dining set, pairing a white high-gloss tabletop with warm walnut framing and coordinated off white seating. The table’s clean apron and tapered legs set a simple foundation, while curved schoolhouse-inspired chair backs bring familiar character to the arrangement. Leatherette seats, foam cushioning, solid rubberwood base construction, and engineered wood elements support a polished everyday dining space.</p><p><b>Dimensions:</b> 55""w x 31.5""d x 30""h</p><ul><li>55-inch rectangular dining set creates a coordinated layout for daily meals</li><li>Curved chair backs add schoolhouse-inspired character to the dining arrangement</li><li>Off white leatherette seats coordinate with the light tabletop for a clean look</li><li>Solid rubberwood and engineered wood elements support casual dining function</li><li>Walnut table base and chair frames bring warm contrast to the bright surfaces</li><li>White high-gloss tabletop adds a crisp reflective surface to the dining room</li></ul>",55.79,/v/vspfiles/photos/coaster dining/192721-S7-1.jpg,N
192520-S7,Randolph 7-piece Smart Top Rectangular Dining Set Sheesham and Brown,"<p>A sappy walnut-look Smart Top table anchors this rectangular dining set with warm movement and durable everyday function. The recycled tabletop is molded under heat and pressure, then finished with an extra-durable laminate surface designed to resist heat and liquid. A red brown trestle base adds sculptural support, while butterscotch microfiber side chairs bring a two-tone turtle-back design that cradles the back with soft dining comfort.</p><p><b>Dimensions:</b> 78.75""w x 39.25""d x 29.75""h</p><ul><li>Butterscotch microfiber chairs feature a two-tone back that cradles the body</li><li>Coordinated table and chair silhouettes create a complete everyday dining setting</li><li>Heat- and liquid-resistant laminate surface supports busy family dining routines</li><li>Red brown trestle base adds curved support and warm mid-century modern character</li><li>Sappy walnut-look tabletop brings vibrant movement to the rectangular dining set</li><li>Seven-piece dining set pairs a Smart Top table with turtle-back side chairs</li></ul>",102.36,/v/vspfiles/photos/coaster dining/192520-S7-1.jpg,N
193981-S5,Garza 5-piece Rectangular Dining Table Greige Oak,"<p>Dining set pairs a rectangular greige oak laminate veneer table with matching upholstered dining chairs to create a cohesive dining arrangement. The engineered wood table top rests on a sturdy metal frame while padded leatherette chairs offer everyday comfort. Designed with a clean transitional profile this set balances durability with streamlined style. Ideal for kitchens dining rooms and apartments it provides a complete dining solution with coordinated seating.</p><p><b>Dimensions:</b> 47.25""w x 29.5""d x 30""h</p><ul><li>Dining set combines practical seating with streamlined transitional style</li><li>Five-piece dining set creates a cohesive dining arrangement for everyday meals</li><li>Greige oak laminate veneer table top delivers warm wood-look texture</li><li>Matte black metal frame provides strong structural table support</li><li>Padded leatherette dining chairs offer comfortable everyday seating</li><li>Rectangular table shape works well in kitchens and dining rooms</li></ul>",41.45,/v/vspfiles/photos/coaster dining/193981-S5-1.jpg,N
193980-S5,Garza 5-piece Space Saving Rectangular Dining Table Greige Oak,"<p>Dining set combines a compact rectangular table with coordinating upholstered chairs to create a practical space saving dining solution. The greige oak laminate veneer table pairs with a sturdy metal frame for a clean modern silhouette while the padded chairs provide comfortable seating. Engineered wood construction and durable upholstery ensure everyday reliability. Designed for kitchens apartments and smaller dining areas this set balances style function and efficient use of space.</p><p><b>Dimensions:</b> 29.5""w x 23.5""d x 30""h</p><ul><li>Dining set delivers practical seating for meals gatherings and daily use</li><li>Five-piece dining set in greige oak creates a coordinated dining room layout</li><li>Greige oak laminate veneer table top provides warm wood-look texture</li><li>Matte black metal frame supports the table with clean modern structure</li><li>Rectangular table design fits easily in compact dining spaces</li><li>Upholstered dining chairs add padded comfort for everyday dining</li></ul>",26.46,/v/vspfiles/photos/coaster dining/193980-S5-1.jpg,N
193958BLK-S7E,Decker 7-piece 70-inch Rectangular Counter Height Dining Set Grey and Black,"<p>Seven-piece rectangular counter height dining set pairs a thick slab-top table with softly structured upholstered seating for a calm, tailored dining presence. The 70-inch surface and tall panel legs create a grounded centerpiece, while grey biscuit-tufted chairs with rounded corners and tapered legs add clean texture and balanced contrast. Ash veneer over durable wood construction supports the elevated silhouette, making the set well suited to casual meals, kitchen islands, and open dining spaces.</p><p><b>Dimensions:</b> 70.25""w x 35.5""d x 36""h</p><ul><li>Black counter height dining set pairs a 70-inch table with grey biscuit-tufted chairs</li><li>Thick slab top and tall panel legs give the table a grounded elevated presence</li><li>Grey upholstered seating adds soft texture and a tailored elevated look</li><li>Biscuit-tufted and tapered legs keep the chair profile clean and refined</li><li>Ash veneer and durable wood construction support everyday dining and gathering</li><li>Seven-piece layout suits kitchens, islands, and open dining spaces with ease</li></ul>",140.01,/v/vspfiles/photos/coaster dining/193958BLK-S7E-1.jpg,N
193958NAT-S7E,Decker 7-piece 70-inch Rectangular Counter Height Dining Set Grey and Natural Oak,"<p>Seven-piece rectangular counter height dining set pairs a thick slab-top table with softly structured upholstered seating for a calm, tailored dining presence. The 70-inch surface and tall panel legs create a grounded centerpiece, while grey biscuit-tufted chairs with rounded corners and tapered legs add clean texture and balanced contrast. Ash veneer over durable wood construction supports the elevated silhouette, making the set well suited to casual meals, kitchen islands, and open dining spaces.</p><p><b>Dimensions:</b> 70.25""w x 35.5""d x 36""h</p><ul><li>Natural oak counter height dining set pairs a 70-inch table with grey biscuit-tufted chairs</li><li>Thick slab top and tall panel legs give the table a grounded elevated presence</li><li>Grey upholstered seating adds soft texture and a tailored elevated look</li><li>Biscuit-tufted and tapered legs keep the chair profile clean and refined</li><li>Ash veneer and durable wood construction support everyday dining and gathering</li><li>Seven-piece layout suits kitchens, islands, and open dining spaces with ease</li></ul>",140.01,/v/vspfiles/photos/coaster dining/193958NAT-S7E-1.jpg,N
193958WAL-S7E,Decker 7-piece 70-inch Counter Height Dining Set Grey and Walnut,"<p>Seven-piece rectangular counter height dining set pairs a thick slab-top table with softly structured upholstered seating for a calm, tailored dining presence. The 70-inch surface and tall panel legs create a grounded centerpiece, while grey biscuit-tufted chairs with rounded corners and tapered legs add clean texture and balanced contrast. Walnut veneer over durable wood construction supports the elevated silhouette, making the set well suited to casual meals, kitchen islands, and open dining spaces.</p><p><b>Dimensions:</b> 70.25""w x 35.5""d x 36""h</p><ul><li>Walnut counter height dining set pairs a 70-inch table with grey biscuit-tufted chairs</li><li>Thick slab top and tall panel legs give the table a grounded elevated presence</li><li>Grey upholstered seating adds soft texture and a tailored elevated look</li><li>Biscuit-tufted and tapered legs keep the chair profile clean and refined</li><li>Walnut veneer and durable wood construction support everyday dining and gathering</li><li>Seven-piece layout suits kitchens, islands, and open dining spaces with ease</li></ul>",140.01,/v/vspfiles/photos/coaster dining/193958WAL-S7E-1.jpg,N
