productcode,productname,productprice,productweight,freeshipping,availability,productdescription,techspecs
SS-VCM420GKK-D5PC,"Artemis 5-Piece 70"" Rect Gray Marble Table, Black Finish w/4 Black Vegan Leather Chairs",,,N,Available,"Meet the Artemis 70-inch marble top table-where modern design feels both elegant and inviting. Its architectural base makes a bold statement, while the sophisticated black finish keeps the look relaxed and livable. The sleek gray marble top adds a refined touch. Paired with soft black vegan leather chairs, each with a perfectly pitched seat for comfort, it's made for gathering. Built with solid wood legs and screwed corner joints, this set offers lasting durability with effortless style.","* Expertly crafted of gray marble veneers, ash veneers, solid Asian hardwoods and engineered woods, 100% polyester and foam
* 5-piece set includes the Artemis 70"" Gray Marble Dining Table, Black Finish and 4 Artemis Black Vegan Leather Side Chairs. Each item also sold separately.
* Kiln-dried wood helps prevent warping, splitting and cracking
* The chairs are solidly constructed using mortise-and-tenon joinery, corner blocks, sturdy solid wood legs, and screwed joints, this piece delivers exceptional stability, longevity, and superior furniture integrity with a 250 lb. weight capacity ensures durability and reliable support for the chair.
* The chair legs are hand-stained in a natural multi-step black finish to highlight the natural grain and knots of the wood
* Plastic glides help prevent scratches or mars to floors
* The chair's sleek black vegan leather, made from 100% polyester, offers the look and feel of real leather with easy-care convenience.
* Available in green velvet, brown velvet, beige chenille, gray chenille, gray vegan leather and black vegan leather; in counter and dining height sizes
* Chairs are packed 2 per carton
* Each marble top is crafted by nature with unique characteristics that vary slightly so no two pieces will be exactly alike
* 70"" long table seats six comfortably
* The wood is hand-stained in a natural multi-step black finish to highlight the natural grain and knots of the wood"
SS-VCM420GKW-D5PC,"Artemis 5-Piece 70"" Rect Gray Marble Table, Black Finish w/4 White Vegan Leather Chairs",,,N,Available,"Meet the Artemis 70-inch marble top table-where modern design feels both elegant and inviting. Its architectural base makes a bold statement, while the sophisticated black finish keeps the look relaxed and livable. The sleek gray marble top adds a refined touch. Paired with soft white vegan leather chairs, each with a perfectly pitched seat for comfort, it's made for gathering. Built with solid wood legs and screwed corner joints, this set offers lasting durability with effortless style.","* Expertly crafted of gray marble veneers, ash veneers, solid Asian hardwoods and engineered woods, 100% polyester and foam
* 5-piece set includes the Artemis 70"" Gray Marble Dining Table, Black Finish and 4 Artemis White Vegan Leather Side Chairs. Each item also sold separately.
* Kiln-dried wood helps prevent warping, splitting and cracking
* The chairs are solidly constructed using mortise-and-tenon joinery, corner blocks, sturdy solid wood legs, and screwed joints, this piece delivers exceptional stability, longevity, and superior furniture integrity with a 250 lb. weight capacity ensures durability and reliable support for the chair.
* The chair legs are hand-stained in a natural multi-step black finish to highlight the natural grain and knots of the wood
* Plastic glides help prevent scratches or mars to floors
* The chair's sleek white vegan leather, made from 100% polyester, offers the look and feel of real leather with easy-care convenience.
* Available in green velvet, brown velvet, beige chenille, gray chenille, white vegan leather and black vegan leather; in counter and dining height sizes
* Chairs are packed 2 per carton
* Each marble top is crafted by nature with unique characteristics that vary slightly so no two pieces will be exactly alike
* 70"" long table seats six comfortably
* The wood is hand-stained in a natural multi-step black finish to highlight the natural grain and knots of the wood"
SS-VCM420KK-D5PC,"Artemis 5 Piece 70"" Rect White Marble Table, Black Finish w/4 Black Vegan Leather Chairs",,,N,Available,"Meet the Artemis 70-inch marble top table-where modern design feels both elegant and inviting. Its architectural base makes a bold statement, while the sophisticated black finish keeps the look relaxed and livable. The sleek white marble top adds a refined touch. Paired with soft black vegan leather chairs, each with a perfectly pitched seat for comfort, it's made for gathering. Built with solid wood legs and screwed corner joints, this set offers lasting durability with effortless style.","* Expertly crafted of white marble veneers, ash veneers, solid Asian hardwoods and engineered woods, 100% polyester and foam
* 5-piece set includes the Artemis 70"" White Marble Dining Table, Black Finish and 4 Artemis Black Vegan Leather Side Chairs. Each item also sold separately.
* Kiln-dried wood helps prevent warping, splitting and cracking
* The chairs are solidly constructed using mortise-and-tenon joinery, corner blocks, sturdy solid wood legs, and screwed joints, this piece delivers exceptional stability, longevity, and superior furniture integrity with a 250 lb. weight capacity ensures durability and reliable support for the chair.
* The chair legs are hand-stained in a natural multi-step black finish to highlight the natural grain and knots of the wood
* Plastic glides help prevent scratches or mars to floors
* The chair's sleek black vegan leather, made from 100% polyester, offers the look and feel of real leather with easy-care convenience.
* Available in green velvet, brown velvet, beige chenille, gray chenille, white vegan leather and black vegan leather; in counter and dining height sizes
* Chairs are packed 2 per carton
* Each marble top is crafted by nature with unique characteristics that vary slightly so no two pieces will be exactly alike
* 70"" long table seats six comfortably
* The wood is hand-stained in a natural multi-step black finish to highlight the natural grain and knots of the wood"
SS-VCM420KW-D5PC,"Artemis 5-Piece 70"" Rect White Marble Table, Black Finish w/4 White Vegan Leather Chairs",,,N,Available,"Meet the Artemis 70-inch marble top table-where modern design feels both elegant and inviting. Its architectural base makes a bold statement, while the sophisticated black finish keeps the look relaxed and livable. The sleek white marble top adds a refined touch. Paired with soft white vegan leather chairs, each with a perfectly pitched seat for comfort, it's made for gathering. Built with solid wood legs and screwed corner joints, this set offers lasting durability with effortless style.","* Expertly crafted of white marble veneers, ash veneers, solid Asian hardwoods and engineered woods, 100% polyester and foam
* 5-piece set includes the Artemis 70"" White Marble Dining Table, Black Finish and 4 Artemis White Vegan LeatherSide Chairs. Each item also sold separately.
* Kiln-dried wood helps prevent warping, splitting and cracking
* The chairs are solidly constructed using mortise-and-tenon joinery, corner blocks, sturdy solid wood legs, and screwed joints, this piece delivers exceptional stability, longevity, and superior furniture integrity with a 250 lb. weight capacity ensures durability and reliable support for the chair.
* The chair legs are hand-stained in a natural multi-step black finish to highlight the natural grain and knots of the wood
* Plastic glides help prevent scratches or mars to floors
* The chair's sleek white vegan leather, made from 100% polyester, offers the look and feel of real leather with easy-care convenience.
* Available in green velvet, brown velvet, beige chenille, gray chenille, white vegan leather and black vegan leather; in counter and dining height sizes
* Chairs are packed 2 per carton
* Each marble top is crafted by nature with unique characteristics that vary slightly so no two pieces will be exactly alike
* 70"" long table seats six comfortably
* The wood is hand-stained in a natural multi-step black finish to highlight the natural grain and knots of the wood"
SS-ABR5454K-D5PC,"Aubrey 5-Piece 54"" Round Dining Table Set",,,N,Available,"Immerse yourself in the perfect blend of rustic charm and casual elegance with the 5-Piece Aubrey Dining Set. Crafted to perfection, this set seamlessly marries the rustic elements of Craftsman styling with the comfortable charm of cushioned sling side chairs, creating an inviting ambiance for memorable dining experiences.

 The 54-inch round Aubrey Black Dining Table exudes timeless appeal with its contrasting stretchers that offer a pop of color and coordinate effortlessly with the rest of the Aubrey collection. Supported by substantial canted 3-inch squared posts, the table hints at primitive styling while providing a sturdy foundation for your gatherings.

 Accompanied by four cushioned Black Side Chairs, this set offers both comfort and style.","* Set includes the Aubrey 54-inch Black Dining Table with Driftwood Stretchers and 4 Aubrey Gray Vegan Leather Side Chairs. Each item also sold separately.
* Styling details include the dining table with substantial canted 3"" squared posts with contrasting stretchers and exposed tenons that match all the other pieces in the Aubrey collection. Mix and match finishes and pieces within the collection for a custom look.
* Cross stretchers provide sturdy support and stability for the 54"" Round Table
* Built with solid wood legs to ensure lasting durability, stability, and timeless elegance for every dining experience.
* Kiln-dried wood helps prevent warping, splitting, cracking and developing mildew.
* Plastic glides keep the chair from scratching floor
* Solidly constructed using mortise-and-tenon joinery and corner blocks for exceptional, longevity, and superior furniture integrity
* The wood is hand-stained in a natural multi-step black finish with waxed driftwood accents that highlights the natural grain and knots of the wood.
* Wire-brushed distressing adds depth and character to the chair, making it a truly unique and stylish addition to any space.
* The chair has a 300 lb. weight capacity to ensure durability and reliable support.
* Gray vegan leather cover is sleek, durable, and easy-care, adding sophistication to any setting
* The 54-inch round table seats up to six people
* Table measurements: 54""W x 54""D x 30""H
* Chair measurements: 21""W x 22""D x 35.25""H
* Easy Assembly, all tools included"
SS-ABR5454K-4US-D5PC,"Aubrey 5-Piece 54"" Round Dining Table Set",,,N,Available,"Immerse yourself in the perfect blend of rustic charm and casual elegance with the 5-Piece Aubrey Dining Set. Crafted to perfection, this set seamlessly marries the rustic elements of Craftsman styling with the sophistication of upholstered Parsons chairs, creating an inviting ambiance for memorable dining experiences.

 The 54-inch round Aubrey Black Dining Table exudes timeless appeal with its contrasting stretchers that offer a pop of color and coordinate effortlessly with the rest of the Aubrey collection. Supported by substantial canted 3-inch squared posts, the table hints at primitive styling while providing a sturdy foundation for your gatherings.

 Accompanied by four Eggshell upholstered Black Parsons Chairs, this set offers both comfort and style.","* Set includes the Aubrey 54-inch Black Dining Table with Driftwood Stretchers and 4 Aubrey Black Parsons Chairs. Each item also sold separately.
* Styling details include the dining table with substantial canted 3"" squared posts with contrasting stretchers and exposed tenons that match all the other pieces in the Aubrey collection. Mix and match finishes and pieces within the collection for a custom look.
* Cross stretchers provide sturdy support and stability for the 54"" Round Table
* Built with solid wood legs to ensure lasting durability, stability, and timeless elegance for every dining experience.
* Kiln-dried wood helps prevent warping, splitting, cracking and developing mildew.
* Plastic glides keep the chair from scratching floor
* Solidly constructed using mortise-and-tenon joinery and corner blocks for exceptional, longevity, and superior furniture integrity
* The wood is hand-stained in a natural multi-step black finish with waxed driftwood accents that highlights the natural grain and knots of the wood.
* Wire-brushed distressing adds depth and character to the chair, making it a truly unique and stylish addition to any space.
* The chair has a 300 lb. weight capacity to ensure durability and reliable support.
* The upholstered removable seat is built with 1.1 density foam to offer comfortable seating for the family that is easy to clean, with a versatile design that fits seamlessly into any space, enhancing both comfort and functionality.
* The chair's 100% polyester eggshell fabric cover provides a durable and easy-to-clean surface that resists stains and spills.
* The 54-inch round table seats up to six people
* Table measurements: 54""W x 54""D x 30""H
* Chair measurements: 23.5""W x 23.75""D x 38.25""H in
* Easy Assembly, all tools included"
SS-GA500T-D5PC,"Garland 5-Piece Dining Set, Distressed Greige Finish",,,N,Available,"Sophisticated yet relaxed, the Garland Dining Collection embodies California Casual style with a distressed greige finish and clean, crisp lines. The Garland Table extends to 88 inches with an 18-inch leaf, seating up to eight comfortably. It pairs beautifully with fully upholstered Parsons chairs in tightly tailored eggshell fabric, accented with brass for a mix of casual and formal design. Complete the look with the Sideboard, featuring tasteful hardware and hidden storage. Warm and inviting, the Garland Collection is perfect for effortless entertaining.","* Constructed of oak and acacia veneers, solid Asian hardwoods and engineered wood
* Table Top extends from 70 to 88 inches with the insertion of the included 18-inch leaf
* The Table features a faux plank top with rasping and threading distressing for a relaxed, sophisticated look
* The Table seats up to eight people when fully extended
* The chair features a 100% polyester eggshell fabric, offering a durable, easy-to-clean surface that resists stains and spills. A brushed brass accent on the back and distressed greige-finished solid wood legs add a touch of elegance and warmth.
* The chair also works well as an office or guest chair
* The optional Sideboard has three deep drawers and one door with metal side drawer glides for smooth operation
* Set shown included dining table and four Side Chairs. Each piece also sold separately.
* Oversized brushed brass-tone hardware adds a luxurious touch of elegance and char
* The wood is hand-stained in a natural multi-step greige finish to highlight the natural grain and knots of the wood"
SS-GA500-5PC,Garland 5-Piece Dining Set,,,N,Available,"Sophisticated and elegant but with a casual accent, the Garland Dining Collection is built to shine in any environment.A distressed toffee finish blends with a sophisticated modern profile in a relaxed style-blending design marked by clean, crisp lines. The Garland Table comes with an 18-inch leaf that extends the table to 88 inches to seat up to eight comfortably and marries beautifully with the fully upholstered Parsons Chairs in a tightly tailored canvas cover with a brass accent, mixing casual and formal designs in a relaxed but elegant design. Pair these beauties with the Sideboard with a tasteful hardware treatment for an ultra-clean presentation that also offers plenty of hidden storage. Seat all of your family and friends in a comfortable but elegant dining presentation with the Garland Dining Collection","* Expertly crafted of acacia veneers, solid Asian hardwoods and engineered wood
* Table Top extends from 70 to 88 inches with the insertion of the included 18-inch leaf
* The Table features a faux plank top with rasping and threading distressing for a relaxed, sophisticated look
* The Table seats up to eight people when fully extended
* Chair features a relaxed canvas fabric cover application with brushed brass accent on back and distressed toffee finished solid wood legs
* The chair also works well as an office or guest chair
* The optional Sideboard has three deep drawers and one door with metal side drawer glides for smooth operation
* Set shown included dining table and four Side Chairs. Each piece also sold separately.
* Toffee finish"
SS-GA500TC,"Garland Curio, Greige Finish",,,N,Available,"The Garland Curio brings cool sophistication to any space. At 70 inches tall, this transitional design showcases a lustrous distressed grieve finish with clear, beveled, wood-rimmed glass doors for timeless style. Inside, three spacious shelves provide ample room for storing or displaying china, collectibles, or décor. Subtle distressing and rub-through accents soften the look, offering rustic elegance with a relaxed feel. Perfect for dining rooms, living spaces, or offices, the Garland Curio, Greige Finish blends beauty and function for stylish storage.","* Expertly crafted of acacia veneers, solid Asian hardwoods and engineered wood
* Kiln-dried wood helps prevent warping, splitting and cracking
* Two adjustable shelves offer versatile storage options to accommodate items of different sizes and shapes.
* Includes anti-tip restraint kit for added safety and stability, helping prevent accidental tipping in busy or family spaces.
* Oversized oil-rubbed brass hardware adds a luxurious touch of elegance and charm
* Wood scoring and finish rubthrough technique adds a distressed look, enhancing the charm of the furniture with a vintage-inspired appeal.
* Adjustable levelers add stability on uneven surfaces, protecting contents and enhancing usability
* Tempered glass doors add durability and safety to the mirror, making it resistant to shattering and damage.
* The wood is hand-stained in a natural multi-step distressed griege finish to highlight the natural grain and knots of the wood"
SS-GA500SV,Garland Sideboard,,,N,Available,"The Garland Server marries a modern silohuette with a relaxed, lightly distressed toffee finish in a dining side piece with the perfect casually elegant style of today's dining rooms. A modern plinth base and tastefully appointed satin brass hardware creates extremely clean lines that displays the natural beauty of the wood expertly. Three drawers and a door allow for plenty of storage base of any dining area in a neat, beautiful package that can stand on its own or can be paired with the matching Garland dining collection.","* Constructed of veneers, solids and engineered woods
* Three deep drawers and one door
* Metal side drawer guides
* Medium distressing
* Toffee finish"
