Brand,ProductCode,Status,AltIndex,Width,Height,Bytes,Path,SourceURL,Note
SAR,SAR-BATMAN-MNKY-LUSH,OK,1,1620,1620,292802,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\SAR-BATMAN-MNKY-LUSH-altview1.jpg,https://cdn.shopify.com/s/files/1/2047/7533/files/BatmanMinky_LushToddler_059351cc-8724-4270-85f3-f619b9900f79.png?v=1762459218,
SAR,SAR-BATMAN-MNKY-LUSH,OK,2,1620,1620,620380,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\SAR-BATMAN-MNKY-LUSH-altview2.jpg,https://cdn.shopify.com/s/files/1/2047/7533/files/BatmanMinky_LushMini_2_c0473e25-9e8c-4572-91f3-4d8d6dade813.png?v=1750967412,
SAR,SAR-BATMAN-MNKY-LUSH,OK,3,1620,1620,617805,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\SAR-BATMAN-MNKY-LUSH-altview3.jpg,https://cdn.shopify.com/s/files/1/2047/7533/files/BatmanMinky_LushMini_3_6806eead-eef4-459f-8238-798a2dac93fe.png?v=1750967412,
SAR,SAR-BATMAN-MNKY-LUSH,OK,4,1620,1620,553063,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\SAR-BATMAN-MNKY-LUSH-altview4.jpg,https://cdn.shopify.com/s/files/1/2047/7533/files/BatmanMinky_LushReceiving_2_71063b45-8958-46ce-bb34-68a9ba231e40.png?v=1750967412,
SAR,SAR-BATMAN-MNKY-LUSH,OK,5,1620,1620,592319,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\SAR-BATMAN-MNKY-LUSH-altview5.jpg,https://cdn.shopify.com/s/files/1/2047/7533/files/BatmanMinky_LushReceiving_3_bec5dc88-3907-4b25-b374-05469fd25ba0.png?v=1750967412,
SAR,SAR-BATMAN-MNKY-LUSH,OK,6,1620,1620,496304,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\SAR-BATMAN-MNKY-LUSH-altview6.jpg,https://cdn.shopify.com/s/files/1/2047/7533/files/BatmanMinky_LushReceiving_4_63b1074d-75f4-41ed-a7ca-04075a252fbb.png?v=1750967412,
SAR,SAR-BATMAN-MNKY-LUSH,OK,7,1620,1620,546335,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\SAR-BATMAN-MNKY-LUSH-altview7.jpg,https://cdn.shopify.com/s/files/1/2047/7533/files/BatmanMinky_LushReceiving_e05e74d4-098f-4dd5-acfa-052e3f200815.png?v=1750967412,
SAR,SAR-BATMAN-MNKY-LUSH,OK,8,1620,1620,468319,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\SAR-BATMAN-MNKY-LUSH-altview8.jpg,https://cdn.shopify.com/s/files/1/2047/7533/files/BatmanMinky_LushToddler_2_22cfc710-776a-46e1-b168-61002a07d239.png?v=1750967412,
SAR,SAR-BMB-HATS,OK,1,2000,2000,620710,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\SAR-BMB-HATS-altview1.jpg,https://cdn.shopify.com/s/files/1/2047/7533/products/bamboni-hats-880960.jpg?v=1700870514,
SAR,SAR-BMB-HATS,OK,2,2000,2000,509111,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\SAR-BMB-HATS-altview2.jpg,https://cdn.shopify.com/s/files/1/2047/7533/products/bamboni-hats-614350.jpg?v=1700870514,
SAR,SAR-BMB-HATS,OK,3,2000,2000,572327,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\SAR-BMB-HATS-altview3.jpg,https://cdn.shopify.com/s/files/1/2047/7533/products/bamboni-hats-598980.jpg?v=1700870514,
SAR,SAR-BMB-HATS,OK,4,2000,2000,495504,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\SAR-BMB-HATS-altview4.jpg,https://cdn.shopify.com/s/files/1/2047/7533/products/bamboni-hats-344193.jpg?v=1700870514,
SAR,SAR-BMB-HATS,OK,5,2000,2000,453783,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\SAR-BMB-HATS-altview5.jpg,https://cdn.shopify.com/s/files/1/2047/7533/products/bamboni-hats-832064.jpg?v=1700870514,
SAR,SAR-BMB-SETS,OK,1,2000,2000,370634,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\SAR-BMB-SETS-altview1.jpg,https://cdn.shopify.com/s/files/1/2047/7533/products/daily-deal-bamboni-sets-225762.jpg?v=1762458348,
SAR,SAR-BMB-SETS,OK,2,2000,2000,415651,C:\Users\erink\OneDrive\Documents\GitHub\mccabe-site\vspfiles\photos\SAR-BMB-SETS-altview2.jpg,https://cdn.shopify.com/s/files/1/2047/7533/products/daily-deal-bamboni-sets-758419.jpg?v=1700870524,
