ProductCode,Has1,Has2,Has2T,HasAltview1
SAR-BATMAN-MNKY-LUSH,True,False,False,True
SAR-BMB-HATS,False,False,False,True
SAR-BMB-SETS,False,False,True,True
SAR-BMB-SNUGGLER,False,False,True,True
SAR-BMB-SOCKS,False,False,False,True
SAR-BMB-TOD,False,False,False,True
SAR-BMB-TWIN,False,False,False,True
SAR-BMBU-RYN-MSLN-PILLOWCA,False,False,True,True
SAR-BMBU-RYN-MSLN-QUEEN-KING,False,False,False,True
SAR-BMBU-RYN-MSLN-XL-LG-4,False,False,False,True
SAR-CHNK-KNT-LG,False,False,False,True
SAR-CHNL-FRNG-XL-LG,False,False,False,False
SAR-COTTON-MSLN-4-LAYER,False,False,False,True
SAR-COZY-BMB-ROBES,False,False,True,True
SAR-DBL-LAYER-BMB-TOD,False,False,False,True
SAR-DBL-RCH-FX-FUR,True,False,True,True
SAR-DBL-RCH-FX-FUR-XL-LG,True,False,True,True
SAR-FX-FUR-XL-LG,True,False,True,False
SAR-GRAND-FX-FUR,False,False,False,True
SAR-GRAND-FX-FUR-12X20,False,False,False,True
SAR-GRAND-FX-FUR-2-PACK-EURO,False,False,False,True
SAR-GRAND-FX-FUR-KING,False,False,False,True
SAR-GRAND-FX-FUR-QUEEN,False,False,False,True
SAR-GRAND-FX-FUR-XL-LG,False,False,False,True
SAR-HP-HP-ICONS-MNKY-LUSH,False,False,False,True
SAR-HP-HP-MSLN-NRS,True,False,False,True
SAR-JL-JL-MSLN-LUSH,True,False,False,True
SAR-LUSH,False,False,False,True
SAR-LUSH-MINI,False,False,False,True
SAR-LUSH-RCV,False,False,False,True
SAR-LUSH-TOD,False,False,False,True
SAR-LUSH-XL-LG,False,False,False,True
SAR-MARBLE-FX-FUR-MNKY-XL-LG,False,False,True,False
SAR-MNKY-LUSH,False,False,True,True
SAR-MNKY-LUSH-TOD,False,False,True,True
SAR-MNKY-LUSH-XL-LG,False,False,True,True
SAR-MNKY-PLAY-MAT,False,False,False,True
SAR-MNKY-STR,False,False,False,True
SAR-MNKY-STR-LUXE-ROBES,False,False,True,True
SAR-PLSH-FX-FUR-XL-LG,True,False,True,True
SAR-PTRN-FX-FUR-XL-LG,False,False,False,True
SAR-RIBBED-BMB,False,False,False,True
SAR-RIBBED-BMB-QUEEN-KING,False,False,False,True
SAR-RIBBED-BMB-XL-LG,False,False,False,True
SAR-SATIN-BACK-TOD,False,False,False,True
SAR-SNUGGLER,False,False,True,True
SAR-WEARABLE,False,False,True,True
SAR-WFL-KNT,False,False,False,True
SAR-WFL-KNT-KING,False,False,False,True
SAR-WFL-KNT-QUEEN,False,False,False,True
SAR-WFL-KNT-ROBES,False,False,True,True
SAR-WFL-KNT-TOD,False,False,False,True
SAR-WFL-KNT-TWIN,False,False,False,True
SAR-WFL-KNT-XL-LG,False,False,False,True
SAR-WIZARDIN-WORLD-CHARM,False,False,False,True
