ProductCode,Has1,Has2,Has2T,Has3,Has3T,HasAltview1
SS-2968479,False,False,False,False,False,False
SS-2968622,False,False,False,False,False,False
SS-3105415,False,False,False,False,False,False
SS-3PC-LOVESE,False,False,False,False,False,False
SS-AD400T,False,False,False,False,False,False
SS-AG150C,False,False,False,False,False,False
SS-AG150E,False,False,False,False,False,False
SS-ALEXANDRIA-CHOCOLATE-80LOVE,False,False,False,False,False,False
SS-ALEXANDRIA-CHOCOLATE-91SOFA,False,False,False,False,False,False
SS-ALEXANDRIA-CHOCOLATE-RECL,False,False,False,False,False,False
SS-ALEXANDRIA-STONE-80LOVE,False,False,False,False,False,False
SS-ALEXANDRIA-STONE-91SOFA,False,False,False,False,False,False
SS-ALEXANDRIA-STONE-RECL,False,False,False,False,False,False
SS-ALEX-CHOC-PWR-SECT,False,False,False,False,False,False
SS-ALEX-STONE-PWR-SECT,True,True,True,False,False,True
SS-AM200C,False,False,False,False,False,False
SS-AM200E,False,False,False,False,False,False
SS-AR200C,False,False,False,False,False,False
SS-AR200E,False,False,False,False,False,False
SS-AR200TV,False,False,False,False,False,False
SS-AR500SB,False,False,False,False,False,False
SS-AS700TC,False,False,False,False,False,False
SS-AUB100KC,False,False,False,False,False,False
SS-AUB100KE,False,False,False,False,False,False
SS-AUB100NC,False,False,False,False,False,False
SS-AUB100NE,False,False,False,False,False,False
SS-AUB500SV,False,False,False,False,False,False
SS-AY200B,False,False,False,False,False,False
SS-AY200H,False,False,False,False,False,False
SS-AY200T,False,False,False,False,False,False
SS-BARRON-65LOVE,False,False,False,False,False,False
SS-BARRON-87SOFA,False,False,False,False,False,False
SS-BARRON-RECL,False,False,False,False,False,False
SS-BC900CTT,True,True,True,True,True,True
SS-BC900DR,True,True,True,False,False,True
SS-BC900KFB,True,False,False,False,False,True
SS-BC900MR,True,True,True,False,False,True
SS-BC900NS,True,True,True,False,False,True
SS-BC900QFB,True,False,False,False,False,True
SS-BC950CTBT,True,True,True,True,True,True
SS-BC950DRB,True,True,True,False,False,True
SS-BC950KFB,True,False,False,False,False,False
SS-BC950MRB,True,True,True,False,False,True
SS-BC950NSB,True,True,True,False,False,True
SS-BC950QFB,True,False,False,False,False,True
SS-BEM500PT,False,False,False,False,False,False
SS-BS850CG,False,False,False,False,False,False
SS-BUR500NSV,False,False,False,False,False,False
SS-BUR520NC,False,False,False,False,False,False
SS-CAN100KC,False,False,False,False,False,False
SS-CAN100KE,False,False,False,False,False,False
SS-CAN100NC,False,False,False,False,False,False
SS-CAN100NE,False,False,False,False,False,False
SS-CAS900C,True,True,True,True,True,True
SS-CAS900DR,True,True,True,False,False,True
SS-CAS900KFB,True,False,False,False,False,True
SS-CAS900M,True,True,True,False,False,True
SS-CAS900NS,True,True,True,False,False,True
SS-CAS900QFB,True,False,False,False,False,True
SS-CM150C,False,False,False,False,False,False
SS-CM150E,False,False,False,False,False,False
SS-CNT500PT,False,False,False,False,False,False
SS-CNT500T,False,False,False,False,False,False
SS-COL100KC,False,False,False,False,False,False
SS-COL100KE,False,False,False,False,False,False
SS-COL100KNWMC,False,False,False,False,False,False
SS-COL100KWMC,False,False,False,False,False,False
SS-COL100KWME,False,False,False,False,False,False
SS-COL100NWMC,False,False,False,False,False,False
SS-COL100NWME,False,False,False,False,False,False
SS-COL500ESV,False,False,False,False,False,False
SS-COL500KSV,False,False,False,False,False,False
SS-COL500NSV,False,False,False,False,False,False
SS-COL500WSV,False,False,False,False,False,False
SS-CONROE-GRAY-PWR-SECT,True,True,True,False,False,True
SS-CONROE-PWR-CHAISE-SECT,True,True,True,False,False,True
SS-COZY-59LOVE,False,False,False,False,False,False
SS-COZY-81SOFA,False,False,False,False,False,False
SS-COZY-RECL,False,False,False,False,False,False
SS-CT100C,False,False,False,False,False,False
SS-CT100E,False,False,False,False,False,False
SS-CT100ES,False,False,False,False,False,False
SS-CY100CKW,False,False,False,False,False,False
SS-CY100EKW,False,False,False,False,False,False
SS-CY100SKW,False,False,False,False,False,False
SS-DANIEL-PWR-LOVE,False,False,False,False,False,False
SS-DANIEL-PWR-RECL,False,False,False,False,False,False
SS-DANIEL-PWR-SOFA,True,True,True,False,False,True
SS-DAR500BPT,False,False,False,False,False,False
SS-DENVER-BROWN-PWR-SECT,True,True,True,False,False,True
SS-DENVER-CHAR-PWR-SECT,True,True,True,False,False,True
SS-DI100C,False,False,False,False,False,False
SS-DI100E,False,False,False,False,False,False
SS-DR200RC,False,False,False,False,False,False
SS-DR200RE,False,False,False,False,False,False
SS-DY200E,False,False,False,False,False,False
SS-DY200ER,False,False,False,False,False,False
SS-DY200S,False,False,False,False,False,False
SS-EVA100C,False,False,False,False,False,False
SS-EVA100TV,False,False,False,False,False,False
SS-EVA10E,False,False,False,False,False,False
SS-EVA500NC,False,False,False,False,False,False
SS-EVA500NSV,False,False,False,False,False,False
SS-EVA500NT,False,False,False,False,False,False
SS-FRE300KNT,False,False,False,False,False,False
