productcode,productname,handle,hidden_on_volusion,status,option_category,saranoni_values,mccabe_values,missing_on_mccabe,out_of_stock_on_saranoni,safe_to_add_missing_in_stock,saranoni_available
SAR-BABY-BAMBONI-LITE-FOR-ABC,Baby Bamboni Lite Sets,baby-bamboni-lite-for-abc,True,saranoni_fetch_failed,,,,,,,
SAR-BABY-BMB-LITE-SETS,Baby Bamboni Lite Sets,baby-bamboni-lite-for-abc,False,saranoni_fetch_failed,,,,,,,
SAR-BAMBONI-HAT,Bamboni Hats,bamboni-hat,True,ok,Color,Charcoal|Moonbeam,,Charcoal|Moonbeam,,Charcoal|Moonbeam,True
SAR-BAMBONI-SETS,Bamboni Sets,bamboni-sets,True,ok,Color,Taupe|Charcoal,,Taupe|Charcoal,,Taupe|Charcoal,True
SAR-BAMBONI-SETS,Bamboni Sets,bamboni-sets,True,ok,Size,Small|Medium|Large,,Small|Medium|Large,,Small|Medium|Large,True
SAR-BAMBONI-SNUGGLER,Bamboni Snuggler,bamboni-snuggler,True,ok,Color,Charcoal|Ivory|Light Pink,,Charcoal|Ivory|Light Pink,,Charcoal|Ivory|Light Pink,True
SAR-BAMBONI-SNUGGLER,Bamboni Snuggler,bamboni-snuggler,True,ok,Size,Adult,,Adult,,Adult,True
SAR-BAMBONI-SOCKS,Bamboni Socks,bamboni-socks,True,ok,Color,Charcoal|Moonbeam,,Charcoal|Moonbeam,,Charcoal|Moonbeam,True
SAR-BAMBONI-TODDLER-BLANKET,Bamboni Toddler Blankets,bamboni-toddler-blanket,False,ok,Color,Woodrose|Birch|Light Pink|Spruce|French Rose|Nautical Blue|Juniper|Light Blue|Sage|Ivory|Buttermilk|Taupe|Peach|Olive|Gray|Sunburst|Pecan|Hibiscus|Surf|Cameo|Moonbeam,,Woodrose|Birch|Light Pink|Spruce|French Rose|Nautical Blue|Juniper|Light Blue|Sage|Ivory|Buttermilk|Taupe|Peach|Olive|Gray|Sunburst|Pecan|Hibiscus|Surf|Cameo|Moonbeam,,Woodrose|Birch|Light Pink|Spruce|French Rose|Nautical Blue|Juniper|Light Blue|Sage|Ivory|Buttermilk|Taupe|Peach|Olive|Gray|Sunburst|Pecan|Hibiscus|Surf|Cameo|Moonbeam,True
SAR-BAMBONI-TWIN-BLANKETS,Bamboni Twin Blankets,bamboni-twin-blankets,False,ok,Color,Spruce|Cameo|Taupe,,Spruce|Cameo|Taupe,,Spruce|Cameo|Taupe,True
SAR-BATMAN-DBL-LAYER-BMB,Batman Double-Layer Bamboni,batman-double-layer-bamboni,False,ok,Size,Mini|Receiving|Throw|XL,,Mini|Receiving|Throw|XL,,Mini|Receiving|Throw|XL,True
SAR-BATMAN-MNKY-LUSH,Batman Minky Lush,batman-minky-lush,False,ok,Size,Mini|Receiving|Toddler|XL,Mini|Receiving [Additional $33.00]|Toddler [Additional $63.00]|XL [Additional $147.00],Receiving|Toddler|XL,,Receiving|Toddler|XL,True
SAR-BMB-HATS,Bamboni Hats,bamboni-hat,False,ok,Color,Charcoal|Moonbeam,Moonbeam,Charcoal,,Charcoal,True
SAR-BMB-SETS,Bamboni Sets,bamboni-sets,False,ok,Color,Taupe|Charcoal,Taupe,Charcoal,,Charcoal,True
